title_i,title_j,cosine_similarity
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Multiplication in curvature processing,0.458954
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Global shape processing: Which parts form the whole?,0.541182
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Contour inflections are adaptable features,0.458733
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Dichoptic difference thresholds for uniform color changes applied to natural scenes,0.603724
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Orientation tuning of curvature adaptation reveals both curvature-polarity-selective and non-selective mechanisms,0.393198
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Chromatic variations suppress suprathreshold brightness variations,0.691691
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,"Colour Pools, Brightness Pools, Assimilation, and the Spatial Resolving Power of the Human Colour-Vision System",0.605976
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,On the Interference of Task-Irrelevant Hue Variation on Texture Segmentation,0.509706
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,"Border effects on brightness: A review of findings, models and issues",0.651239
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,"Shape recognition: Convexities, concavities and things in between",0.404671
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,The role of co-circularity of local elements in texture perception,0.619396
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Light-dark asymmetries in the Craik-Cornsweet-O'Brien illusion and a new model of brightness coding,0.684485
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Aftereffect of perceived regularity,0.618614
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Why do shape aftereffects increase with eccentricity?,0.544263
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Local and global components of texture-surround suppression of contour-shape coding,0.510887
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Chromatic properties of texture-shape and of texture-surround suppression of contour-shape mechanisms,0.591151
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Size and shape-frequency after-effects: same or different mechanism?,0.620659
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Global shape processing involves feature-selective and feature-agnostic coding mechanisms,0.476176
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Digitized Images: What Type of Grey Scale Should One Use?,0.641963
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Corner effect in induced hue: Evidence for chromatic band-pass filters,0.597499
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Visual adaptation to symmetry,0.520342
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Visual cortex responses to different texture-defined boundaries: An fMRI study,0.609084
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Spatial properties of texture-surround suppression of contour-shape coding,0.554789
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Illusions of colour and shadow,0.504346
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Global not local motion direction tuning of curvature encoding mechanisms,0.501281
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Modelling Visual Detection: Luminance Response Non-linearity and Internal Noise,0.648827
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Model for the detection of line signals in visual noise,0.576208
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,More than a simple curve: Evidence for mechanisms which are selective for curves containing inflections,0.488905
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Motion direction and temporal frequency tuning of texture-surround capture of contour-shape,0.530658
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,"Texture dominates saliency in suprathreshold combinations of texture, colour and luminance.",0.677832
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Spatiochromatic statistics of natural scenes: First- and second-order information and their correlational structure,0.619043
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,The common perceptual metric for human discrimination of number and density,0.531837
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Spatial integration of orientation-defined texture,0.533637
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Effect of the number of grey levels on the detectability of a simple line signal in visual noise,0.608627
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,An Orientation Anisotropy in Induced Brightness,0.571497
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,On the mechanisms for contour-shape after-effects,0.447559
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,"Effect of Pixel Height, Display Height, and Vertical Resolution on the Detection of a Simple Vertical Line Signal in Visual Noise",0.528925
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,The Binocular Summation of Chromatic Contrast,0.675497
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Luminance-contrast properties of contour-shape processing revealed through adaptation,0.629919
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Multiplication of 1st-stage inputs to curvature detectors,0.403725
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Orientation- and frequency-modulated textures at low depths of modulation are processed by off-orientation and off-frequency texture mechanisms,0.526479
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Ecological validity determines the impact of second-order information on perceptual performance,0.59986
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Dichoptic difference thresholds for the properties of chromatic stimuli,0.636391
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,How sensitive are we to distortions in natural scenes ?,0.580434
The Standard Deviation of Luminance as a Metric for Contrast in Random-Dot Images,Perception of global textures based on joint-orientation statistics,0.564142
