title_i,title_j,cosine_similarity
Opportunities for fundamental physics research with radioactive molecules,"Systematics of nuclear ground state properties in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi mathvariant=""normal"">Sr</mml:mi></mml:mrow><mml:mprescripts/><mml:mrow/><mml:mrow><mml:mn>78</mml:mn><mml:mo>–</mml:mo><mml:mn>100</mml:mn></mml:mrow><mml:mrow/><mml:mrow/></mml:mmultiscripts></mml:mrow></mml:math>by laser spectroscopy",0.626888
Opportunities for fundamental physics research with radioactive molecules,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>Q</mml:mi></mml:math>Value of the Superallowed Decay of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mmultiscripts><mml:mi mathvariant=""normal"">V</mml:mi><mml:mprescripts/><mml:none/><mml:mn>46</mml:mn></mml:mmultiscripts></mml:math>and Its Influence on<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mi>V</mml:mi><mml:mrow><mml:mi>u</mml:mi><mml:mi>d</mml:mi></mml:mrow></mml:msub></mml:math>and the Unitarity of the Cabibbo-Kobayashi-Maskawa Matrix",0.493842
Opportunities for fundamental physics research with radioactive molecules,Nuclear charge radii in modern mass formulas,0.442471
Opportunities for fundamental physics research with radioactive molecules,"First Use of High-Frequency Intensity Modulation of Narrow-Linewidth Laser Light and Its Application in Determination of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mmultiscripts><mml:mi>Fr</mml:mi><mml:mprescripts/><mml:none/><mml:mrow><mml:mn>206</mml:mn><mml:mo>,</mml:mo><mml:mn>205</mml:mn><mml:mo>,</mml:mo><mml:mn>204</mml:mn></mml:mrow></mml:mmultiscripts></mml:math>Ground-State Properties",0.64282
Opportunities for fundamental physics research with radioactive molecules,Influence of the<i>N=50</i>shell closure on mean square charge radii of strontium,0.579443
Opportunities for fundamental physics research with radioactive molecules,Charge radii in macroscopic-microscopic mass models of reflection asymmetry,0.497063
Opportunities for fundamental physics research with radioactive molecules,Nuclear ground state properties of strontium isotopes (78≤A≤100) by laser spectroscopy,0.641191
Opportunities for fundamental physics research with radioactive molecules,Nuclear moments and charge radii of neutron-deficient francium isotopes and isomers,0.573
Opportunities for fundamental physics research with radioactive molecules,Nuclear electric quadrupole moment of<sup>9</sup>Li using zero-field β-detected NQR,0.595244
Opportunities for fundamental physics research with radioactive molecules,"Nuclear Charge Radii of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:mmultiscripts><mml:mrow><mml:mi mathvariant=""normal"">Sr</mml:mi></mml:mrow><mml:mprescripts/><mml:mrow/><mml:mrow><mml:mn>7</mml:mn><mml:mn>8</mml:mn><mml:mo>−</mml:mo><mml:mn>1</mml:mn><mml:mn>0</mml:mn><mml:mn>0</mml:mn></mml:mrow><mml:mrow/><mml:mrow/></mml:mmultiscripts></mml:mrow></mml:math>by Nonoptical Detection in Fast-Beam Laser Spectroscopy",0.520576
