abstract_i,abstract_j,cosine_similarity
0,1,0.276461
0,2,0.696574
0,3,0.745856
0,4,0.326628
0,5,0.505621
0,6,0.587182
0,7,0.584876
0,8,0.31122
0,9,0.345013
0,10,0.345826
0,11,0.524464
0,12,0.630977
0,13,0.515404
0,14,0.505984
0,15,0.65267
0,16,0.257322
0,17,0.321088
0,18,0.569456
0,19,0.789558
0,20,0.589411
0,21,0.72494
0,22,0.355484
0,23,0.368073
0,24,0.338671
0,25,0.364285
0,26,0.402504
0,27,0.246286
0,28,0.620654
0,29,0.569456
0,30,0.358988
0,31,0.625933
0,32,0.336352
0,33,0.547978
0,34,0.295793
0,35,0.725236
0,36,0.278799
0,37,0.710966
0,38,0.550113
1,2,0.199129
1,3,0.360361
1,4,0.838009
1,5,0.647909
1,6,0.398459
1,7,0.356949
1,8,0.820465
1,9,0.712684
1,10,0.792219
1,11,0.623303
1,12,0.231406
1,13,0.735496
1,14,0.743058
1,15,0.471662
1,16,0.620565
1,17,0.851321
1,18,0.327315
1,19,0.196913
1,20,0.335186
1,21,0.212765
1,22,0.818379
1,23,0.844385
1,24,0.906564
1,25,0.760958
1,26,0.450174
1,27,0.650611
1,28,0.30768
1,29,0.327315
1,30,0.856655
1,31,0.355441
1,32,0.834655
1,33,0.349219
1,34,0.718527
1,35,0.216668
1,36,0.746738
1,37,0.313477
1,38,0.351117
2,3,0.786266
2,4,0.21341
2,5,0.427283
2,6,0.488215
2,7,0.437477
2,8,0.211963
2,9,0.246664
2,10,0.255831
2,11,0.481842
2,12,0.690253
2,13,0.386659
2,14,0.396424
2,15,0.500033
2,16,0.184252
2,17,0.234288
2,18,0.425943
2,19,0.735937
2,20,0.499054
2,21,0.822343
2,22,0.231442
2,23,0.255614
2,24,0.223382
2,25,0.275676
2,26,0.304391
2,27,0.175237
2,28,0.53483
2,29,0.425943
2,30,0.298666
2,31,0.501951
2,32,0.216659
2,33,0.423478
2,34,0.203253
2,35,0.821002
2,36,0.185243
2,37,0.57601
2,38,0.424235
3,4,0.398235
3,5,0.539044
3,6,0.550859
3,7,0.513455
3,8,0.37532
3,9,0.406164
3,10,0.407609
3,11,0.573043
3,12,0.696846
3,13,0.518489
3,14,0.528013
3,15,0.615737
3,16,0.317915
3,17,0.366558
3,18,0.464839
3,19,0.786846
3,20,0.549656
3,21,0.830862
3,22,0.384035
3,23,0.43308
3,24,0.389708
3,25,0.384994
3,26,0.388858
3,27,0.313965
3,28,0.606109
3,29,0.464839
3,30,0.420942
3,31,0.576606
3,32,0.401989
3,33,0.468019
3,34,0.349619
3,35,0.833628
3,36,0.328715
3,37,0.621286
3,38,0.473681
4,5,0.629753
4,6,0.415024
4,7,0.411217
4,8,0.805978
4,9,0.705333
4,10,0.82303
4,11,0.610931
4,12,0.273423
4,13,0.72848
4,14,0.686189
4,15,0.554206
4,16,0.633615
4,17,0.827378
4,18,0.373016
4,19,0.247167
4,20,0.377802
4,21,0.249241
4,22,0.795182
4,23,0.977668
4,24,0.833403
4,25,0.75327
4,26,0.522316
4,27,0.719668
4,28,0.379944
4,29,0.373016
4,30,0.794294
4,31,0.412389
4,32,0.996128
4,33,0.404475
4,34,0.783122
4,35,0.251355
4,36,0.826469
4,37,0.402684
4,38,0.405071
5,6,0.554359
5,7,0.530501
5,8,0.619766
5,9,0.513617
5,10,0.651042
5,11,0.924036
5,12,0.456888
5,13,0.85752
5,14,0.828858
5,15,0.645526
5,16,0.514136
5,17,0.653317
5,18,0.520565
5,19,0.426096
5,20,0.511325
5,21,0.424487
5,22,0.597874
5,23,0.634902
5,24,0.701738
5,25,0.696035
5,26,0.459006
5,27,0.567825
5,28,0.522664
5,29,0.520565
5,30,0.701429
5,31,0.511616
5,32,0.62712
5,33,0.528167
5,34,0.599544
5,35,0.425254
5,36,0.516156
5,37,0.566234
5,38,0.531148
6,7,0.716127
6,8,0.388282
6,9,0.401451
6,10,0.37859
6,11,0.594545
6,12,0.542167
6,13,0.552505
6,14,0.555575
6,15,0.696523
6,16,0.343657
6,17,0.388977
6,18,0.797462
6,19,0.482849
6,20,0.804462
6,21,0.495936
6,22,0.462137
6,23,0.44757
6,24,0.428808
6,25,0.404824
6,26,0.346183
6,27,0.296433
6,28,0.73073
6,29,0.797462
6,30,0.40635
6,31,0.753488
6,32,0.41969
6,33,0.714884
6,34,0.383936
6,35,0.496491
6,36,0.354096
6,37,0.622067
6,38,0.720513
7,8,0.471976
7,9,0.39375
7,10,0.425211
7,11,0.528838
7,12,0.477687
7,13,0.547432
7,14,0.482544
7,15,0.815427
7,16,0.285474
7,17,0.358256
7,18,0.77609
7,19,0.444186
7,20,0.719141
7,21,0.475453
7,22,0.403166
7,23,0.431404
7,24,0.439985
7,25,0.366361
7,26,0.345522
7,27,0.28415
7,28,0.787476
7,29,0.77609
7,30,0.384338
7,31,0.763267
7,32,0.419182
7,33,0.76372
7,34,0.360069
7,35,0.474803
7,36,0.398924
7,37,0.688969
7,38,0.769113
8,9,0.717966
8,10,0.859809
8,11,0.587974
8,12,0.263635
8,13,0.685562
8,14,0.677765
8,15,0.570403
8,16,0.539829
8,17,0.786063
8,18,0.409466
8,19,0.246179
8,20,0.388243
8,21,0.238493
8,22,0.71344
8,23,0.802021
8,24,0.883582
8,25,0.708709
8,26,0.454218
8,27,0.564264
8,28,0.396823
8,29,0.409466
8,30,0.739338
8,31,0.436157
8,32,0.807981
8,33,0.435272
8,34,0.711007
8,35,0.241211
8,36,0.738918
8,37,0.394017
8,38,0.437102
9,10,0.630291
9,11,0.503674
9,12,0.2471
9,13,0.564024
9,14,0.614227
9,15,0.481194
9,16,0.489816
9,17,0.684672
9,18,0.373248
9,19,0.246324
9,20,0.372997
9,21,0.250541
9,22,0.592706
9,23,0.730091
9,24,0.770475
9,25,0.639079
9,26,0.488648
9,27,0.480731
9,28,0.383784
9,29,0.373248
9,30,0.639818
9,31,0.400137
9,32,0.71156
9,33,0.341202
9,34,0.587631
9,35,0.250176
9,36,0.663252
9,37,0.370808
9,38,0.347498
10,11,0.593507
10,12,0.287941
10,13,0.697395
10,14,0.673271
10,15,0.538412
10,16,0.549028
10,17,0.795155
10,18,0.349042
10,19,0.286344
10,20,0.335015
10,21,0.277514
10,22,0.691671
10,23,0.819962
10,24,0.807503
10,25,0.751682
10,26,0.487245
10,27,0.607946
10,28,0.339166
10,29,0.349042
10,30,0.775954
10,31,0.382305
10,32,0.822198
10,33,0.360106
10,34,0.733727
10,35,0.281066
10,36,0.724395
10,37,0.347496
10,38,0.361928
11,12,0.505006
11,13,0.831227
11,14,0.804924
11,15,0.652562
11,16,0.570924
11,17,0.623228
11,18,0.528245
11,19,0.473373
11,20,0.560331
11,21,0.472972
11,22,0.598219
11,23,0.639272
11,24,0.664566
11,25,0.640513
11,26,0.486486
11,27,0.619847
11,28,0.567763
11,29,0.528245
11,30,0.678207
11,31,0.534015
11,32,0.60871
11,33,0.539021
11,34,0.56973
11,35,0.473784
11,36,0.501514
11,37,0.574154
11,38,0.543949
12,13,0.40592
12,14,0.429819
12,15,0.568938
12,16,0.154124
12,17,0.240166
12,18,0.44553
12,19,0.653224
12,20,0.50879
12,21,0.671587
12,22,0.290854
12,23,0.319017
12,24,0.286192
12,25,0.227611
12,26,0.260321
12,27,0.215219
12,28,0.54028
12,29,0.44553
12,30,0.260158
12,31,0.518032
12,32,0.281721
12,33,0.469244
12,34,0.257132
12,35,0.672502
12,36,0.162899
12,37,0.588529
12,38,0.47024
13,14,0.850689
13,15,0.646764
13,16,0.505246
13,17,0.731679
13,18,0.518604
13,19,0.396554
13,20,0.507044
13,21,0.394524
13,22,0.722432
13,23,0.742067
13,24,0.756672
13,25,0.732567
13,26,0.534794
13,27,0.615247
13,28,0.511312
13,29,0.518604
13,30,0.780964
13,31,0.531932
13,32,0.730891
13,33,0.523078
13,34,0.631744
13,35,0.396943
13,36,0.61851
13,37,0.552295
13,38,0.5255
14,15,0.615024
14,16,0.529019
14,17,0.736724
14,18,0.520323
14,19,0.401432
14,20,0.502326
14,21,0.403109
14,22,0.708912
14,23,0.689361
14,24,0.783195
14,25,0.733718
14,26,0.551319
14,27,0.587241
14,28,0.511624
14,29,0.520323
14,30,0.75638
14,31,0.517094
14,32,0.687069
