abstract_i,abstract_j,cosine_similarity
0,1,0.318061
0,2,0.523728
0,3,0.514228
0,4,0.327584
0,5,0.735159
0,6,0.151258
0,7,0.472225
0,8,0.621282
0,9,0.728758
0,10,0.506215
0,11,0.567068
0,12,0.640945
0,13,0.437982
0,14,0.586526
0,15,0.368017
0,16,0.689485
1,2,0.700441
1,3,0.496896
1,4,0.695812
1,5,0.388754
1,6,0.630542
1,7,0.339592
1,8,0.627952
1,9,0.363679
1,10,0.381805
1,11,0.406156
1,12,0.570537
1,13,0.474331
1,14,0.389809
1,15,0.5766
1,16,0.347095
2,3,0.592934
2,4,0.569908
2,5,0.571644
2,6,0.554924
2,7,0.507008
2,8,0.662296
2,9,0.539971
2,10,0.581819
2,11,0.490683
2,12,0.783866
2,13,0.508247
2,14,0.543413
2,15,0.638496
2,16,0.551772
3,4,0.55034
3,5,0.528687
3,6,0.392044
3,7,0.525999
3,8,0.703511
3,9,0.506309
3,10,0.582072
3,11,0.622702
3,12,0.7471
3,13,0.734154
3,14,0.61811
3,15,0.545651
3,16,0.451872
4,5,0.38427
4,6,0.448034
4,7,0.366888
4,8,0.591949
4,9,0.36591
4,10,0.417583
4,11,0.364114
4,12,0.611303
4,13,0.370977
4,14,0.359205
4,15,0.583613
4,16,0.308456
5,6,0.234375
5,7,0.57393
5,8,0.606504
5,9,0.983321
5,10,0.614247
5,11,0.523811
5,12,0.674059
5,13,0.452855
5,14,0.560437
5,15,0.444141
5,16,0.886192
6,7,0.243423
6,8,0.416147
6,9,0.1982
6,10,0.263234
6,11,0.225005
6,12,0.357991
6,13,0.365726
6,14,0.343243
6,15,0.479959
6,16,0.222489
7,8,0.494311
7,9,0.578349
7,10,0.949385
7,11,0.543638
7,12,0.631592
7,13,0.393001
7,14,0.455053
7,15,0.607615
7,16,0.618376
8,9,0.574884
8,10,0.5301
8,11,0.629906
8,12,0.717583
8,13,0.675131
8,14,0.681353
8,15,0.570413
8,16,0.528622
9,10,0.620699
9,11,0.516713
9,12,0.660095
9,13,0.410874
9,14,0.538976
9,15,0.437308
9,16,0.888337
10,11,0.566513
10,12,0.715935
10,13,0.4138
10,14,0.481982
10,15,0.648599
10,16,0.638356
11,12,0.606371
11,13,0.575277
11,14,0.536722
11,15,0.50056
11,16,0.467513
12,13,0.533353
12,14,0.562026
12,15,0.692336
12,16,0.597301
13,14,0.640371
13,15,0.387605
13,16,0.418709
14,15,0.481145
14,16,0.546835
15,16,0.445785
