abstract_i,abstract_j,cosine_similarity
0,1,0.415082
0,2,0.271025
0,3,0.200674
0,4,0.21458
0,5,0.575338
0,6,0.150452
0,7,0.385214
0,8,0.135739
0,9,0.184148
0,10,0.519461
0,11,0.249204
0,12,0.270021
0,13,0.30603
0,14,0.364818
0,15,0.19367
0,16,0.316886
0,17,0.540906
0,18,0.642592
0,19,0.092724
0,20,0.160159
0,21,0.577777
0,22,0.308257
0,23,0.240911
0,24,0.184978
0,25,0.423297
0,26,0.23988
0,27,0.313395
0,28,0.454987
0,29,0.160709
0,30,0.271127
0,31,0.357038
0,32,0.28798
0,33,0.358117
0,34,0.451626
0,35,0.174714
0,36,0.367196
0,37,0.028733
0,38,0.466942
0,39,0.288788
0,40,0.473151
0,41,0.376374
0,42,0.534997
0,43,0.439283
0,44,0.66578
0,45,0.173858
0,46,0.495715
0,47,0.229169
0,48,0.383017
0,49,0.301818
0,50,0.453254
0,51,0.334176
0,52,0.526267
0,53,0.203797
0,54,0.365964
0,55,0.395666
0,56,0.20635
0,57,0.421128
0,58,0.338921
0,59,0.460133
0,60,0.338352
0,61,0.289154
0,62,0.285076
0,63,0.545306
0,64,0.102863
0,65,0.290303
0,66,0.180179
0,67,0.281677
0,68,0.329754
0,69,0.09411
0,70,0.158718
0,71,0.476672
0,72,0.262278
0,73,0.31736
0,74,0.476576
0,75,0.539454
0,76,0.220602
0,77,0.339221
0,78,0.56943
1,2,0.312893
1,3,0.082978
1,4,0.26359
1,5,0.301995
1,6,0.239453
1,7,0.249995
1,8,0.080445
1,9,0.293568
1,10,0.267479
1,11,0.365678
1,12,0.314772
1,13,0.339331
1,14,0.321724
1,15,0.075619
1,16,0.274735
1,17,0.438845
1,18,0.38648
1,19,0.196165
1,20,0.141435
1,21,0.295319
1,22,0.339571
1,23,0.228855
1,24,0.195922
1,25,0.355561
1,26,0.079609
1,27,0.314949
1,28,0.440511
1,29,0.009962
1,30,0.243629
1,31,0.26494
1,32,0.219391
1,33,0.281467
1,34,0.407742
1,35,0.416629
1,36,0.374155
1,37,0.009875
1,38,0.310656
1,39,0.249307
1,40,0.449411
1,41,0.374006
1,42,0.387353
1,43,0.390454
1,44,0.43337
1,45,0.407648
1,46,0.367285
1,47,0.220522
1,48,0.438595
1,49,0.264371
1,50,0.98704
1,51,0.293251
1,52,0.256185
1,53,0.160501
1,54,0.210186
1,55,0.370695
1,56,0.239007
1,57,0.256114
1,58,0.258162
1,59,0.305647
1,60,0.255391
1,61,0.320684
1,62,0.287314
1,63,0.280223
1,64,0.196326
1,65,0.343959
1,66,0.133062
1,67,0.33322
1,68,0.334717
1,69,0.190307
1,70,0.362712
1,71,0.356734
1,72,0.345004
1,73,0.310556
1,74,0.322244
1,75,0.451985
1,76,0.241855
1,77,0.255055
1,78,0.406308
2,3,0.261583
2,4,0.213843
2,5,0.289207
2,6,0.269643
2,7,0.257343
2,8,0.316218
2,9,0.227298
2,10,0.283939
2,11,0.308688
2,12,0.22647
2,13,0.22976
2,14,0.298144
2,15,0.222291
2,16,0.258139
2,17,0.306728
2,18,0.194262
2,19,0.264901
2,20,0.261446
2,21,0.282923
2,22,0.361635
2,23,0.30136
2,24,0.347433
2,25,0.214697
2,26,0.244191
2,27,0.372161
2,28,0.221745
2,29,0.292162
2,30,0.070627
2,31,0.292823
2,32,0.21322
2,33,0.28653
2,34,0.276753
2,35,0.211119
2,36,0.513614
2,37,-0.032692
2,38,0.250395
2,39,0.288315
2,40,0.229075
2,41,0.267265
2,42,0.269434
2,43,0.280926
2,44,0.229452
2,45,0.176982
2,46,0.206072
2,47,0.206292
2,48,0.256679
2,49,0.31697
2,50,0.321468
2,51,0.346049
2,52,0.298983
2,53,0.283996
2,54,0.190543
2,55,0.257245
2,56,0.200605
2,57,0.181647
2,58,0.292465
2,59,0.26627
2,60,0.283863
2,61,0.336402
2,62,0.272088
2,63,0.259475
2,64,0.078316
2,65,0.250445
2,66,0.189657
2,67,0.33092
2,68,0.222233
2,69,0.069464
2,70,0.258576
2,71,0.401328
2,72,0.260796
2,73,0.25296
