abstract_i,abstract_j,cosine_similarity
0,1,0.091236
0,2,0.012584
0,3,0.109083
0,4,0.042577
0,5,-0.017025
0,6,0.073834
0,7,0.019619
0,8,-0.058924
0,9,0.050089
0,10,0.019845
1,2,0.249916
1,3,0.529219
1,4,0.556934
1,5,0.54525
1,6,0.43023
1,7,0.613012
1,8,0.336525
1,9,0.359935
1,10,0.37441
2,3,0.488619
2,4,0.275963
2,5,0.420437
2,6,0.418917
2,7,0.434712
2,8,0.229801
2,9,0.526669
2,10,0.487327
3,4,0.601433
3,5,0.566268
3,6,0.610175
3,7,0.706101
3,8,0.478836
3,9,0.702373
3,10,0.568733
4,5,0.594669
4,6,0.63445
4,7,0.668061
4,8,0.652488
4,9,0.474538
4,10,0.382301
5,6,0.519541
5,7,0.62417
5,8,0.631757
5,9,0.530676
5,10,0.470114
6,7,0.616089
6,8,0.498531
6,9,0.632684
6,10,0.533538
7,8,0.476017
7,9,0.60232
7,10,0.627701
8,9,0.438533
8,10,0.295594
9,10,0.645639
