title_i,title_j,cosine_similarity
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,MMCTP: a radiotherapy research environment for Monte Carlo and patient-specific treatment planning,0.375641
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Magnitude of speed of sound aberration corrections for ultrasound image guided radiotherapy for prostate and other anatomical sites,0.423088
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Stereotactic Arrhythmia Radioablation for Ventricular Tachycardia: Single Center First Experiences,0.173189
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Local ablative stereotactic body radiotherapy for oligometastatic prostate cancer,0.236987
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Analytical modelling of regional radiotherapy dose response of lung,0.51372
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Elimination of ghost markers during dual sensor‐based infrared tracking of multiple individual reflective markers,0.625862
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,The conversion of electroanatomic maps for compatibility with treatment planning systems in cardiac radioablation target volume definition,0.308364
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Interim efficacy analysis of the phase 2 dose de-escalation trial of stereotactic arrhythmia radioablation for ventricular tachycardia (StAR-VT),0.354567
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Para-Aortic and Pelvic Extended-Field Radiotherapy for Advanced-Stage Uterine Cancer: Dosimetric and Toxicity Comparison between the Four-Field Box and Intensity-Modulated Techniques,0.262736
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,SU‐E‐T‐274: Evaluation of Atlas‐Based Segmentation Algorithms: VelocityAI vs. MIMvista,0.459122
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,SU‐E‐T‐275: Evaluation of Deformable Contour Propagation,0.603614
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,SU-FF-J-27: Novel 4D CT Scanning Protocol Using a Helical Single-Slice CT Scanner,0.841153
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,WE‐C‐204B‐04: Image‐Based Scoring of Radiation Injury in Lung for Dose‐Effect Correlations: Analysis of Sources of Uncertainties,0.617965
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,MO‐D‐105‐05: A Novel Web‐Based Tool for Quantification of VMAT/IMRT Treatment Plan Quality,0.345423
A deformable phantom for 4D radiotherapy verification: Design and image registration evaluation,Poster — Thur Eve — 46: Image‐Based Scoring of Radiation Injury in Lung: Analysis of Sources of Uncertainties,0.60891
