title_i,title_j,cosine_similarity
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,0.638984
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,0.521589
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,Development of a <sup>127</sup>Xe calibration source for nEXO,0.651372
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,Imaging of single barium atoms in a second matrix site in solid xenon for barium tagging in a $^{136}$Xe double beta decay experiment,0.438844
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.633791
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,Sensitivity of nEXO to $^{136}$Xe Charged-Current Interactions: Background-free Searches for Solar Neutrinos and Fermionic Dark Matter,0.508107
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,Ultra-pure Nickel for Structural Components of Low-Radioactivity Instruments,0.441375
Ultra-sensitive radon assay using an electrostatic chamber in a recirculating system,"Sensitivity of nEXO to <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""> <mml:mrow> <mml:mmultiscripts> <mml:mrow> <mml:mi>Xe</mml:mi> </mml:mrow> <mml:mprescripts/> <mml:none/> <mml:mrow> <mml:mn>136</mml:mn> </mml:mrow> </mml:mmultiscripts> </mml:mrow> </mml:math> charged-current interactions: Background-free searches for solar neutrinos and fermionic dark matter",0.499122
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,0.767706
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Development of a <sup>127</sup>Xe calibration source for nEXO,0.803599
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Imaging of single barium atoms in a second matrix site in solid xenon for barium tagging in a $^{136}$Xe double beta decay experiment,0.724891
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.987393
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Sensitivity of nEXO to $^{136}$Xe Charged-Current Interactions: Background-free Searches for Solar Neutrinos and Fermionic Dark Matter,0.574479
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,Ultra-pure Nickel for Structural Components of Low-Radioactivity Instruments,0.392231
Ion Manipulation from Liquid Xe to Vacuum: Ba-Tagging for a nEXO Upgrade and Future 0νββ Experiments,"Sensitivity of nEXO to <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""> <mml:mrow> <mml:mmultiscripts> <mml:mrow> <mml:mi>Xe</mml:mi> </mml:mrow> <mml:mprescripts/> <mml:none/> <mml:mrow> <mml:mn>136</mml:mn> </mml:mrow> </mml:mmultiscripts> </mml:mrow> </mml:math> charged-current interactions: Background-free searches for solar neutrinos and fermionic dark matter",0.570922
Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,Development of a <sup>127</sup>Xe calibration source for nEXO,0.654789
Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,Imaging of single barium atoms in a second matrix site in solid xenon for barium tagging in a $^{136}$Xe double beta decay experiment,0.888382
Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.785878
Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,Sensitivity of nEXO to $^{136}$Xe Charged-Current Interactions: Background-free Searches for Solar Neutrinos and Fermionic Dark Matter,0.544225
Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,Ultra-pure Nickel for Structural Components of Low-Radioactivity Instruments,0.308108
Overcoming photobleaching in imaging of single barium atoms in a solid xenon matrix,"Sensitivity of nEXO to <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""> <mml:mrow> <mml:mmultiscripts> <mml:mrow> <mml:mi>Xe</mml:mi> </mml:mrow> <mml:mprescripts/> <mml:none/> <mml:mrow> <mml:mn>136</mml:mn> </mml:mrow> </mml:mmultiscripts> </mml:mrow> </mml:math> charged-current interactions: Background-free searches for solar neutrinos and fermionic dark matter",0.558534
Development of a <sup>127</sup>Xe calibration source for nEXO,Imaging of single barium atoms in a second matrix site in solid xenon for barium tagging in a $^{136}$Xe double beta decay experiment,0.585859
Development of a <sup>127</sup>Xe calibration source for nEXO,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.803639
Development of a <sup>127</sup>Xe calibration source for nEXO,Sensitivity of nEXO to $^{136}$Xe Charged-Current Interactions: Background-free Searches for Solar Neutrinos and Fermionic Dark Matter,0.6882
Development of a <sup>127</sup>Xe calibration source for nEXO,Ultra-pure Nickel for Structural Components of Low-Radioactivity Instruments,0.329244
Development of a <sup>127</sup>Xe calibration source for nEXO,"Sensitivity of nEXO to <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""> <mml:mrow> <mml:mmultiscripts> <mml:mrow> <mml:mi>Xe</mml:mi> </mml:mrow> <mml:mprescripts/> <mml:none/> <mml:mrow> <mml:mn>136</mml:mn> </mml:mrow> </mml:mmultiscripts> </mml:mrow> </mml:math> charged-current interactions: Background-free searches for solar neutrinos and fermionic dark matter",0.69185
Imaging of single barium atoms in a second matrix site in solid xenon for barium tagging in a $^{136}$Xe double beta decay experiment,Ion manipulation from liquid Xe to vacuum: Ba-tagging for a nEXO upgrade and future $0 νββ$ experiments,0.751104
Imaging of single barium atoms in a second matrix site in solid xenon for barium tagging in a $^{136}$Xe double beta decay experiment,Sensitivity of nEXO to $^{136}$Xe Charged-Current Interactions: Background-free Searches for Solar Neutrinos and Fermionic Dark Matter,0.482811
