abstract_i,abstract_j,cosine_similarity
0,1,0.266605
0,2,0.358284
0,3,0.388097
0,4,0.280221
0,5,0.283148
0,6,0.603749
0,7,0.657069
0,8,0.652715
0,9,0.453863
0,10,0.609865
0,11,0.467309
0,12,0.597782
0,13,0.432554
0,14,0.990441
0,15,0.377717
0,16,0.325701
0,17,0.323123
0,18,0.308292
0,19,0.22899
0,20,0.33695
0,21,0.311518
0,22,0.315601
0,23,0.899353
1,2,0.095083
1,3,0.16214
1,4,0.184574
1,5,0.072309
1,6,0.233311
1,7,0.230473
1,8,0.252483
1,9,0.209259
1,10,0.219921
1,11,0.17673
1,12,0.23661
1,13,0.232006
1,14,0.241861
1,15,0.163758
1,16,0.144421
1,17,0.180578
1,18,0.184311
1,19,0.196628
1,20,0.040834
1,21,0.206925
1,22,0.176971
1,23,0.251274
2,3,0.44651
2,4,0.437231
2,5,0.858398
2,6,0.235673
2,7,0.347385
2,8,0.335199
2,9,0.407608
2,10,0.248428
2,11,0.344965
2,12,0.344661
2,13,0.344836
2,14,0.3701
2,15,0.510048
2,16,0.603791
2,17,0.599579
2,18,0.449869
2,19,0.40047
2,20,0.927892
2,21,0.468117
2,22,0.501908
2,23,0.339326
3,4,0.413007
3,5,0.39145
3,6,0.353621
3,7,0.337869
3,8,0.341967
3,9,0.512643
3,10,0.342457
3,11,0.433738
3,12,0.352647
3,13,0.472795
3,14,0.403697
3,15,0.416242
3,16,0.308242
3,17,0.310147
3,18,0.38555
3,19,0.346273
3,20,0.41963
3,21,0.431804
3,22,0.415484
3,23,0.333864
4,5,0.4928
4,6,0.348597
4,7,0.350128
4,8,0.344055
4,9,0.499975
4,10,0.33529
4,11,0.598843
4,12,0.336264
4,13,0.365664
4,14,0.284723
4,15,0.799595
4,16,0.542551
4,17,0.567503
4,18,0.718054
4,19,0.888794
4,20,0.472729
4,21,0.856279
4,22,0.820077
4,23,0.318417
5,6,0.277629
5,7,0.335139
5,8,0.32534
5,9,0.414385
5,10,0.281901
5,11,0.383971
5,12,0.293279
5,13,0.3622
5,14,0.300013
5,15,0.548777
5,16,0.500037
5,17,0.51232
5,18,0.479971
5,19,0.448161
5,20,0.860092
5,21,0.511048
5,22,0.534522
5,23,0.309015
6,7,0.455495
6,8,0.461966
6,9,0.456423
6,10,0.96967
6,11,0.430197
6,12,0.437526
6,13,0.433098
6,14,0.595437
6,15,0.449182
6,16,0.252422
6,17,0.276155
6,18,0.381248
6,19,0.322627
6,20,0.231704
6,21,0.383614
6,22,0.378705
6,23,0.565623
7,8,0.980121
7,9,0.523034
7,10,0.441973
7,11,0.464246
7,12,0.888474
7,13,0.486139
7,14,0.641369
7,15,0.405957
7,16,0.29507
7,17,0.274389
7,18,0.40851
7,19,0.341035
7,20,0.351394
7,21,0.378793
7,22,0.352813
7,23,0.597653
8,9,0.51866
8,10,0.442554
8,11,0.455275
8,12,0.884507
8,13,0.478958
8,14,0.641333
8,15,0.397611
8,16,0.280145
8,17,0.260335
8,18,0.403859
8,19,0.333634
8,20,0.340071
8,21,0.375477
8,22,0.356509
8,23,0.597492
9,10,0.429392
9,11,0.535114
9,12,0.535489
9,13,0.528602
9,14,0.447764
9,15,0.50546
9,16,0.37409
9,17,0.374803
9,18,0.493016
9,19,0.520552
9,20,0.403044
9,21,0.511095
9,22,0.483618
9,23,0.443447
10,11,0.410345
10,12,0.427536
10,13,0.418976
10,14,0.600466
10,15,0.440145
10,16,0.247546
10,17,0.278103
10,18,0.372527
10,19,0.30714
10,20,0.244599
10,21,0.36458
10,22,0.369267
10,23,0.572583
11,12,0.412862
11,13,0.44393
11,14,0.474397
11,15,0.63249
11,16,0.335268
11,17,0.327006
11,18,0.491255
11,19,0.450202
11,20,0.377889
11,21,0.587825
11,22,0.58889
11,23,0.444464
12,13,0.462867
12,14,0.580557
12,15,0.400391
12,16,0.32277
12,17,0.300899
12,18,0.488576
12,19,0.316494
12,20,0.310488
12,21,0.43107
12,22,0.37918
12,23,0.567562
13,14,0.426144
13,15,0.449861
13,16,0.31426
13,17,0.306607
13,18,0.39882
13,19,0.333622
13,20,0.333239
13,21,0.441442
13,22,0.413221
13,23,0.392134
14,15,0.376568
14,16,0.329259
14,17,0.324105
14,18,0.30333
14,19,0.226686
14,20,0.35641
14,21,0.313121
14,22,0.324836
14,23,0.890428
15,16,0.506916
15,17,0.539794
15,18,0.725754
15,19,0.723136
15,20,0.510654
15,21,0.815052
15,22,0.840417
15,23,0.421629
16,17,0.975349
16,18,0.498203
16,19,0.602256
16,20,0.620563
16,21,0.5323
16,22,0.513274
16,23,0.316609
17,18,0.514534
17,19,0.629852
17,20,0.611609
17,21,0.544287
17,22,0.528746
17,23,0.325075
18,19,0.672377
18,20,0.424059
18,21,0.821547
18,22,0.769516
18,23,0.338459
19,20,0.430232
19,21,0.761501
19,22,0.738074
19,23,0.26673
20,21,0.483725
20,22,0.504944
20,23,0.332642
21,22,0.907322
21,23,0.342138
22,23,0.347879
