title_i,title_j,cosine_similarity
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First M87 Event Horizon Telescope Results. VIII. Magnetic Field Structure near The Event Horizon,0.582131
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First Sagittarius A* Event Horizon Telescope Results. VI. Testing the Black Hole Metric,0.809469
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First Sagittarius A* Event Horizon Telescope Results. V. Testing Astrophysical Models of the Galactic Center Black Hole,0.641664
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First M87 Event Horizon Telescope Results. VII. Polarization of the Ring,0.684335
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First Sagittarius A* Event Horizon Telescope Results. III. Imaging of the Galactic Center Supermassive Black Hole,0.797404
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,"First Sagittarius A* Event Horizon Telescope Results. IV. Variability, Morphology, and Black Hole Mass",0.697523
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,"First Sagittarius A* Event Horizon Telescope Results. II. EHT and Multiwavelength Observations, Data Processing, and Calibration",0.779429
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Constraints on black-hole charges with the 2017 EHT observations of M87*,0.578093
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Millimeter Light Curves of Sagittarius A* Observed during the 2017 Event Horizon Telescope Campaign,0.683874
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First Sagittarius A* Event Horizon Telescope Results. VII. Polarization of the Ring,0.76402
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First Sagittarius A* Event Horizon Telescope Results. VIII. Physical Interpretation of the Polarized Ring,0.712155
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First M87 Event Horizon Telescope Results. IX. Detection of Near-horizon Circular Polarization,0.689323
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,The persistent shadow of the supermassive black hole of M 87,0.828113
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Rapid Variability of Sgr A* across the Electromagnetic Spectrum,0.639861
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,General relativistic MHD simulations of non-thermal flaring in Sagittarius A*,0.391402
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,"Constraining particle acceleration in Sgr A<sup>⋆</sup>with simultaneous GRAVITY,<i>Spitzer</i>,<i>NuSTAR</i>, and<i>Chandra</i>observations",0.3812
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Resolving the Inner Parsec of the Blazar J1924–2914 with the Event Horizon Telescope,0.644639
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Broadband multi-wavelength properties of M87 during the 2018 EHT campaign including a very high energy flaring episode,0.649956
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Ordered magnetic fields around the 3C 84 central black hole,0.595888
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,First Very Long Baseline Interferometry Detections at 870 μm,0.602008
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,A Universal Power-law Prescription for Variability from Synthetic Images of Black Hole Accretion Flows,0.630114
First Sagittarius A* Event Horizon Telescope Results. I. The Shadow of the Supermassive Black Hole in the Center of the Milky Way,Characterizing and Mitigating Intraday Variability: Reconstructing Source Structure in Accreting Black Holes with mm-VLBI,0.621032
