abstract_i,abstract_j,cosine_similarity
0,1,0.083599
0,2,0.458684
0,3,0.378073
0,4,0.370831
0,5,0.328786
0,6,0.654274
0,7,0.423133
0,8,0.425451
0,9,0.420926
0,10,0.508676
0,11,0.700873
0,12,0.539539
0,13,0.652823
0,14,0.645808
0,15,0.460407
0,16,0.363698
0,17,0.951925
0,18,0.381998
0,19,0.372505
0,20,0.36813
1,2,0.085102
1,3,0.155225
1,4,0.00156
1,5,0.098444
1,6,0.152479
1,7,0.154259
1,8,0.011064
1,9,0.147137
1,10,0.042448
1,11,0.050635
1,12,0.05296
1,13,0.008601
1,14,0.087831
1,15,0.161752
1,16,0.101462
1,17,0.105882
1,18,0.144263
1,19,0.057588
1,20,0.008448
2,3,0.554693
2,4,0.393803
2,5,0.491592
2,6,0.493528
2,7,0.517721
2,8,0.195848
2,9,0.458628
2,10,0.503982
2,11,0.51697
2,12,0.322629
2,13,0.328786
2,14,0.410539
2,15,0.461062
2,16,0.464035
2,17,0.449933
2,18,0.548396
2,19,0.3004
2,20,0.397263
3,4,0.4452
3,5,0.36207
3,6,0.340869
3,7,0.943882
3,8,0.231222
3,9,0.54987
3,10,0.325373
3,11,0.411773
3,12,0.25022
3,13,0.292068
3,14,0.313799
3,15,0.565747
3,16,0.265978
3,17,0.363126
3,18,0.99777
3,19,0.560046
3,20,0.434185
4,5,0.368795
4,6,0.363651
4,7,0.44267
4,8,0.299499
4,9,0.345438
4,10,0.38864
4,11,0.55698
4,12,0.114742
4,13,0.384224
4,14,0.402891
4,15,0.325646
4,16,0.312076
4,17,0.392682
4,18,0.446012
4,19,0.363887
4,20,0.989104
5,6,0.540608
5,7,0.367368
5,8,0.202638
5,9,0.383957
5,10,0.523813
5,11,0.432947
5,12,0.279641
5,13,0.324986
5,14,0.394427
5,15,0.383167
5,16,0.458912
5,17,0.328662
5,18,0.35926
5,19,0.296706
5,20,0.375996
6,7,0.319363
6,8,0.288485
6,9,0.290906
6,10,0.571649
6,11,0.614165
6,12,0.558351
6,13,0.550174
6,14,0.605354
6,15,0.321375
6,16,0.422677
6,17,0.707821
6,18,0.340228
6,19,0.1406
6,20,0.380267
7,8,0.261816
7,9,0.542526
7,10,0.347013
7,11,0.417677
7,12,0.26169
7,13,0.296262
7,14,0.33798
7,15,0.558842
7,16,0.269416
7,17,0.395503
7,18,0.944102
7,19,0.621394
7,20,0.434703
8,9,0.301483
8,10,0.311676
8,11,0.449176
8,12,0.100029
8,13,0.526619
8,14,0.31031
8,15,0.316555
8,16,0.14314
8,17,0.431159
8,18,0.237069
8,19,0.384608
8,20,0.296272
9,10,0.228903
9,11,0.341298
9,12,0.302271
9,13,0.273543
9,14,0.238679
9,15,0.97788
9,16,0.243934
9,17,0.370169
9,18,0.543746
9,19,0.607073
9,20,0.338127
10,11,0.630062
10,12,0.294481
10,13,0.539129
10,14,0.584511
10,15,0.260146
10,16,0.499689
10,17,0.546896
10,18,0.319978
10,19,0.226348
10,20,0.399336
11,12,0.319873
11,13,0.723472
11,14,0.818209
11,15,0.377665
11,16,0.567045
11,17,0.729186
11,18,0.412739
11,19,0.33479
11,20,0.554534
12,13,0.364218
12,14,0.376264
12,15,0.32692
12,16,0.227401
12,17,0.491691
12,18,0.25076
12,19,0.134969
12,20,0.121166
13,14,0.649987
13,15,0.303996
13,16,0.339489
13,17,0.728245
13,18,0.290536
13,19,0.264799
13,20,0.396578
14,15,0.270251
14,16,0.656482
14,17,0.684839
14,18,0.310868
14,19,0.263984
14,20,0.394693
15,16,0.25333
15,17,0.411791
15,18,0.558392
15,19,0.619561
15,20,0.318476
16,17,0.386087
16,18,0.268673
16,19,0.213724
16,20,0.311068
17,18,0.363995
17,19,0.318593
17,20,0.394699
18,19,0.558486
18,20,0.435175
19,20,0.338791
