abstract_i,abstract_j,cosine_similarity
0,1,0.507368
0,2,0.684772
0,3,0.083532
0,4,0.340417
0,5,0.762271
0,6,0.492836
0,7,0.526386
0,8,0.619103
0,9,0.669285
0,10,0.390421
0,11,0.579432
0,12,0.865504
0,13,0.657938
0,14,0.246923
0,15,0.481627
0,16,0.453271
0,17,0.493998
1,2,0.633699
1,3,0.096726
1,4,0.549169
1,5,0.635417
1,6,0.661119
1,7,0.727926
1,8,0.511351
1,9,0.696585
1,10,0.529645
1,11,0.683481
1,12,0.685109
1,13,0.657595
1,14,0.121447
1,15,0.662776
1,16,0.588743
1,17,0.557389
2,3,0.097156
2,4,0.406745
2,5,0.85399
2,6,0.538548
2,7,0.60961
2,8,0.678434
2,9,0.811866
2,10,0.438584
2,11,0.629486
2,12,0.836823
2,13,0.686205
2,14,0.220857
2,15,0.668927
2,16,0.524497
2,17,0.576368
3,4,0.205187
3,5,0.080156
3,6,0.16236
3,7,0.153408
3,8,0.115842
3,9,0.11201
3,10,0.104792
3,11,0.196498
3,12,0.111217
3,13,0.128579
3,14,0.065565
3,15,0.185662
3,16,0.067931
3,17,0.172083
4,5,0.401403
4,6,0.664807
4,7,0.716375
4,8,0.379256
4,9,0.442375
4,10,0.518696
4,11,0.579613
4,12,0.449599
4,13,0.438276
4,14,0.274203
4,15,0.532323
4,16,0.487524
4,17,0.429281
5,6,0.589765
5,7,0.648348
5,8,0.782304
5,9,0.827838
5,10,0.413892
5,11,0.675493
5,12,0.855978
5,13,0.746056
5,14,0.210492
5,15,0.627769
5,16,0.566922
5,17,0.646356
6,7,0.871362
6,8,0.502833
6,9,0.547023
6,10,0.653881
6,11,0.588472
6,12,0.628047
6,13,0.521848
6,14,0.220147
6,15,0.571689
6,16,0.549551
6,17,0.449519
7,8,0.526828
7,9,0.618145
7,10,0.587959
7,11,0.723962
7,12,0.685214
7,13,0.601351
7,14,0.209122
7,15,0.633407
7,16,0.589657
7,17,0.548232
8,9,0.706901
8,10,0.339143
8,11,0.589412
8,12,0.682316
8,13,0.650103
8,14,0.331419
8,15,0.560728
8,16,0.395882
8,17,0.793966
9,10,0.449348
9,11,0.679485
9,12,0.816862
9,13,0.85953
9,14,0.175509
9,15,0.68663
9,16,0.491389
9,17,0.729675
10,11,0.450561
10,12,0.487526
10,13,0.411697
10,14,0.206812
10,15,0.519232
10,16,0.434567
10,17,0.296317
11,12,0.680234
11,13,0.710048
11,14,0.169399
11,15,0.717078
11,16,0.542582
11,17,0.656369
12,13,0.746073
12,14,0.212457
12,15,0.657852
12,16,0.525235
12,17,0.610289
13,14,0.172576
13,15,0.644418
13,16,0.437812
13,17,0.752073
14,15,0.178384
14,16,0.142066
14,17,0.292286
15,16,0.457727
15,17,0.573847
16,17,0.353084
