title_i,title_j,cosine_similarity
Tactile Display Device Using Distributed Lateral Skin Stretch,Phase control approach to hysteresis reduction,0.238996
Tactile Display Device Using Distributed Lateral Skin Stretch,An approach to reduction of hysteresis in smart materials,0.352906
Tactile Display Device Using Distributed Lateral Skin Stretch,On the linear compensation of hysteresis,0.274045
Tactile Display Device Using Distributed Lateral Skin Stretch,Reduction of major and minor hysteresis loops in a piezoelectric actuator,0.275537
Tactile Display Device Using Distributed Lateral Skin Stretch,POSITION STABILITY FOR PHASE CONTROL OF THE PREISACH HYSTERESIS MODEL,0.12973
Phase control approach to hysteresis reduction,An approach to reduction of hysteresis in smart materials,0.720611
Phase control approach to hysteresis reduction,On the linear compensation of hysteresis,0.772612
Phase control approach to hysteresis reduction,Reduction of major and minor hysteresis loops in a piezoelectric actuator,0.783092
Phase control approach to hysteresis reduction,POSITION STABILITY FOR PHASE CONTROL OF THE PREISACH HYSTERESIS MODEL,0.596263
An approach to reduction of hysteresis in smart materials,On the linear compensation of hysteresis,0.832676
An approach to reduction of hysteresis in smart materials,Reduction of major and minor hysteresis loops in a piezoelectric actuator,0.800434
An approach to reduction of hysteresis in smart materials,POSITION STABILITY FOR PHASE CONTROL OF THE PREISACH HYSTERESIS MODEL,0.634704
On the linear compensation of hysteresis,Reduction of major and minor hysteresis loops in a piezoelectric actuator,0.835859
On the linear compensation of hysteresis,POSITION STABILITY FOR PHASE CONTROL OF THE PREISACH HYSTERESIS MODEL,0.729491
Reduction of major and minor hysteresis loops in a piezoelectric actuator,POSITION STABILITY FOR PHASE CONTROL OF THE PREISACH HYSTERESIS MODEL,0.61305
