abstract_i,abstract_j,cosine_similarity
0,1,0.52453
0,2,0.485694
0,3,0.493565
0,4,0.683786
0,5,0.74569
0,6,0.564187
0,7,0.688576
0,8,0.406606
0,9,0.503802
0,10,0.644449
0,11,0.49781
0,12,0.445639
0,13,0.483788
0,14,0.536652
0,15,0.501018
0,16,0.373882
0,17,0.408072
0,18,0.501682
0,19,0.426306
0,20,0.4669
0,21,0.413171
0,22,0.554425
0,23,0.569984
0,24,0.554711
0,25,0.469501
0,26,0.450787
0,27,0.466535
0,28,0.469428
0,29,0.51476
0,30,0.218132
0,31,0.556912
0,32,0.505042
0,33,0.454805
0,34,0.571452
0,35,0.699354
0,36,0.558418
0,37,0.346026
0,38,0.555487
0,39,0.584017
0,40,0.594681
0,41,0.451918
0,42,0.597574
0,43,0.668684
0,44,0.477989
0,45,0.462067
0,46,0.525674
0,47,0.367906
0,48,0.635904
0,49,0.538074
0,50,0.379446
0,51,0.444801
0,52,0.667331
0,53,0.476913
0,54,0.430783
0,55,0.522289
0,56,0.554989
0,57,0.623401
0,58,0.542527
0,59,0.450008
0,60,0.431538
0,61,0.525974
0,62,0.612314
0,63,0.630962
0,64,0.522433
0,65,0.466616
0,66,0.538236
0,67,0.511926
0,68,0.525656
0,69,0.46555
0,70,0.509295
0,71,0.636271
0,72,0.587089
0,73,0.636175
0,74,0.389296
0,75,0.631082
0,76,0.486367
0,77,0.666707
0,78,0.546069
0,79,0.632079
0,80,0.411449
0,81,0.449591
0,82,0.609776
0,83,0.471814
0,84,0.392593
0,85,0.546698
0,86,0.640335
0,87,0.626523
0,88,0.677018
0,89,0.605174
0,90,0.472544
0,91,0.554857
0,92,0.526467
0,93,0.403228
0,94,0.518915
0,95,0.579265
0,96,0.496156
0,97,0.552173
0,98,0.709925
0,99,0.438065
0,100,0.398282
0,101,0.478512
0,102,0.469967
0,103,0.589339
0,104,0.446908
0,105,0.508711
0,106,0.440879
0,107,0.582492
0,108,0.499911
0,109,0.440242
0,110,0.625559
0,111,0.395988
0,112,0.666859
0,113,0.450402
0,114,0.518394
0,115,0.469549
0,116,0.573771
1,2,0.570983
1,3,0.504204
1,4,0.510897
1,5,0.587196
1,6,0.628559
1,7,0.513063
1,8,0.500564
1,9,0.488519
1,10,0.526085
1,11,0.60711
1,12,0.411466
1,13,0.551034
1,14,0.563846
1,15,0.594655
1,16,0.55176
1,17,0.44133
1,18,0.6135
1,19,0.575501
1,20,0.619816
1,21,0.516282
1,22,0.519703
1,23,0.545002
1,24,0.516423
1,25,0.612945
1,26,0.544472
1,27,0.6319
1,28,0.555807
1,29,0.593657
1,30,0.191427
1,31,0.613052
1,32,0.552558
1,33,0.686382
1,34,0.692154
1,35,0.490036
1,36,0.700397
1,37,0.416054
1,38,0.546394
1,39,0.577549
1,40,0.582048
1,41,0.522893
1,42,0.535442
1,43,0.525975
1,44,0.55553
1,45,0.538649
1,46,0.575391
1,47,0.492131
1,48,0.63528
1,49,0.653141
1,50,0.55405
1,51,0.713455
1,52,0.568865
1,53,0.783773
1,54,0.691276
1,55,0.418698
1,56,0.465081
1,57,0.509315
1,58,0.472348
1,59,0.610934
1,60,0.567105
1,61,0.416338
1,62,0.472736
1,63,0.552501
1,64,0.616074
1,65,0.515648
1,66,0.707163
1,67,0.626303
1,68,0.636602
1,69,0.532365
1,70,0.721629
1,71,0.562808
1,72,0.763721
1,73,0.514075
1,74,0.57744
1,75,0.528151
1,76,0.501594
1,77,0.628426
1,78,0.573803
1,79,0.605342
1,80,0.599459
1,81,0.426123
1,82,0.451077
1,83,0.513855
1,84,0.514418
1,85,0.517553
1,86,0.512722
1,87,0.518127
1,88,0.626232
1,89,0.752434
1,90,0.617007
1,91,0.643608
1,92,0.503414
1,93,0.543314
1,94,0.502694
1,95,0.475246
1,96,0.532219
1,97,0.591241
1,98,0.487177
1,99,0.597215
1,100,0.453733
1,101,0.61439
1,102,0.56621
1,103,0.650248
1,104,0.559101
1,105,0.475034
1,106,0.54863
1,107,0.58425
1,108,0.59985
1,109,0.44669
1,110,0.534685
1,111,0.446188
1,112,0.566394
1,113,0.568962
1,114,0.73909
1,115,0.594239
1,116,0.596706
2,3,0.61883
2,4,0.401408
2,5,0.494093
2,6,0.459471
2,7,0.573915
2,8,0.368911
2,9,0.391435
2,10,0.425154
2,11,0.402222
2,12,0.343524
2,13,0.348301
2,14,0.354614
2,15,0.562573
2,16,0.391861
2,17,0.415604
2,18,0.477252
2,19,0.314808
2,20,0.368996
2,21,0.315078
2,22,0.412551
2,23,0.48424
2,24,0.42716
2,25,0.418112
2,26,0.35768
2,27,0.400845
2,28,0.38775
2,29,0.414944
2,30,0.100519
2,31,0.418018
2,32,0.341857
2,33,0.373846
2,34,0.570676
2,35,0.345944
2,36,0.441074
2,37,0.390388
2,38,0.436924
2,39,0.424129
2,40,0.596253
2,41,0.299485
2,42,0.408231
2,43,0.567838
2,44,0.340884
