abstract_i,abstract_j,cosine_similarity
0,1,0.659798
0,2,0.73561
0,3,0.481615
0,4,0.497965
0,5,0.675126
0,6,0.453894
0,7,0.70628
0,8,0.211135
0,9,0.448618
0,10,0.486297
0,11,0.315132
0,12,0.553068
0,13,0.477701
0,14,0.996723
0,15,0.772334
0,16,0.481631
0,17,0.31536
0,18,0.708324
0,19,0.60409
0,20,-0.029544
0,21,0.073425
0,22,0.08217
0,23,0.014033
0,24,0.766775
0,25,0.485975
0,26,0.674941
0,27,0.652413
0,28,0.338421
0,29,0.660696
1,2,0.681011
1,3,0.49446
1,4,0.462011
1,5,0.614985
1,6,0.409297
1,7,0.549139
1,8,0.18669
1,9,0.427077
1,10,0.572275
1,11,0.286211
1,12,0.487983
1,13,0.405944
1,14,0.664887
1,15,0.565828
1,16,0.37627
1,17,0.302331
1,18,0.591324
1,19,0.499318
1,20,-0.027879
1,21,0.117489
1,22,0.086002
1,23,0.03277
1,24,0.558704
1,25,0.573771
1,26,0.617141
1,27,0.561873
1,28,0.263567
1,29,0.920026
2,3,0.556517
2,4,0.542149
2,5,0.488736
2,6,0.453647
2,7,0.788104
2,8,0.168646
2,9,0.433001
2,10,0.487859
2,11,0.291478
2,12,0.517637
2,13,0.544412
2,14,0.724643
2,15,0.653944
2,16,0.559284
2,17,0.339316
2,18,0.812804
2,19,0.678342
2,20,-0.017047
2,21,0.082919
2,22,0.118323
2,23,0.018756
2,24,0.645481
2,25,0.482525
2,26,0.482401
2,27,0.835141
2,28,0.363113
2,29,0.737423
3,4,0.891043
3,5,0.355993
3,6,0.528312
3,7,0.52805
3,8,0.146538
3,9,0.50856
3,10,0.461081
3,11,0.380593
3,12,0.424781
3,13,0.789691
3,14,0.486474
3,15,0.460947
3,16,0.467988
3,17,0.296735
3,18,0.48486
3,19,0.539457
3,20,0.013537
3,21,0.025961
3,22,0.049697
3,23,-0.040461
3,24,0.459517
3,25,0.469466
3,26,0.360812
3,27,0.53688
3,28,0.216392
3,29,0.495739
4,5,0.355516
4,6,0.463271
4,7,0.550361
4,8,0.213194
4,9,0.449558
4,10,0.410441
4,11,0.361152
4,12,0.425554
4,13,0.698903
4,14,0.503481
4,15,0.471671
4,16,0.47923
4,17,0.298336
4,18,0.458608
4,19,0.527172
4,20,0.018409
4,21,0.048952
4,22,0.046914
4,23,-0.050528
4,24,0.470716
4,25,0.421111
4,26,0.362425
4,27,0.533901
4,28,0.186207
4,29,0.467039
5,6,0.355759
5,7,0.464608
5,8,0.134352
5,9,0.376839
5,10,0.492401
5,11,0.322487
5,12,0.460177
5,13,0.264243
5,14,0.684796
5,15,0.640559
5,16,0.404716
5,17,0.297229
5,18,0.472846
5,19,0.52327
5,20,-0.021643
5,21,0.051574
5,22,0.07792
5,23,-0.005021
5,24,0.636433
5,25,0.492466
5,26,0.996759
5,27,0.473303
5,28,0.346759
5,29,0.633023
6,7,0.410935
6,8,0.073428
6,9,0.868451
6,10,0.423851
6,11,0.396099
6,12,0.39744
6,13,0.418054
6,14,0.453803
6,15,0.393164
6,16,0.484854
6,17,0.242406
6,18,0.389492
6,19,0.463786
6,20,-0.025478
6,21,-0.057013
6,22,0.114848
6,23,-0.057138
6,24,0.387409
6,25,0.431287
6,26,0.35645
6,27,0.409902
6,28,0.317928
6,29,0.442044
7,8,0.128256
7,9,0.396292
7,10,0.490964
7,11,0.363609
7,12,0.501388
7,13,0.544818
7,14,0.693298
7,15,0.589271
7,16,0.514189
7,17,0.317614
7,18,0.685421
7,19,0.714529
7,20,0.013178
7,21,0.056107
7,22,0.089452
7,23,0.018897
7,24,0.587354
7,25,0.488493
7,26,0.462163
7,27,0.779198
7,28,0.343405
7,29,0.568685
8,9,0.102165
8,10,0.08576
8,11,0.043543
8,12,0.153706
8,13,0.102451
8,14,0.211935
8,15,0.215468
8,16,0.110854
8,17,0.009425
8,18,0.156596
8,19,0.137848
8,20,0.074956
8,21,-0.027537
8,22,0.127796
8,23,0.167033
8,24,0.211736
8,25,0.084146
8,26,0.127073
8,27,0.146782
8,28,0.155747
8,29,0.150658
9,10,0.408087
9,11,0.426117
9,12,0.421707
9,13,0.424061
9,14,0.450229
9,15,0.365518
9,16,0.460684
9,17,0.272929
9,18,0.359734
9,19,0.464464
9,20,-0.049525
9,21,-0.077518
9,22,0.144596
9,23,-0.047007
9,24,0.358508
9,25,0.415502
9,26,0.380327
9,27,0.401099
9,28,0.356264
9,29,0.438905
10,11,0.393901
10,12,0.586416
10,13,0.471807
10,14,0.482938
10,15,0.444093
10,16,0.454923
10,17,0.360199
10,18,0.460213
10,19,0.501204
10,20,0.00645
10,21,0.002612
10,22,0.072284
10,23,-0.044173
10,24,0.442079
10,25,0.997847
10,26,0.492597
10,27,0.487231
10,28,0.319838
10,29,0.580701
11,12,0.461558
11,13,0.406613
11,14,0.319773
11,15,0.318889
11,16,0.354693
11,17,0.438136
11,18,0.294741
11,19,0.362529
11,20,0.098126
11,21,-0.029397
11,22,0.050034
