abstract_i,abstract_j,cosine_similarity
0,1,-0.051968
0,2,-0.045311
0,3,0.028529
0,4,-0.020372
0,5,-0.020428
0,6,0.98801
0,7,0.128993
0,8,-0.029747
0,9,0.463767
0,10,0.03938
1,2,0.421699
1,3,-0.029169
1,4,0.045005
1,5,0.151418
1,6,-0.044454
1,7,-0.148138
1,8,0.277508
1,9,-0.134155
1,10,-0.03525
2,3,0.068047
2,4,0.088786
2,5,0.133864
2,6,-0.038128
2,7,-0.011207
2,8,0.401213
2,9,0.022291
2,10,0.083772
3,4,0.668595
3,5,0.317204
3,6,0.04166
3,7,0.39993
3,8,0.142476
3,9,0.084344
3,10,0.529463
4,5,0.296227
4,6,-0.00206
4,7,0.255632
4,8,0.104292
4,9,0.008547
4,10,0.362754
5,6,-0.007712
5,7,0.305519
5,8,0.145055
5,9,-0.0568
5,10,0.315761
6,7,0.143854
6,8,-0.026062
6,9,0.471118
6,10,0.049468
7,8,0.059471
7,9,0.098504
7,10,0.344507
8,9,0.073124
8,10,0.06945
9,10,0.109593
