title_i,title_j,cosine_similarity
Magnetic properties of MnBi prepared by rapid solidification,Temperature dependence of coercivity in MnBi,0.828261
Magnetic properties of MnBi prepared by rapid solidification,"Superconductivity and spin fluctuations in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>M</mml:mi><mml:mo>−</mml:mo><mml:mi mathvariant=""normal"">Z</mml:mi><mml:mi mathvariant=""normal"">r</mml:mi></mml:math>metallic glasses (<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>M</mml:mi><mml:mo>=</mml:mo><mml:mi mathvariant=""normal"">C</mml:mi><mml:mi mathvariant=""normal"">u</mml:mi><mml:mo>,</mml:mo><mml:mspace/><mml:mi mathvariant=""normal"">N</mml:mi><mml:mi mathvariant=""normal"">i</mml:mi><mml:mo>,</mml:mo><mml:mspace/><mml:mi mathvariant=""normal"">C</mml:mi><mml:mi mathvariant=""normal"">o</mml:mi><mml:mo>,</mml:mo><mml:mspace/><mml:mi mathvariant=""normal"">a</mml:mi><mml:mi mathvariant=""normal"">n</mml:mi><mml:mi mathvariant=""normal"">d</mml:mi><mml:mspace/><mml:mi mathvariant=""normal"">F</mml:mi><mml:mi mathvariant=""normal"">e</mml:mi></mml:math>)",0.443942
Magnetic properties of MnBi prepared by rapid solidification,Crystallization characteristics of Ni-Zr metallic glasses from Ni20Zr80 to Ni70Zr30,0.298203
Magnetic properties of MnBi prepared by rapid solidification,Crystallization characteristics of Cu-Zr metallic glasses from Cu70Zr30 to Cu25Zr75,0.467046
Magnetic properties of MnBi prepared by rapid solidification,The influence of oxygen and other impurities on the crystallization of NiZr2 and related metallic glasses,0.321723
Magnetic properties of MnBi prepared by rapid solidification,Magnetic properties of iron-rich Fe-Sc glasses,0.589524
Magnetic properties of MnBi prepared by rapid solidification,"Magnetization studies of<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mo>(</mml:mo><mml:mi mathvariant=""normal"">GeTe</mml:mi><mml:mo>)</mml:mo></mml:mrow><mml:mrow><mml:mn>1</mml:mn><mml:mo>−</mml:mo><mml:mi>x</mml:mi></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mo>(</mml:mo><mml:mi mathvariant=""normal"">MnTe</mml:mi><mml:mo>)</mml:mo></mml:mrow><mml:mrow><mml:mi>x</mml:mi></mml:mrow></mml:msub></mml:mrow></mml:math>pseudobinary alloys",0.62585
Magnetic properties of MnBi prepared by rapid solidification,Formation of MnBi ferromagnetic phases through crystallization of the amorphous phase,0.815684
Magnetic properties of MnBi prepared by rapid solidification,Metastable RFe7 compounds (R=rare earths) and their nitrides with TbCu7 structure,0.464019
Magnetic properties of MnBi prepared by rapid solidification,Magnetic properties of iron-rich Fe-Zr glasses,0.561867
Magnetic properties of MnBi prepared by rapid solidification,Fitting to magnetoresistance under weak localization in three dimensions,0.460121
Magnetic properties of MnBi prepared by rapid solidification,"Optical conductivity of the stable icosahedral quasicrystal<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Al</mml:mi></mml:mrow><mml:mrow><mml:mn>63.5</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Cu</mml:mi></mml:mrow><mml:mrow><mml:mn>24.5</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Fe</mml:mi></mml:mrow><mml:mrow><mml:mn>12</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>",0.276481
Magnetic properties of MnBi prepared by rapid solidification,Crystallization characteristics of late transition metal-Zr glasses around the composition M90Zr10,0.348784
Magnetic properties of MnBi prepared by rapid solidification,High frequency impedance spectra of soft amorphous fibers,0.304912
Magnetic properties of MnBi prepared by rapid solidification,"<i>In situ</i>x-ray studies of rapid crystallization of amorphous<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">NiZr</mml:mi></mml:mrow><mml:mrow><mml:mn>2</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>",0.382049
Magnetic properties of MnBi prepared by rapid solidification,"An evaluation of the noise performance of Fe, Co, Si, and B amorphous alloys in ring-core fluxgate magnetometers",0.472012
Magnetic properties of MnBi prepared by rapid solidification,Pd polarization and interfacial moments in Pd-Fe multilayers,0.48936
Magnetic properties of MnBi prepared by rapid solidification,Scaling behavior in amorphous and disordered metals,0.370534
Magnetic properties of MnBi prepared by rapid solidification,Crystallization characteristics of Fe-Zr metallic glasses from Fe43Zr57 to Fe20Zr80,0.315431
Magnetic properties of MnBi prepared by rapid solidification,Electrical Resistance of Single-Crystal Single-Domain Chromium from 77 to 325 °K,0.498609
Magnetic properties of MnBi prepared by rapid solidification,Disorder and magnetic effects on the electron-transport properties of iron-chromium-boron metallic glasses,0.559901
Magnetic properties of MnBi prepared by rapid solidification,Crystallization characteristics of Co-Zr metallic glasses from Co52Zr48 to Co20Zr80,0.276255
Magnetic properties of MnBi prepared by rapid solidification,Hydrogen-induced change in magnetic structure of the metallic glass Fe<sub>89</sub>Zr<sub>11</sub>,0.452015
Magnetic properties of MnBi prepared by rapid solidification,Electronic transport in Cd–Yb and Y–Mg–Zn quasicrystals,0.361543
