abstract_i,abstract_j,cosine_similarity
0,1,0.565121
0,2,0.648645
0,3,0.60236
0,4,0.531674
0,5,0.680645
0,6,0.580304
0,7,0.049993
0,8,0.614847
0,9,0.665654
0,10,0.6436
0,11,0.495341
0,12,0.604412
0,13,0.726964
0,14,0.483419
0,15,0.542415
0,16,0.232196
0,17,0.563161
0,18,0.267873
0,19,0.586479
0,20,0.566946
0,21,0.660443
0,22,0.662237
0,23,0.516497
0,24,0.720031
0,25,0.593516
0,26,0.538072
0,27,0.588793
0,28,0.312785
0,29,0.255056
0,30,0.487656
0,31,0.502687
0,32,0.538425
0,33,0.720369
0,34,0.590873
0,35,0.542587
0,36,0.244162
0,37,0.350137
0,38,0.611991
0,39,0.549049
0,40,0.605567
0,41,0.691075
0,42,0.584459
0,43,0.233743
0,44,0.489665
0,45,0.704499
0,46,0.579812
0,47,0.37065
0,48,0.172974
0,49,0.682216
0,50,0.411416
0,51,0.766324
0,52,0.493765
0,53,0.312848
0,54,0.660705
0,55,0.617322
0,56,0.599601
0,57,0.077717
0,58,0.374325
0,59,0.311704
0,60,0.5289
0,61,0.580062
0,62,0.29466
0,63,0.554135
0,64,0.335263
0,65,0.537637
0,66,0.489338
0,67,0.487113
0,68,0.515957
0,69,0.664576
0,70,0.268076
0,71,0.724457
0,72,0.563561
0,73,0.684281
0,74,0.694432
0,75,0.612933
0,76,0.62894
0,77,0.506637
0,78,0.545509
0,79,0.579963
0,80,0.517755
0,81,0.265755
0,82,0.539297
0,83,0.67494
0,84,0.653658
0,85,0.580699
0,86,0.609243
0,87,0.538458
0,88,0.652193
0,89,0.640048
0,90,0.496678
0,91,0.521457
0,92,0.643906
0,93,0.592513
0,94,0.671053
0,95,0.461719
0,96,0.466816
0,97,0.470107
0,98,0.645831
0,99,0.51278
0,100,0.14061
0,101,0.653487
0,102,0.395705
0,103,0.670752
0,104,0.638441
0,105,0.636638
0,106,0.187517
0,107,0.572892
0,108,0.097568
0,109,0.66865
0,110,0.635062
0,111,0.539653
0,112,0.237965
0,113,0.292135
0,114,0.371605
0,115,0.630269
0,116,0.575617
0,117,0.441998
0,118,0.315875
0,119,0.522503
0,120,0.544515
0,121,0.31879
0,122,0.675474
0,123,0.36906
0,124,0.643201
0,125,0.661723
0,126,0.716516
0,127,0.501343
0,128,0.266797
0,129,0.714935
0,130,0.544108
0,131,0.62993
0,132,0.802665
0,133,0.617184
0,134,0.553017
0,135,0.531122
0,136,0.564329
0,137,0.560336
0,138,0.359694
0,139,0.41359
0,140,0.489577
0,141,0.770715
0,142,0.560303
0,143,0.62256
0,144,0.576302
0,145,0.695715
0,146,0.425259
0,147,0.616442
0,148,0.343499
0,149,0.509854
0,150,0.545852
1,2,0.53723
1,3,0.369723
1,4,0.524534
1,5,0.514576
1,6,0.305977
1,7,0.225855
1,8,0.735698
1,9,0.556504
1,10,0.368174
1,11,0.297823
1,12,0.44834
1,13,0.5036
1,14,0.311578
1,15,0.432201
1,16,0.200806
1,17,0.389798
1,18,0.418399
1,19,0.461884
1,20,0.724696
1,21,0.420271
1,22,0.432837
1,23,0.408052
1,24,0.529256
1,25,0.631656
1,26,0.392924
1,27,0.380328
1,28,0.216641
1,29,0.219212
1,30,0.322279
1,31,0.702829
1,32,0.387877
1,33,0.573279
1,34,0.501275
1,35,0.729667
1,36,0.31529
1,37,0.176348
1,38,0.526707
1,39,0.56527
1,40,0.499652
1,41,0.451732
1,42,0.440649
1,43,0.076571
1,44,0.651949
1,45,0.549995
1,46,0.527091
1,47,0.30528
1,48,0.174779
1,49,0.603323
1,50,0.251814
1,51,0.58526
1,52,0.404832
1,53,0.328266
1,54,0.585846
1,55,0.524558
1,56,0.292811
1,57,0.26963
1,58,0.335034
1,59,0.296991
1,60,0.43317
1,61,0.338392
1,62,0.079487
1,63,0.472981
1,64,0.432072
1,65,0.437355
1,66,0.484881
1,67,0.478666
1,68,0.363054
1,69,0.57126
1,70,0.191954
1,71,0.553267
1,72,0.462627
1,73,0.571647
1,74,0.582923
1,75,0.55291
1,76,0.46701
1,77,0.383195
1,78,0.444297
1,79,0.419435
1,80,0.279232
1,81,0.155174
1,82,0.505732
1,83,0.412338
1,84,0.383964
1,85,0.532364
1,86,0.569279
1,87,0.479795
1,88,0.666456
1,89,0.353892
1,90,0.402572
1,91,0.310432
1,92,0.497192
1,93,0.432702
1,94,0.570633
1,95,0.378849
1,96,0.295514
1,97,0.345027
1,98,0.838561
1,99,0.395153
1,100,0.133856
1,101,0.65578
1,102,0.24552
1,103,0.602795
1,104,0.605588
1,105,0.552885
1,106,0.192169
1,107,0.493598
1,108,0.10979
1,109,0.535839
1,110,0.547193
1,111,0.400775
1,112,0.228897
1,113,0.294706
1,114,0.333244
1,115,0.708949
1,116,0.629046
1,117,0.440078
1,118,0.299744
1,119,0.33066
1,120,0.382366
1,121,0.364516
1,122,0.404398
1,123,0.293204
1,124,0.391971
1,125,0.476049
1,126,0.504915
1,127,0.423955
1,128,0.278671
1,129,0.557024
1,130,0.595486
1,131,0.382783
1,132,0.583061
1,133,0.541754
1,134,0.476415
1,135,0.441954
1,136,0.502018
1,137,0.544089
1,138,0.190453
1,139,0.341083
1,140,0.360575
1,141,0.549599
1,142,0.654458
1,143,0.479621
1,144,0.554405
1,145,0.509363
1,146,0.418115
1,147,0.39603
1,148,0.310562
1,149,0.457568
1,150,0.576816
2,3,0.559092
2,4,0.514026
2,5,0.726856
2,6,0.584107
2,7,0.063301
2,8,0.679163
2,9,0.702748
2,10,0.558338
2,11,0.617213
2,12,0.522442
2,13,0.845646
2,14,0.670302
2,15,0.588053
2,16,0.222005
2,17,0.41883
2,18,0.197134
2,19,0.584253
2,20,0.526248
2,21,0.596769
2,22,0.63701
2,23,0.557639
2,24,0.641968
2,25,0.640347
2,26,0.693791
2,27,0.592114
2,28,0.434339
2,29,0.384439
2,30,0.525726
2,31,0.606915
2,32,0.562743
2,33,0.698659
2,34,0.552999
2,35,0.504935
2,36,0.246618
2,37,0.584162
2,38,0.625204
2,39,0.574699
2,40,0.646853
2,41,0.641993
2,42,0.762946
2,43,0.333982
2,44,0.472123
2,45,0.643071
2,46,0.507589
2,47,0.376314
2,48,0.25855
2,49,0.767403
2,50,0.306217
2,51,0.675383
2,52,0.501797
2,53,0.339906
2,54,0.69748
2,55,0.921526
2,56,0.578899
2,57,0.047539
2,58,0.448151
2,59,0.338849
2,60,0.705945
2,61,0.575354
2,62,0.442504
2,63,0.494785
