abstract_i,abstract_j,cosine_similarity
0,1,0.710044
0,2,0.625399
0,3,0.782078
0,4,0.360483
0,5,0.545267
0,6,0.76848
0,7,0.441243
0,8,0.297054
0,9,0.426065
0,10,0.495742
0,11,0.574911
0,12,0.561469
0,13,0.340116
0,14,0.764025
0,15,0.306571
0,16,0.63555
0,17,0.252848
0,18,0.378754
0,19,0.608827
0,20,0.666706
0,21,0.349961
0,22,0.425976
0,23,0.564807
0,24,0.353127
0,25,0.583538
0,26,0.350892
0,27,0.608337
0,28,0.48284
0,29,0.580966
0,30,0.625554
0,31,0.683185
0,32,0.333212
0,33,0.368007
0,34,0.640255
0,35,0.497357
0,36,0.331188
0,37,0.714977
0,38,0.447912
0,39,0.395709
0,40,0.513902
0,41,0.705865
0,42,0.62054
0,43,0.311836
0,44,0.35865
0,45,0.642893
0,46,0.32153
1,2,0.59548
1,3,0.695846
1,4,0.329527
1,5,0.591945
1,6,0.744996
1,7,0.467084
1,8,0.377659
1,9,0.378334
1,10,0.546255
1,11,0.554424
1,12,0.422779
1,13,0.421744
1,14,0.785283
1,15,0.377688
1,16,0.549625
1,17,0.197091
1,18,0.41337
1,19,0.515945
1,20,0.548417
1,21,0.404121
1,22,0.404477
1,23,0.584682
1,24,0.431483
1,25,0.517592
1,26,0.436494
1,27,0.519337
1,28,0.517648
1,29,0.630427
1,30,0.543033
1,31,0.745397
1,32,0.370221
1,33,0.378488
1,34,0.638534
1,35,0.525185
1,36,0.380282
1,37,0.619614
1,38,0.466053
1,39,0.469824
1,40,0.50873
1,41,0.7143
1,42,0.610251
1,43,0.438025
1,44,0.413102
1,45,0.551671
1,46,0.431886
2,3,0.576298
2,4,0.534877
2,5,0.820858
2,6,0.586831
2,7,0.539905
2,8,0.484465
2,9,0.530801
2,10,0.739211
2,11,0.68123
2,12,0.535956
2,13,0.689727
2,14,0.668762
2,15,0.599288
2,16,0.584004
2,17,0.632723
2,18,0.711713
2,19,0.844312
2,20,0.661518
2,21,0.499402
2,22,0.550631
2,23,0.739353
2,24,0.50188
2,25,0.867547
2,26,0.429255
2,27,0.786435
2,28,0.38912
2,29,0.78432
2,30,0.849816
2,31,0.60472
2,32,0.60164
2,33,0.316673
2,34,0.831041
2,35,0.827939
2,36,0.613909
2,37,0.61213
2,38,0.541495
2,39,0.667631
2,40,0.778238
2,41,0.680403
2,42,0.931889
2,43,0.390486
2,44,0.624292
2,45,0.798766
2,46,0.36041
3,4,0.327957
3,5,0.548908
3,6,0.871593
3,7,0.394446
3,8,0.313692
3,9,0.344256
3,10,0.516051
3,11,0.577188
3,12,0.516952
3,13,0.351638
3,14,0.83398
3,15,0.291893
3,16,0.640812
3,17,0.156137
3,18,0.382298
3,19,0.48263
3,20,0.571831
3,21,0.386109
3,22,0.421846
3,23,0.556815
3,24,0.353633
3,25,0.511301
3,26,0.333839
3,27,0.548259
3,28,0.509377
3,29,0.599449
3,30,0.51137
3,31,0.706871
3,32,0.290243
3,33,0.373307
3,34,0.638331
3,35,0.498574
3,36,0.312791
3,37,0.606648
3,38,0.440139
3,39,0.360977
3,40,0.496679
3,41,0.687419
3,42,0.589981
3,43,0.332804
3,44,0.347036
3,45,0.56048
3,46,0.323418
4,5,0.360898
4,6,0.300161
4,7,0.563698
4,8,0.366834
4,9,0.708825
4,10,0.331672
4,11,0.598566
4,12,0.32608
4,13,0.503582
4,14,0.337749
4,15,0.295162
4,16,0.405204
4,17,0.393243
4,18,0.59835
4,19,0.56063
4,20,0.517116
4,21,0.669269
4,22,0.745435
4,23,0.3412
4,24,0.532956
4,25,0.555205
4,26,0.392702
4,27,0.345558
4,28,0.29909
4,29,0.370874
4,30,0.440316
4,31,0.383613
4,32,0.268003
4,33,0.285069
4,34,0.427108
4,35,0.386736
4,36,0.301894
4,37,0.396373
4,38,0.68046
4,39,0.320986
4,40,0.400169
4,41,0.388695
4,42,0.532913
4,43,0.339055
4,44,0.322312
4,45,0.384633
4,46,0.364106
5,6,0.583361
5,7,0.544637
5,8,0.632782
5,9,0.365121
5,10,0.831446
5,11,0.674692
5,12,0.473781
5,13,0.704823
5,14,0.689249
5,15,0.697066
5,16,0.535609
5,17,0.568882
5,18,0.661897
5,19,0.722463
5,20,0.535739
5,21,0.526614
5,22,0.499469
5,23,0.878275
5,24,0.58995
5,25,0.687383
5,26,0.505241
5,27,0.749554
5,28,0.414322
5,29,0.879943
5,30,0.79582
5,31,0.610353
5,32,0.692447
5,33,0.341303
5,34,0.864224
5,35,0.925147
5,36,0.760617
5,37,0.504111
5,38,0.477077
5,39,0.756317
5,40,0.812418
5,41,0.681651
5,42,0.832699
5,43,0.550295
5,44,0.734547
5,45,0.757965
5,46,0.485729
6,7,0.4267
6,8,0.315799
6,9,0.369359
6,10,0.547313
6,11,0.594345
6,12,0.465579
6,13,0.361048
6,14,0.908311
6,15,0.313987
6,16,0.606769
6,17,0.168477
6,18,0.392939
6,19,0.498833
6,20,0.592948
6,21,0.359884
6,22,0.387429
6,23,0.599094
6,24,0.36487
6,25,0.53121
6,26,0.393469
6,27,0.595962
6,28,0.406561
6,29,0.647702
6,30,0.54465
6,31,0.765911
6,32,0.317538
6,33,0.368363
6,34,0.678139
6,35,0.526372
6,36,0.341698
6,37,0.624711
6,38,0.467021
6,39,0.394115
6,40,0.495361
6,41,0.690638
6,42,0.595613
6,43,0.368627
6,44,0.366377
6,45,0.613705
6,46,0.350855
7,8,0.458032
7,9,0.721117
7,10,0.504581
7,11,0.492371
7,12,0.375078
7,13,0.648709
7,14,0.507889
7,15,0.441222
7,16,0.417681
7,17,0.396156
7,18,0.663307
7,19,0.53684
7,20,0.467919
7,21,0.59722
7,22,0.555704
7,23,0.629622
7,24,0.523329
7,25,0.532294
7,26,0.691331
7,27,0.453913
7,28,0.484431
7,29,0.591405
7,30,0.583487
7,31,0.529581
7,32,0.40631
7,33,0.30732
7,34,0.546329
7,35,0.514811
7,36,0.5077
7,37,0.447648
7,38,0.707783
7,39,0.488867
7,40,0.47809
7,41,0.535778
7,42,0.578271
7,43,0.506709
7,44,0.499053
7,45,0.487121
7,46,0.627306
8,9,0.346002
8,10,0.477614
8,11,0.550765
8,12,0.203091
8,13,0.617178
8,14,0.407139
8,15,0.725357
8,16,0.32498
8,17,0.540524
8,18,0.557482
