abstract_i,abstract_j,cosine_similarity
0,1,0.305802
0,2,0.779423
0,3,0.157566
0,4,0.316156
0,5,0.256823
0,6,0.212404
0,7,0.270304
0,8,0.077425
0,9,0.272137
0,10,0.276292
0,11,0.174132
0,12,0.202217
0,13,0.342351
0,14,0.236703
0,15,0.378662
0,16,0.296449
0,17,0.165727
0,18,0.263155
0,19,0.648355
0,20,0.346073
0,21,0.388285
0,22,0.224544
0,23,0.147567
0,24,0.617821
0,25,0.411571
0,26,0.392891
0,27,0.266717
0,28,0.13576
1,2,0.275411
1,3,0.416459
1,4,0.403778
1,5,0.911242
1,6,0.398491
1,7,0.771841
1,8,0.305208
1,9,0.710191
1,10,0.263811
1,11,0.377623
1,12,0.305279
1,13,0.241041
1,14,0.908996
1,15,0.702861
1,16,0.74138
1,17,0.390458
1,18,0.412956
1,19,0.324803
1,20,0.654377
1,21,0.698245
1,22,0.424609
1,23,0.394053
1,24,0.295075
1,25,0.710385
1,26,0.763004
1,27,0.462233
1,28,0.267871
2,3,0.144395
2,4,0.275167
2,5,0.209084
2,6,0.197172
2,7,0.266205
2,8,0.097561
2,9,0.329396
2,10,0.229353
2,11,0.198336
2,12,0.172376
2,13,0.557394
2,14,0.231206
2,15,0.365114
2,16,0.277884
2,17,0.182614
2,18,0.280144
2,19,0.813788
2,20,0.280862
2,21,0.396896
2,22,0.264464
2,23,0.171399
2,24,0.800776
2,25,0.424937
2,26,0.346335
2,27,0.213419
2,28,0.100827
3,4,0.276705
3,5,0.491695
3,6,0.540777
3,7,0.409322
3,8,0.416208
3,9,0.361965
3,10,0.052411
3,11,0.429115
3,12,0.217283
3,13,0.089946
3,14,0.419465
3,15,0.21893
3,16,0.298214
3,17,0.733327
3,18,0.340605
3,19,0.165583
3,20,0.222137
3,21,0.216785
3,22,0.399984
3,23,0.427839
3,24,0.144401
3,25,0.293996
3,26,0.323443
3,27,0.419462
3,28,0.247972
4,5,0.34911
4,6,0.321563
4,7,0.481012
4,8,0.231504
4,9,0.308652
4,10,0.186905
4,11,0.441818
4,12,0.472688
4,13,0.165141
4,14,0.425393
4,15,0.503958
4,16,0.431458
4,17,0.263066
4,18,0.573088
4,19,0.317767
4,20,0.632325
4,21,0.520287
4,22,0.348925
4,23,0.383331
4,24,0.263575
4,25,0.592665
4,26,0.480848
4,27,0.764486
4,28,0.274651
5,6,0.459708
5,7,0.776681
5,8,0.333866
5,9,0.699204
5,10,0.221998
5,11,0.383639
5,12,0.312085
5,13,0.182026
5,14,0.876202
5,15,0.685646
5,16,0.742144
5,17,0.475276
5,18,0.371605
5,19,0.240146
5,20,0.598902
5,21,0.665938
5,22,0.445916
5,23,0.392279
5,24,0.226553
5,25,0.653897
5,26,0.771056
5,27,0.445708
5,28,0.250972
6,7,0.448366
6,8,0.387781
6,9,0.365889
6,10,0.102059
6,11,0.597894
6,12,0.28007
6,13,0.170259
6,14,0.421662
6,15,0.264656
6,16,0.359181
6,17,0.526708
6,18,0.368531
6,19,0.243156
6,20,0.289245
6,21,0.304499
6,22,0.5237
6,23,0.387233
6,24,0.257693
6,25,0.33045
6,26,0.342585
6,27,0.594666
6,28,0.248239
7,8,0.321166
7,9,0.699665
7,10,0.226574
7,11,0.488682
7,12,0.336924
7,13,0.256342
7,14,0.763928
7,15,0.722238
7,16,0.768488
7,17,0.459635
7,18,0.555661
7,19,0.312843
7,20,0.716634
7,21,0.764051
7,22,0.478986
7,23,0.400036
7,24,0.304852
7,25,0.811982
7,26,0.80054
7,27,0.473616
7,28,0.350341
8,9,0.278379
8,10,0.011775
8,11,0.490992
8,12,0.454996
8,13,0.230052
8,14,0.360789
8,15,0.099935
8,16,0.240852
8,17,0.384117
8,18,0.439828
8,19,0.114416
8,20,0.227464
8,21,0.125873
8,22,0.382767
8,23,0.492838
8,24,0.114844
8,25,0.218669
8,26,0.158443
8,27,0.349107
8,28,0.583887
9,10,0.314185
9,11,0.413259
9,12,0.341592
9,13,0.269027
9,14,0.675131
9,15,0.660069
9,16,0.706381
9,17,0.357994
9,18,0.303239
9,19,0.287088
9,20,0.549064
9,21,0.666598
9,22,0.467657
9,23,0.270624
9,24,0.282722
9,25,0.651591
9,26,0.709998
9,27,0.320238
9,28,0.224523
10,11,0.181863
10,12,0.11818
10,13,0.088319
10,14,0.195811
10,15,0.266654
10,16,0.185495
10,17,0.06433
10,18,0.077317
10,19,0.217398
10,20,0.20442
10,21,0.276108
10,22,0.186582
10,23,0.024857
10,24,0.22114
10,25,0.214576
10,26,0.290715
10,27,0.116807
10,28,0.046022
11,12,0.384288
11,13,0.197162
11,14,0.405978
11,15,0.242267
11,16,0.369526
11,17,0.447456
11,18,0.51733
11,19,0.276759
11,20,0.371109
11,21,0.31511
11,22,0.422744
11,23,0.40508
11,24,0.27992
11,25,0.338894
11,26,0.336896
11,27,0.429086
11,28,0.294735
12,13,0.25695
12,14,0.346819
12,15,0.373879
12,16,0.382295
12,17,0.170765
12,18,0.409738
12,19,0.272608
12,20,0.448514
12,21,0.370803
12,22,0.35844
12,23,0.35952
12,24,0.259641
12,25,0.362231
12,26,0.349802
12,27,0.481791
12,28,0.479832
13,14,0.259637
13,15,0.326817
13,16,0.31358
13,17,0.120394
13,18,0.304581
13,19,0.509333
13,20,0.3042
13,21,0.357455
13,22,0.250941
13,23,0.184828
13,24,0.503451
13,25,0.384454
13,26,0.27206
13,27,0.165108
13,28,0.261423
14,15,0.677092
14,16,0.728178
14,17,0.399276
14,18,0.457454
14,19,0.284574
14,20,0.638373
14,21,0.71583
14,22,0.465508
14,23,0.394741
14,24,0.246179
14,25,0.705598
14,26,0.721946
14,27,0.468058
14,28,0.316369
15,16,0.759601
15,17,0.287519
15,18,0.395772
15,19,0.376439
15,20,0.782945
15,21,0.952378
15,22,0.45392
15,23,0.232099
15,24,0.348378
15,25,0.834822
15,26,0.869609
15,27,0.486751
15,28,0.244837
16,17,0.363045
16,18,0.43458
16,19,0.306204
16,20,0.74943
16,21,0.782791
16,22,0.410219
16,23,0.313168
16,24,0.285588
16,25,0.767353
16,26,0.842608
16,27,0.415154
16,28,0.262066
17,18,0.362272
17,19,0.205683
17,20,0.282022
17,21,0.29573
17,22,0.476182
17,23,0.345577
17,24,0.195954
17,25,0.372298
17,26,0.384526
17,27,0.357189
17,28,0.23532
18,19,0.382515
18,20,0.595496
18,21,0.463326
18,22,0.488622
18,23,0.568094
18,24,0.355981
18,25,0.579903
18,26,0.428024
18,27,0.519942
18,28,0.44223
19,20,0.333915
19,21,0.405063
19,22,0.317203
19,23,0.22801
19,24,0.954322
19,25,0.419805
19,26,0.330034
19,27,0.281817
19,28,0.143236
20,21,0.80677
20,22,0.389417
20,23,0.335631
20,24,0.301884
20,25,0.852813
20,26,0.770572
20,27,0.583501
20,28,0.332119
21,22,0.456648
21,23,0.239183
21,24,0.374542
21,25,0.855013
21,26,0.882716
21,27,0.493175
21,28,0.278145
22,23,0.359087
22,24,0.31352
22,25,0.441608
22,26,0.458441
22,27,0.455782
22,28,0.332966
23,24,0.225365
23,25,0.351205
23,26,0.294328
23,27,0.475711
23,28,0.400613
24,25,0.390546
24,26,0.30807
24,27,0.233875
24,28,0.152079
25,26,0.820006
25,27,0.551493
25,28,0.326093
26,27,0.475261
26,28,0.270085
27,28,0.337961
