abstract_i,abstract_j,cosine_similarity
0,1,0.26965
0,2,0.25545
0,3,-0.041465
0,4,-0.029024
0,5,0.349852
0,6,0.221184
0,7,0.367647
0,8,0.105361
0,9,0.464252
0,10,0.420868
0,11,0.135838
0,12,0.047316
0,13,0.010078
0,14,0.19058
0,15,0.01869
0,16,-0.119107
0,17,-0.13188
0,18,0.227844
0,19,-0.098736
0,20,-0.081785
0,21,0.398509
0,22,0.404954
0,23,-0.124794
0,24,0.438062
0,25,0.081116
0,26,-0.016782
0,27,0.481926
0,28,0.279018
0,29,0.324645
0,30,0.403325
0,31,0.143877
0,32,0.247204
0,33,0.215132
0,34,0.08155
0,35,0.229251
0,36,0.001325
0,37,0.345065
0,38,-0.115554
0,39,0.245338
0,40,0.233741
0,41,0.457876
0,42,0.336068
0,43,0.372479
0,44,-0.030672
0,45,-0.11346
0,46,0.357872
0,47,0.239477
0,48,0.261112
0,49,-0.05654
0,50,0.346203
0,51,0.204922
0,52,0.287338
0,53,0.284308
0,54,0.355366
0,55,0.079981
0,56,0.381751
0,57,0.065146
0,58,0.257714
0,59,0.192419
0,60,0.048491
0,61,0.016358
0,62,-0.027291
0,63,-0.056499
0,64,0.211465
0,65,0.479172
0,66,-0.101055
0,67,0.180803
0,68,-0.1023
0,69,0.277751
0,70,0.027253
0,71,0.18197
0,72,0.078452
0,73,0.425709
0,74,0.461319
0,75,0.164407
0,76,0.425325
0,77,0.51498
0,78,0.464311
0,79,0.108427
0,80,0.264062
0,81,0.249258
0,82,0.074013
0,83,-0.074348
0,84,0.181893
0,85,-0.056954
0,86,0.157116
0,87,-0.17943
0,88,0.278331
0,89,0.314687
0,90,-0.027812
0,91,0.325395
0,92,-0.012935
0,93,-0.114776
0,94,0.25036
0,95,0.243716
0,96,-0.085737
0,97,-0.044538
0,98,0.529308
0,99,0.271392
0,100,0.30467
0,101,0.070291
0,102,0.40036
0,103,0.164434
0,104,0.395655
0,105,-0.184412
0,106,0.345839
0,107,0.004758
0,108,0.365171
0,109,0.157371
0,110,0.007298
0,111,-0.101099
0,112,0.39897
0,113,-0.121575
0,114,0.30852
0,115,0.16276
0,116,0.342955
0,117,0.389334
0,118,0.228708
0,119,-0.054932
0,120,-0.104258
0,121,0.391851
0,122,-0.123893
0,123,-0.048215
0,124,0.361953
0,125,-0.067212
0,126,-0.076876
0,127,-0.15544
0,128,0.308168
0,129,0.297156
0,130,-8.6e-05
0,131,0.169116
0,132,0.148555
0,133,0.395678
0,134,0.318023
0,135,0.052038
0,136,0.174314
0,137,0.334198
0,138,0.268732
0,139,-0.118026
0,140,-0.152093
0,141,-0.015131
0,142,0.236635
0,143,5.7e-05
0,144,-0.153383
1,2,0.161277
1,3,-0.017371
1,4,0.015959
1,5,0.658234
1,6,0.268109
1,7,0.646175
1,8,0.054401
1,9,0.184491
1,10,0.507545
1,11,0.02819
1,12,0.08888
1,13,0.012761
1,14,0.055386
1,15,0.167131
1,16,-0.107523
1,17,-0.104511
1,18,0.258758
1,19,-0.019849
1,20,0.083016
1,21,0.184671
1,22,0.56163
1,23,-0.074516
1,24,0.529393
1,25,0.04245
1,26,0.080039
1,27,0.524703
1,28,0.67634
1,29,0.609221
1,30,0.452923
1,31,0.060432
1,32,0.288436
1,33,0.618907
1,34,0.078199
1,35,0.119129
1,36,-0.066989
1,37,0.492191
1,38,-0.047484
1,39,0.290588
1,40,0.633096
1,41,0.228447
1,42,0.846016
1,43,0.615989
1,44,0.033437
1,45,-0.086942
1,46,0.145059
1,47,0.45169
1,48,0.083057
1,49,-0.039338
1,50,0.148588
1,51,0.123553
1,52,0.694318
1,53,0.033041
1,54,0.624141
1,55,0.087055
1,56,0.367471
1,57,0.107204
1,58,0.252687
1,59,0.697854
1,60,0.046738
1,61,0.082277
1,62,0.208918
1,63,-0.049579
1,64,0.268523
1,65,0.21643
1,66,-0.064312
1,67,0.488156
1,68,-0.085991
1,69,0.404845
1,70,0.088598
1,71,0.268685
1,72,0.133565
1,73,0.447356
1,74,0.319159
1,75,0.122822
1,76,0.512343
1,77,0.171694
1,78,0.263409
1,79,0.18835
1,80,0.545282
1,81,0.298978
1,82,-0.034617
1,83,0.045781
1,84,0.37617
1,85,-0.068456
1,86,0.182115
1,87,-0.090365
1,88,0.414249
1,89,0.180021
1,90,0.008461
1,91,0.236366
1,92,-0.005443
1,93,-0.089824
1,94,0.048617
1,95,0.246294
1,96,-0.073978
1,97,-0.054121
1,98,0.234663
1,99,0.61986
1,100,0.624406
1,101,0.072519
1,102,0.569535
1,103,0.062787
1,104,0.251014
1,105,-0.080301
1,106,0.039809
1,107,0.217119
1,108,0.815081
1,109,0.029394
1,110,0.123968
1,111,-0.066698
1,112,0.320999
1,113,-0.07672
1,114,0.262355
1,115,0.243188
1,116,0.753278
1,117,0.408681
1,118,0.093193
1,119,0.014351
1,120,-0.055577
1,121,0.541279
1,122,-0.06981
1,123,0.31172
1,124,0.63653
1,125,0.030618
1,126,-0.067862
1,127,-0.059047
1,128,0.054525
1,129,0.415218
1,130,0.060861
1,131,0.368315
1,132,0.15893
1,133,0.461741
1,134,0.326576
1,135,0.104982
1,136,0.287397
1,137,0.736972
1,138,0.154796
1,139,-0.108251
1,140,-0.055664
1,141,-0.055256
1,142,0.150255
1,143,0.024622
1,144,-0.06955
2,3,-0.040545
2,4,0.091621
2,5,0.265271
2,6,0.089368
2,7,0.376754
2,8,0.418195
2,9,0.118165
2,10,0.242915
2,11,0.145654
2,12,0.219144
2,13,0.011927
2,14,0.0139
2,15,0.380716
2,16,-0.094676
2,17,-0.058535
2,18,0.184036
2,19,-0.112641
2,20,0.039353
2,21,0.227193
2,22,0.235103
2,23,-0.033883
2,24,0.266566
2,25,0.128317
2,26,-0.08782
2,27,0.155062
2,28,0.172508
2,29,0.233105
2,30,0.413965
2,31,0.093444
2,32,0.18372
2,33,0.297896
2,34,-0.013142
2,35,0.271279
2,36,-0.041553
2,37,0.232907
2,38,-0.064295
2,39,0.184923
2,40,0.333344
2,41,0.259733
2,42,0.218375
2,43,0.368268
2,44,-0.016606
2,45,-0.072553
2,46,0.207035
2,47,0.13068
2,48,0.311072
2,49,0.129823
2,50,0.220163
2,51,0.065357
2,52,0.223316
2,53,0.070343
2,54,0.340995
2,55,0.675381
2,56,0.264404
2,57,-0.01882
2,58,0.139482
2,59,0.210481
2,60,-0.054847
2,61,-0.07505
2,62,-0.072985
2,63,-0.083695
2,64,0.157582
2,65,0.317309
2,66,-0.077271
2,67,0.099603
2,68,-0.058983
2,69,0.183079
2,70,0.13058
2,71,0.157812
2,72,0.048958
2,73,0.357496
2,74,0.181996
2,75,-0.031409
2,76,0.265318
2,77,0.367159
2,78,0.439552
2,79,0.001075
2,80,0.164904
2,81,0.13083
2,82,0.194427
2,83,-0.123752
2,84,0.055305
2,85,-0.044387
2,86,0.010829
2,87,-0.108365
2,88,0.276159
2,89,0.314051
2,90,-0.027408
2,91,0.15394
2,92,0.108615
2,93,-0.047099
2,94,0.449512
2,95,0.109455
2,96,-0.012645
2,97,0.107615
2,98,0.121681
2,99,0.184965
2,100,0.192508
2,101,0.071192
2,102,0.172993
2,103,0.221232
2,104,0.151429
2,105,-0.065343
2,106,0.108243
2,107,0.183792
2,108,0.342118
2,109,0.109097
2,110,-0.018248
2,111,-0.096377
2,112,0.231984
2,113,-0.022621
2,114,0.255791
2,115,0.732809
2,116,0.240408
2,117,0.243039
2,118,0.746856
2,119,-0.039695
2,120,-0.046408
2,121,0.162621
2,122,-0.083155
2,123,0.027121
2,124,0.280208
2,125,-0.043574
2,126,0.016017
2,127,-0.036427
2,128,0.047047
2,129,0.126401
2,130,0.023832
2,131,0.265472
2,132,0.670672
2,133,0.258589
2,134,0.183778
2,135,-0.046061
2,136,0.135733
2,137,0.25123
2,138,0.394424
2,139,-0.112962
2,140,-0.077035
2,141,-0.078508
2,142,0.171574
2,143,-0.04042
2,144,-0.095298
3,4,0.050357
3,5,0.064139
3,6,-0.007669
3,7,-0.026829
3,8,0.009768
3,9,-0.002208
3,10,-0.013592
3,11,0.024468
3,12,0.110079
3,13,-0.098357
3,14,-0.041535
3,15,-0.009233
3,16,-0.079929
3,17,0.356167
3,18,0.011652
3,19,-0.023331
3,20,0.078549
3,21,0.006636
3,22,0.000102
3,23,0.072751
3,24,-0.022563
3,25,0.018341
3,26,-0.101929
3,27,0.006274
3,28,0.020932
3,29,0.030273
3,30,0.005402
3,31,0.021765
3,32,0.063274
3,33,-0.015346
3,34,0.05373
3,35,-0.099566
3,36,0.639879
3,37,-0.047847
3,38,0.127462
3,39,0.064851
3,40,-0.037566
3,41,-0.024105
3,42,0.043956
3,43,0.003667
3,44,0.286586
3,45,0.002751
3,46,-0.022621
3,47,0.007954
3,48,-0.043908
3,49,0.031052
3,50,-0.013133
3,51,0.07446
3,52,0.0108
3,53,0.03022
3,54,0.047729
3,55,-0.043519
3,56,-0.035134
3,57,0.021932
3,58,0.022904
3,59,-0.022959
3,60,0.008902
3,61,-0.008175
3,62,0.04777
3,63,-0.048969
3,64,0.025922
3,65,-0.03113
3,66,-0.069714
3,67,0.002791
3,68,-0.060142
3,69,0.03471
3,70,0.040089
3,71,0.047283
3,72,0.071519
3,73,-0.03582
3,74,0.0095
3,75,0.048842
3,76,0.035897
3,77,-0.023292
3,78,-0.005545
3,79,-0.019209
3,80,0.115861
3,81,0.03109
3,82,-0.01181
3,83,-0.062204
3,84,0.053397
3,85,0.01538
3,86,0.021007
3,87,-0.001477
3,88,0.001375
3,89,-0.005203
3,90,0.071309
3,91,-0.033742
3,92,0.036564
3,93,-0.029455
3,94,-0.059813
3,95,-0.019439
3,96,-0.060701
3,97,-0.001766
3,98,0.037069
3,99,0.058502
3,100,0.116539
3,101,0.091548
3,102,-0.019435
3,103,-0.038863
3,104,0.003589
3,105,-0.037832
3,106,-0.007034
3,107,0.075392
3,108,0.012643
3,109,0.038938
3,110,-0.099549
3,111,-0.067748
3,112,-0.041416
3,113,-0.07957
3,114,0.054686
3,115,0.067222
3,116,-0.013513
3,117,0.030096
3,118,0.018669
3,119,0.120345
3,120,-0.025098
3,121,-0.030605
3,122,-0.03142
3,123,0.102703
3,124,0.056021
3,125,0.134638
3,126,0.069447
3,127,0.035068
3,128,-0.068199
3,129,0.086306
3,130,0.164296
3,131,0.003989
3,132,-0.022645
3,133,-0.024474
3,134,-0.046434
3,135,0.286084
3,136,0.00223
3,137,0.035671
3,138,-0.049618
3,139,-0.041958
3,140,0.015195
3,141,-0.065545
3,142,-0.06111
3,143,0.388569
3,144,-0.065463
4,5,0.051468
4,6,-0.029434
4,7,0.064891
4,8,0.026968
4,9,-0.061361
4,10,-0.026353
4,11,0.0127
4,12,-0.059283
4,13,0.008428
4,14,-0.015336
4,15,-0.050207
4,16,-0.048992
4,17,0.008293
4,18,0.044852
4,19,-0.088911
4,20,0.218055
4,21,0.009523
4,22,-0.031078
4,23,-0.029475
4,24,-0.053695
4,25,0.019457
4,26,-0.018322
4,27,-0.024077
4,28,0.006323
4,29,0.071944
4,30,0.043251
4,31,-0.029214
