title_i,title_j,cosine_similarity
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,X-Ray and Optical Studies of the Redback System PSR J2129–0429,0.622369
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,0.595031
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,CHIME/FRB/Pulsar discovery of a nearby long period radio transient with a timing glitch,0.625417
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,A milliarcsecond localization associates FRB 20190417A with a compact persistent radio source and an extreme magneto-ionic environment,0.780005
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,A search for persistent radio sources toward repeating fast radio bursts discovered by CHIME/FRB,0.832785
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,A Repeating Fast Radio Burst Source in a Low-Luminosity Dwarf Galaxy,0.78011
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,Simultaneous radio and X-ray observations of the transitional millisecond pulsar candidate 3FGL J1544.6-1125,0.72315
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,0.775337
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,Discovery and Localization of the Swift-Observed FRB 20241228A in a Star-forming Host Galaxy,0.744264
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,The double neutron star PSR J1946+2052 I. Masses and tests of general relativity,0.481841
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,Pulsars in Globular Clusters With the SKAO,0.601077
Multiwavelength constraints on the origin of a nearby repeating fast radio burst source in a globular cluster,A Steadily Declining Dispersion Measure for the Repeating Fast Radio Burst FRB 20220529A: Evidence for a Fast Radio Burst Engine Embedded in an Expanding Supernova Remnant,0.75793
X-Ray and Optical Studies of the Redback System PSR J2129–0429,A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,0.638021
X-Ray and Optical Studies of the Redback System PSR J2129–0429,CHIME/FRB/Pulsar discovery of a nearby long period radio transient with a timing glitch,0.628459
X-Ray and Optical Studies of the Redback System PSR J2129–0429,A milliarcsecond localization associates FRB 20190417A with a compact persistent radio source and an extreme magneto-ionic environment,0.46711
X-Ray and Optical Studies of the Redback System PSR J2129–0429,A search for persistent radio sources toward repeating fast radio bursts discovered by CHIME/FRB,0.494859
X-Ray and Optical Studies of the Redback System PSR J2129–0429,A Repeating Fast Radio Burst Source in a Low-Luminosity Dwarf Galaxy,0.451657
X-Ray and Optical Studies of the Redback System PSR J2129–0429,Simultaneous radio and X-ray observations of the transitional millisecond pulsar candidate 3FGL J1544.6-1125,0.786105
X-Ray and Optical Studies of the Redback System PSR J2129–0429,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,0.444767
X-Ray and Optical Studies of the Redback System PSR J2129–0429,Discovery and Localization of the Swift-Observed FRB 20241228A in a Star-forming Host Galaxy,0.559711
X-Ray and Optical Studies of the Redback System PSR J2129–0429,The double neutron star PSR J1946+2052 I. Masses and tests of general relativity,0.638075
X-Ray and Optical Studies of the Redback System PSR J2129–0429,Pulsars in Globular Clusters With the SKAO,0.606394
X-Ray and Optical Studies of the Redback System PSR J2129–0429,A Steadily Declining Dispersion Measure for the Repeating Fast Radio Burst FRB 20220529A: Evidence for a Fast Radio Burst Engine Embedded in an Expanding Supernova Remnant,0.548681
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,CHIME/FRB/Pulsar discovery of a nearby long period radio transient with a timing glitch,0.592709
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,A milliarcsecond localization associates FRB 20190417A with a compact persistent radio source and an extreme magneto-ionic environment,0.540503
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,A search for persistent radio sources toward repeating fast radio bursts discovered by CHIME/FRB,0.526874
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,A Repeating Fast Radio Burst Source in a Low-Luminosity Dwarf Galaxy,0.518409
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,Simultaneous radio and X-ray observations of the transitional millisecond pulsar candidate 3FGL J1544.6-1125,0.686041
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,A Catalog of Local Universe Fast Radio Bursts from CHIME/FRB and the KKO Outrigger,0.527631
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,Discovery and Localization of the Swift-Observed FRB 20241228A in a Star-forming Host Galaxy,0.561385
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,The double neutron star PSR J1946+2052 I. Masses and tests of general relativity,0.697344
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,Pulsars in Globular Clusters With the SKAO,0.58304
A Novel Technique for Long-term Timing of Redback Millisecond Pulsars,A Steadily Declining Dispersion Measure for the Repeating Fast Radio Burst FRB 20220529A: Evidence for a Fast Radio Burst Engine Embedded in an Expanding Supernova Remnant,0.490202
CHIME/FRB/Pulsar discovery of a nearby long period radio transient with a timing glitch,A milliarcsecond localization associates FRB 20190417A with a compact persistent radio source and an extreme magneto-ionic environment,0.61519
