title_i,title_j,cosine_similarity
The B → πK puzzle revisited,Constraining galactic structures of mirror dark matter,0.371358
The B → πK puzzle revisited,"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",0.463549
The B → πK puzzle revisited,Characterization of a pixelated CdTe Timepix detector operated in ToT mode,0.165086
The B → πK puzzle revisited,Asymmetric reheating from a symmetric inflationary potential,0.318218
The B → πK puzzle revisited,Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,0.136408
The B → πK puzzle revisited,The $B \to πK$ Puzzle Revisited,0.983399
The B → πK puzzle revisited,"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",0.477555
The B → πK puzzle revisited,Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.488469
The B → πK puzzle revisited,Neutrinos as Dark Matter,0.429648
Constraining galactic structures of mirror dark matter,"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",0.475301
Constraining galactic structures of mirror dark matter,Characterization of a pixelated CdTe Timepix detector operated in ToT mode,0.059991
Constraining galactic structures of mirror dark matter,Asymmetric reheating from a symmetric inflationary potential,0.619312
Constraining galactic structures of mirror dark matter,Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,0.019038
Constraining galactic structures of mirror dark matter,The $B \to πK$ Puzzle Revisited,0.383793
Constraining galactic structures of mirror dark matter,"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",0.486069
Constraining galactic structures of mirror dark matter,Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.64457
Constraining galactic structures of mirror dark matter,Neutrinos as Dark Matter,0.621955
"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",Characterization of a pixelated CdTe Timepix detector operated in ToT mode,0.056398
"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",Asymmetric reheating from a symmetric inflationary potential,0.476802
"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,-0.014399
"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",The $B \to πK$ Puzzle Revisited,0.475312
"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition","PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",0.979524
"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.616867
"PeV-scale leptogenesis, gravitational waves, and black holes from a SUSY-breaking phase transition",Neutrinos as Dark Matter,0.677576
Characterization of a pixelated CdTe Timepix detector operated in ToT mode,Asymmetric reheating from a symmetric inflationary potential,0.010441
Characterization of a pixelated CdTe Timepix detector operated in ToT mode,Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,0.762581
Characterization of a pixelated CdTe Timepix detector operated in ToT mode,The $B \to πK$ Puzzle Revisited,0.155946
Characterization of a pixelated CdTe Timepix detector operated in ToT mode,"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",0.06137
Characterization of a pixelated CdTe Timepix detector operated in ToT mode,Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.128101
Characterization of a pixelated CdTe Timepix detector operated in ToT mode,Neutrinos as Dark Matter,0.114303
Asymmetric reheating from a symmetric inflationary potential,Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,-0.056585
Asymmetric reheating from a symmetric inflationary potential,The $B \to πK$ Puzzle Revisited,0.333088
Asymmetric reheating from a symmetric inflationary potential,"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",0.47742
Asymmetric reheating from a symmetric inflationary potential,Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.527111
Asymmetric reheating from a symmetric inflationary potential,Neutrinos as Dark Matter,0.571739
Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,The $B \to πK$ Puzzle Revisited,0.133101
Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",0.001781
Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.116753
Homogeneity study of a GaAs:Cr pixelated sensor by means of X-rays,Neutrinos as Dark Matter,0.044659
The $B \to πK$ Puzzle Revisited,"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",0.489403
The $B \to πK$ Puzzle Revisited,Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.505658
The $B \to πK$ Puzzle Revisited,Neutrinos as Dark Matter,0.448463
"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",Dark sector electroweak baryogenesis in light of the Galactic Center excess,0.622478
"PeV-scale leptogenesis, gravity waves and black holes from a SUSY-breaking phase transition",Neutrinos as Dark Matter,0.69736
Dark sector electroweak baryogenesis in light of the Galactic Center excess,Neutrinos as Dark Matter,0.61484
