title_i,title_j,cosine_similarity
Northern Raglai voicing and its relation to Southern Raglai register: evidence for early stages of registrogenesis,"A sociophonetic study of creaky voice across language, gender and age in Canadian English-French bilinguals",0.595856
Northern Raglai voicing and its relation to Southern Raglai register: evidence for early stages of registrogenesis,Une étude sociophonétique de la voix craquée en français laurentien,0.615294
Northern Raglai voicing and its relation to Southern Raglai register: evidence for early stages of registrogenesis,Creaky voice across language and gender: A study of Canadian English-French bilingual speech,0.612302
Northern Raglai voicing and its relation to Southern Raglai register: evidence for early stages of registrogenesis,Disentangling acoustic and social biases in creaky voice perception: The effects of f0 and face gender on creakiness ratings,0.53635
"A sociophonetic study of creaky voice across language, gender and age in Canadian English-French bilinguals",Une étude sociophonétique de la voix craquée en français laurentien,0.743357
"A sociophonetic study of creaky voice across language, gender and age in Canadian English-French bilinguals",Creaky voice across language and gender: A study of Canadian English-French bilingual speech,0.928722
"A sociophonetic study of creaky voice across language, gender and age in Canadian English-French bilinguals",Disentangling acoustic and social biases in creaky voice perception: The effects of f0 and face gender on creakiness ratings,0.825441
Une étude sociophonétique de la voix craquée en français laurentien,Creaky voice across language and gender: A study of Canadian English-French bilingual speech,0.708643
Une étude sociophonétique de la voix craquée en français laurentien,Disentangling acoustic and social biases in creaky voice perception: The effects of f0 and face gender on creakiness ratings,0.661401
Creaky voice across language and gender: A study of Canadian English-French bilingual speech,Disentangling acoustic and social biases in creaky voice perception: The effects of f0 and face gender on creakiness ratings,0.816561
