title_i,title_j,cosine_similarity
Early formation of supermassive black holes via dark matter self-interactions,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>p</mml:mi></mml:math>-wave annihilating dark matter from a decaying predecessor and the Galactic Center excess",0.552143
Early formation of supermassive black holes via dark matter self-interactions,Minimal non-Abelian model of atomic dark matter,0.487594
Early formation of supermassive black holes via dark matter self-interactions,Constraining dwarf spheroidal dark matter halos with the Galactic Center excess,0.56398
Early formation of supermassive black holes via dark matter self-interactions,Self-interacting dark matter,0.750685
"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>p</mml:mi></mml:math>-wave annihilating dark matter from a decaying predecessor and the Galactic Center excess",Minimal non-Abelian model of atomic dark matter,0.567621
"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>p</mml:mi></mml:math>-wave annihilating dark matter from a decaying predecessor and the Galactic Center excess",Constraining dwarf spheroidal dark matter halos with the Galactic Center excess,0.772531
"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>p</mml:mi></mml:math>-wave annihilating dark matter from a decaying predecessor and the Galactic Center excess",Self-interacting dark matter,0.757174
Minimal non-Abelian model of atomic dark matter,Constraining dwarf spheroidal dark matter halos with the Galactic Center excess,0.481019
Minimal non-Abelian model of atomic dark matter,Self-interacting dark matter,0.67126
Constraining dwarf spheroidal dark matter halos with the Galactic Center excess,Self-interacting dark matter,0.782245
