abstract_i,abstract_j,cosine_similarity
0,1,0.319574
0,2,0.379226
0,3,0.600332
0,4,0.601915
0,5,0.492238
0,6,0.434002
0,7,0.467614
0,8,0.516162
0,9,0.394894
0,10,0.41539
0,11,0.507627
0,12,0.529682
0,13,0.407016
0,14,0.431115
0,15,0.445803
0,16,0.043292
0,17,0.601915
0,18,0.700233
0,19,0.570203
0,20,0.506582
0,21,0.503526
0,22,0.572428
0,23,0.687623
0,24,0.385726
0,25,0.426669
0,26,0.571727
0,27,0.401848
0,28,0.520573
0,29,0.421005
0,30,-0.063544
0,31,0.288653
0,32,0.491175
0,33,-0.021982
0,34,0.399117
0,35,0.599868
0,36,0.590047
0,37,0.449299
0,38,0.543316
0,39,0.652673
0,40,0.556106
0,41,0.586832
0,42,0.505721
0,43,0.438979
0,44,0.477645
0,45,0.467484
0,46,0.409285
0,47,0.62056
0,48,0.447619
0,49,0.373315
0,50,0.4462
0,51,0.063661
0,52,0.386214
0,53,0.361904
0,54,0.491914
0,55,0.521279
0,56,-0.112419
0,57,0.498476
0,58,0.325627
0,59,0.472456
0,60,0.58
0,61,0.352507
0,62,0.343042
0,63,0.471753
0,64,0.425247
0,65,0.400958
0,66,0.452766
0,67,0.038342
0,68,0.369077
0,69,0.351341
0,70,0.523928
0,71,0.536157
0,72,0.614735
0,73,0.570722
0,74,0.464938
0,75,0.597174
0,76,0.6173
0,77,0.866807
0,78,0.421996
0,79,0.433434
0,80,0.657117
0,81,0.484923
0,82,0.401385
0,83,0.503979
0,84,0.344389
0,85,0.526469
0,86,0.473604
0,87,0.405597
0,88,0.469104
0,89,0.578278
0,90,0.483144
0,91,0.531587
0,92,0.537574
0,93,0.038681
0,94,0.41213
0,95,0.440698
0,96,-0.031491
0,97,0.584605
0,98,0.330491
0,99,0.406842
0,100,-0.064398
0,101,0.40006
0,102,0.568548
0,103,0.55441
0,104,0.452628
0,105,0.38966
0,106,0.444817
0,107,0.463997
0,108,0.418738
0,109,0.491335
0,110,0.495678
0,111,0.553076
0,112,0.393074
0,113,0.443872
0,114,-0.052665
0,115,0.445481
0,116,0.621566
0,117,-0.004795
0,118,0.519204
0,119,0.446349
0,120,0.870791
0,121,0.714191
0,122,0.460464
0,123,0.501856
0,124,0.560806
0,125,0.40878
0,126,0.425689
0,127,0.488607
0,128,0.527678
0,129,0.407785
0,130,0.673272
0,131,0.467553
0,132,0.43352
0,133,0.608289
0,134,0.348578
0,135,0.461198
0,136,0.575311
0,137,0.555073
0,138,0.658962
0,139,0.030799
0,140,0.488541
0,141,0.491395
0,142,0.683765
0,143,0.277065
0,144,0.633312
0,145,0.389509
0,146,0.614243
0,147,0.508085
0,148,0.493965
0,149,0.506971
0,150,0.573452
0,151,0.450055
0,152,0.07264
0,153,0.495454
0,154,0.441471
0,155,0.497125
0,156,0.477187
0,157,0.520418
0,158,0.37048
0,159,0.616392
0,160,0.420821
0,161,0.654097
0,162,0.584668
0,163,0.546383
0,164,0.717617
0,165,0.637678
0,166,0.469528
0,167,0.603305
0,168,0.62722
0,169,0.509347
0,170,0.504621
0,171,0.052337
0,172,0.486958
0,173,0.529628
0,174,0.019367
0,175,0.230914
0,176,0.595741
0,177,0.432435
1,2,0.860127
1,3,0.281208
1,4,0.414077
1,5,0.453207
1,6,0.479481
1,7,0.372453
1,8,0.607647
1,9,0.76166
1,10,0.599787
1,11,0.523539
1,12,0.468291
1,13,0.516266
1,14,0.778503
1,15,0.386682
1,16,0.013414
1,17,0.414077
1,18,0.426036
1,19,0.458032
1,20,0.522144
1,21,0.330556
1,22,0.517347
1,23,0.112905
1,24,0.540106
1,25,0.788283
1,26,0.548419
1,27,0.3278
1,28,0.252324
1,29,0.615415
1,30,-0.028203
1,31,0.514285
1,32,0.54954
1,33,-0.020074
1,34,0.499643
1,35,0.504609
1,36,0.455817
1,37,0.464347
1,38,0.502325
1,39,0.372097
1,40,0.322567
1,41,0.289577
1,42,0.639735
1,43,0.466042
1,44,0.527373
1,45,0.369904
1,46,0.340781
1,47,0.427224
1,48,0.609474
1,49,0.511669
1,50,0.562776
1,51,0.074369
1,52,0.876688
1,53,0.813872
1,54,0.542724
1,55,0.640104
1,56,0.014046
1,57,0.344035
1,58,0.560008
1,59,0.480365
1,60,0.520114
1,61,0.633553
1,62,0.574178
1,63,0.538346
1,64,0.48842
1,65,0.554248
1,66,0.41297
1,67,0.027878
1,68,0.822702
1,69,0.439862
1,70,0.523975
1,71,0.61382
1,72,0.278586
1,73,0.627085
1,74,0.713892
1,75,0.458175
1,76,0.353879
1,77,0.310509
1,78,0.572397
1,79,0.436495
1,80,0.415927
1,81,0.370376
1,82,0.405277
1,83,0.455018
1,84,0.5219
1,85,0.642538
1,86,0.253614
1,87,0.556679
1,88,0.674654
1,89,0.375437
1,90,0.767093
1,91,0.53292
1,92,0.35563
1,93,0.044478
1,94,0.612811
1,95,0.602706
1,96,-0.042788
1,97,0.607904
1,98,0.004374
1,99,0.510101
1,100,-0.054618
1,101,0.560149
1,102,0.514285
1,103,0.626862
1,104,0.438718
1,105,0.568812
1,106,0.647999
1,107,0.537637
1,108,0.470418
1,109,0.501938
1,110,0.415894
1,111,0.196719
1,112,0.562545
1,113,0.480514
1,114,-0.094139
1,115,0.434733
1,116,0.44209
1,117,0.018289
1,118,0.598193
1,119,0.418774
1,120,0.323344
1,121,0.294602
1,122,0.559723
1,123,0.558668
1,124,0.493181
1,125,0.605828
1,126,0.757969
1,127,0.656817
1,128,0.521941
1,129,0.869513
1,130,0.299856
1,131,0.672826
1,132,0.430371
1,133,0.55488
1,134,0.809986
1,135,0.751425
1,136,0.408511
1,137,0.479076
1,138,0.504845
1,139,0.018432
1,140,0.715128
1,141,0.347253
1,142,0.244309
1,143,0.601301
1,144,0.346589
1,145,0.537115
1,146,0.161499
1,147,0.503479
1,148,0.720382
1,149,0.46338
1,150,0.488891
1,151,0.543909
1,152,0.067611
1,153,0.459224
1,154,0.546227
1,155,0.404295
1,156,0.562408
1,157,0.613484
1,158,0.885809
1,159,0.663665
1,160,0.459002
1,161,0.315232
1,162,0.360941
1,163,0.61866
1,164,0.319366
1,165,0.295878
1,166,0.436225
1,167,0.527116
1,168,0.34015
1,169,0.56494
1,170,0.512752
1,171,-0.084014
1,172,0.544143
1,173,0.372163
1,174,-0.039574
1,175,0.06205
1,176,0.171508
1,177,0.486288
2,3,0.36926
2,4,0.420618
2,5,0.445019
2,6,0.57643
2,7,0.377215
2,8,0.557364
2,9,0.768558
2,10,0.646276
2,11,0.493359
2,12,0.442113
2,13,0.543538
2,14,0.820552
2,15,0.3863
2,16,-0.000273
2,17,0.420618
2,18,0.432906
2,19,0.474004
2,20,0.492781
2,21,0.411118
2,22,0.496955
2,23,0.205472
2,24,0.60156
2,25,0.842042
2,26,0.484575
2,27,0.293674
2,28,0.291948
2,29,0.659278
2,30,-0.053959
2,31,0.554431
2,32,0.521482
2,33,-0.000747
2,34,0.520791
2,35,0.495935
2,36,0.472232
2,37,0.453671
2,38,0.532945
2,39,0.415888
2,40,0.360059
2,41,0.347704
2,42,0.587176
2,43,0.497168
2,44,0.579444
2,45,0.375366
2,46,0.383705
2,47,0.496037
2,48,0.623831
2,49,0.521375
2,50,0.537839
2,51,0.15877
2,52,0.883526
