abstract_i,abstract_j,cosine_similarity
0,1,0.131637
0,2,0.085554
0,3,0.016269
0,4,0.15869
0,5,0.249898
0,6,0.149114
0,7,0.111252
0,8,-0.046484
0,9,0.830207
0,10,0.13489
1,2,0.096963
1,3,-0.024208
1,4,0.063785
1,5,0.257508
1,6,0.132716
1,7,0.220589
1,8,0.238645
1,9,0.137307
1,10,-0.020072
2,3,0.502321
2,4,0.093977
2,5,0.048272
2,6,0.141136
2,7,-0.005712
2,8,0.11433
2,9,0.080293
2,10,0.029341
3,4,0.046392
3,5,0.046304
3,6,0.046551
3,7,-0.025609
3,8,0.05088
3,9,0.008619
3,10,0.041826
4,5,0.222777
4,6,0.222746
4,7,-0.004479
4,8,-0.013451
4,9,0.133355
4,10,0.107589
5,6,0.246932
5,7,0.14642
5,8,0.196621
5,9,0.251016
5,10,0.059893
6,7,-0.024554
6,8,0.120887
6,9,0.15248
6,10,0.025911
7,8,0.091489
7,9,0.132791
7,10,0.098737
8,9,0.014605
8,10,-0.013314
9,10,0.193975
