title_i,title_j,cosine_similarity
OpenKBP-Opt: an international and reproducible evaluation of 76 knowledge-based planning pipelines,Characterization of the exradin W1 plastic scintillation detector for small field applications in proton therapy,0.325974
OpenKBP-Opt: an international and reproducible evaluation of 76 knowledge-based planning pipelines,Learning from our neighbours: a novel approach on sinogram completion using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.304885
OpenKBP-Opt: an international and reproducible evaluation of 76 knowledge-based planning pipelines,SU‐E‐J‐153: Reconstructing 4D Cone Beam CT Images for Clinical QA of Lung SABR Treatments,0.460656
OpenKBP-Opt: an international and reproducible evaluation of 76 knowledge-based planning pipelines,Poster — Thur Eve — 12: Implementation of a Clinical Lung Tumour High Dose Containment Verification Procedure using Respiratory Cone‐Beam CT (4DCBCT) on a Varian TrueBeam Linac,0.351484
OpenKBP-Opt: an international and reproducible evaluation of 76 knowledge-based planning pipelines,4D cone-beam CT image reconstruction of Varian TrueBeam v1.6 projection images for clinical quality assurance of stereotactic ablative radiotherapy to the lung,0.393342
OpenKBP-Opt: an international and reproducible evaluation of 76 knowledge-based planning pipelines,Learning from our neighbours: a novel approach on sinogram completion\n using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.342321
Characterization of the exradin W1 plastic scintillation detector for small field applications in proton therapy,Learning from our neighbours: a novel approach on sinogram completion using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.193667
Characterization of the exradin W1 plastic scintillation detector for small field applications in proton therapy,SU‐E‐J‐153: Reconstructing 4D Cone Beam CT Images for Clinical QA of Lung SABR Treatments,0.303743
Characterization of the exradin W1 plastic scintillation detector for small field applications in proton therapy,Poster — Thur Eve — 12: Implementation of a Clinical Lung Tumour High Dose Containment Verification Procedure using Respiratory Cone‐Beam CT (4DCBCT) on a Varian TrueBeam Linac,0.318321
Characterization of the exradin W1 plastic scintillation detector for small field applications in proton therapy,4D cone-beam CT image reconstruction of Varian TrueBeam v1.6 projection images for clinical quality assurance of stereotactic ablative radiotherapy to the lung,0.396328
Characterization of the exradin W1 plastic scintillation detector for small field applications in proton therapy,Learning from our neighbours: a novel approach on sinogram completion\n using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.252567
Learning from our neighbours: a novel approach on sinogram completion using bin-sharing and deep learning to reconstruct high quality 4DCBCT,SU‐E‐J‐153: Reconstructing 4D Cone Beam CT Images for Clinical QA of Lung SABR Treatments,0.627269
Learning from our neighbours: a novel approach on sinogram completion using bin-sharing and deep learning to reconstruct high quality 4DCBCT,Poster — Thur Eve — 12: Implementation of a Clinical Lung Tumour High Dose Containment Verification Procedure using Respiratory Cone‐Beam CT (4DCBCT) on a Varian TrueBeam Linac,0.615376
Learning from our neighbours: a novel approach on sinogram completion using bin-sharing and deep learning to reconstruct high quality 4DCBCT,4D cone-beam CT image reconstruction of Varian TrueBeam v1.6 projection images for clinical quality assurance of stereotactic ablative radiotherapy to the lung,0.588784
Learning from our neighbours: a novel approach on sinogram completion using bin-sharing and deep learning to reconstruct high quality 4DCBCT,Learning from our neighbours: a novel approach on sinogram completion\n using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.951508
SU‐E‐J‐153: Reconstructing 4D Cone Beam CT Images for Clinical QA of Lung SABR Treatments,Poster — Thur Eve — 12: Implementation of a Clinical Lung Tumour High Dose Containment Verification Procedure using Respiratory Cone‐Beam CT (4DCBCT) on a Varian TrueBeam Linac,0.854455
SU‐E‐J‐153: Reconstructing 4D Cone Beam CT Images for Clinical QA of Lung SABR Treatments,4D cone-beam CT image reconstruction of Varian TrueBeam v1.6 projection images for clinical quality assurance of stereotactic ablative radiotherapy to the lung,0.847596
SU‐E‐J‐153: Reconstructing 4D Cone Beam CT Images for Clinical QA of Lung SABR Treatments,Learning from our neighbours: a novel approach on sinogram completion\n using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.66907
Poster — Thur Eve — 12: Implementation of a Clinical Lung Tumour High Dose Containment Verification Procedure using Respiratory Cone‐Beam CT (4DCBCT) on a Varian TrueBeam Linac,4D cone-beam CT image reconstruction of Varian TrueBeam v1.6 projection images for clinical quality assurance of stereotactic ablative radiotherapy to the lung,0.861461
Poster — Thur Eve — 12: Implementation of a Clinical Lung Tumour High Dose Containment Verification Procedure using Respiratory Cone‐Beam CT (4DCBCT) on a Varian TrueBeam Linac,Learning from our neighbours: a novel approach on sinogram completion\n using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.650769
4D cone-beam CT image reconstruction of Varian TrueBeam v1.6 projection images for clinical quality assurance of stereotactic ablative radiotherapy to the lung,Learning from our neighbours: a novel approach on sinogram completion\n using bin-sharing and deep learning to reconstruct high quality 4DCBCT,0.639897
