abstract_i,abstract_j,cosine_similarity
0,1,0.494305
0,2,0.520701
0,3,0.594425
0,4,0.518578
0,5,0.399463
0,6,0.517083
0,7,0.404044
0,8,0.219661
0,9,0.28775
0,10,0.583035
0,11,0.115296
1,2,0.660971
1,3,0.639502
1,4,0.529949
1,5,0.611438
1,6,0.656452
1,7,0.607838
1,8,0.293584
1,9,0.337097
1,10,0.527904
1,11,0.024913
2,3,0.627796
2,4,0.537159
2,5,0.553515
2,6,0.997795
2,7,0.553432
2,8,0.350142
2,9,0.33188
2,10,0.587338
2,11,0.012029
3,4,0.620254
3,5,0.552201
3,6,0.627294
3,7,0.555178
3,8,0.359115
3,9,0.285
3,10,0.656046
3,11,0.003083
4,5,0.433522
4,6,0.537328
4,7,0.434897
4,8,0.424918
4,9,0.368081
4,10,0.720274
4,11,-0.013468
5,6,0.545572
5,7,0.999359
5,8,0.291784
5,9,0.418203
5,10,0.466628
5,11,0.033796
6,7,0.545679
6,8,0.347835
6,9,0.325127
6,10,0.582838
6,11,0.012151
7,8,0.291457
7,9,0.418267
7,10,0.468865
7,11,0.035477
8,9,0.651432
8,10,0.366
8,11,0.077239
9,10,0.31878
9,11,0.04926
10,11,0.024341
