title_i,title_j,cosine_similarity
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,"Removal of lead, cadmium and zinc from aqueous solutions by precipitation with sodium Di‐(<i>n</i>‐octyl) phosphinate",0.238965
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,PRSV2: A cubic equation of state for accurate vapor—liquid equilibria calculations,0.744492
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Effect of the concentration of DODMAC and 1‐decanol on the behavior of reverse micelles in the extraction of amino acids,0.212949
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,PRSV — An improved peng‐Robinson equation of state with new mixing rules for strongly nonideal mixtures,0.780955
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,"Correlation for the third virial coefficient using <i>T</i><sub><i>c</i></sub>, <i>P</i><sub><i>c</i></sub> and ω as parameters",0.636976
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,A nonrandom factor model for the excess gibbs energy of electrolyte solutions,0.40384
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Liquid-liquid equilibrium of aqueous mixtures of poly(propylene glycol) with sodium chloride,0.488273
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Effect of NaCl and KCl on the Solubility of Amino Acids in Aqueous Solutions at 298.2 K:  Measurements and Modeling,0.23782
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Measurement and correlation of ion activity in aqueous single electrolyte solutions,0.292433
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,On the activity of ions and the junction potential: Revised values for all data,0.300767
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Swelling of ionic gels in electrolyte solutions,0.26495
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Measurement of Activity Coefficients of Amino Acids in Aqueous Electrolyte Solutions:  Experimental Data for the Systems H<sub>2</sub>O + NaCl + Glycine and H<sub>2</sub>O + NaCl + <scp>dl</scp>-Alanine at 25 °C,0.168845
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,A Simplified Perturbed Hard-Sphere Model for the Activity Coefficients of Amino Acids and Peptides in Aqueous Solutions,0.320319
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Effect of Anions on the Solubility of Zwitterionic Amino Acids,0.259382
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,PRSV: The stryjek‐vera modification of the peng‐robinson equation of state. Parameters for other pure compounds of industrial interest,0.781728
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,A Novel Approach for the Preparation of AgBr Nanoparticles from Their Bulk Solid Precursor Using CTAB Microemulsions,0.220228
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Reverse Micellar Extraction and Precipitation of Lysozyme Using Sodium Di(2-ethylhexyl) Sulfosuccinate,0.211864
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Liquid-Liquid Equilibrium of Aqueous Mixtures of Poly(ethylene glycol) with Na2SO4 or NaCl,0.487069
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Understanding cubic equations of state: A search for the hidden clues of their success,0.718684
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Classical Thermodynamics of Fluid Systems,0.719903
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Heats of mixing of amine/alkane and amine/alcohol systems at 288.15 and 308.15 K. Correlation and prediction with AGSM and with the quasi‐chemical theory,0.53761
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Precipitation and Recovery of Cytochrome c and Hemoglobin Using AOT and Acetone,0.187491
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Formation of Silver Chloride Nanoparticles in Microemulsions by Direct Precipitation with the Surfactant Counterion,0.20939
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Measurement and modeling of activities of amino acids in aqueous salt systems,0.391221
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,A Perturbed Hard-Sphere Model with Mean Spherical Approximation for the Activity Coefficients of Amino Acids in Aqueous Electrolyte Solutions,0.29137
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,An Improved Cubic Equation of State,0.874681
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,A Theoretically Improved Perturbation Model for Activity Coefficients of Amino Acids and Peptides in Aqueous Solutions,0.336327
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Removal of Lead from Aqueous Solutions with Sodium Caprate,0.18915
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Reverse Micellar Extraction and Backextraction of l-Lysine with Three Dialkyl Sodium Phosphinates in Pentanol/Isooctane Mixtures,0.231843
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Nonrandom Distribution of Free Volume in Fluids and Their Mixtures:  Hydrogen-Bonded Systems,0.629134
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Classical and Molecular Thermodynamics of Fluid Systems,0.653108
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,"Measurement and correlation of the individual ionic activity coefficients of aqueous electrolyte solutions of KF, NaF and KBr",0.290867
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Method to Calculate the Solubilities of Light Gases in Petroleum and Coal Liquid Fractions on the Basis of Their P/N/A Composition,0.627677
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Selective Precipitation of Lysozyme from Egg White Using AOT,0.176323
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,"The activity coefficients of glycine, DL‐Serine and DL‐Valine in aqueous solutions containing nitrates at 298.15 K",0.273034
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,A generalized solution method for the quasi‐chemical local composition equations,0.506889
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Correlation of Activity Coefficients in Electrolyte Solutions Using a Kelvin Hard Sphere−Mean Spherical Approximation (K-MSA) Model,0.273871
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,On the Predictive Ability of the New Thermodynamics of Electrolyte Solutions,0.432291
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Selective precipitation and recovery of xylanase using surfactant and organic solvent,0.124374
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,A group contribution method for second virial coefficients,0.589907
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Local compositions and local surface area fractions: A theoretical discussion,0.566697
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Mean activity coefficients in the ternary sodium chloride-sodium nitrate-water and sodium bromide-sodium nitrate-water systems at 298.15 K,0.374624
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,An improved lattice‐fluid equation of state for pure component polymeric fluids,0.606929
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,Cubic Equation of State for Pure Compound Vapor Pressures from the Triple Point to the Critical Point,0.79148
PRSV: An improved peng—Robinson equation of state for pure compounds and mixtures,"Binary vapor-liquid equilibria of carbon dioxide with 2-methyl-1-pentene, 1-hexene, 1-heptene, and m-xylene at 303.15, 323.15, and 343.15 K",0.550939
