title_i,title_j,cosine_similarity
Time-Controlled SPAD Receivers in Optical Wireless Communication System,Gelatin–Organic Acid‐Based Biodegradable Batteries for Stretchable Electronics,-0.091804
Time-Controlled SPAD Receivers in Optical Wireless Communication System,Time-Gated Circuit for SPAD-based OWC,0.680795
Time-Controlled SPAD Receivers in Optical Wireless Communication System,Gelatin-Organic Acids based Biodegradable Batteries for Stretchable Electronics,-0.080405
Time-Controlled SPAD Receivers in Optical Wireless Communication System,A Novel CMOS SPAD Receiver for Optical Wireless Communication,0.91653
Gelatin–Organic Acid‐Based Biodegradable Batteries for Stretchable Electronics,Time-Gated Circuit for SPAD-based OWC,-0.068559
Gelatin–Organic Acid‐Based Biodegradable Batteries for Stretchable Electronics,Gelatin-Organic Acids based Biodegradable Batteries for Stretchable Electronics,0.936213
Gelatin–Organic Acid‐Based Biodegradable Batteries for Stretchable Electronics,A Novel CMOS SPAD Receiver for Optical Wireless Communication,-0.077316
Time-Gated Circuit for SPAD-based OWC,Gelatin-Organic Acids based Biodegradable Batteries for Stretchable Electronics,-0.068713
Time-Gated Circuit for SPAD-based OWC,A Novel CMOS SPAD Receiver for Optical Wireless Communication,0.701005
Gelatin-Organic Acids based Biodegradable Batteries for Stretchable Electronics,A Novel CMOS SPAD Receiver for Optical Wireless Communication,-0.065158
