abstract_i,abstract_j,cosine_similarity
0,1,0.525785
0,2,0.039326
0,3,0.150324
0,4,0.605509
0,5,0.251009
0,6,0.430867
0,7,0.22947
0,8,0.431681
0,9,0.38317
0,10,0.653432
0,11,0.567212
0,12,0.346994
1,2,0.056441
1,3,0.200804
1,4,0.460009
1,5,0.366251
1,6,0.525406
1,7,0.196018
1,8,0.440535
1,9,0.499937
1,10,0.563477
1,11,0.53986
1,12,0.381273
2,3,0.164537
2,4,0.039259
2,5,0.087178
2,6,-0.008932
2,7,-0.113169
2,8,0.149325
2,9,0.047133
2,10,0.075089
2,11,0.058498
2,12,-0.018969
3,4,0.151232
3,5,0.317943
3,6,0.257456
3,7,0.450295
3,8,0.212877
3,9,0.295357
3,10,0.229709
3,11,0.157962
3,12,0.125484
4,5,0.359392
4,6,0.459425
4,7,0.13706
4,8,0.506353
4,9,0.556907
4,10,0.662655
4,11,0.776193
4,12,0.301346
5,6,0.303351
5,7,0.234953
5,8,0.41312
5,9,0.408572
5,10,0.383817
5,11,0.39976
5,12,0.246598
6,7,0.299016
6,8,0.430941
6,9,0.45291
6,10,0.495753
6,11,0.58238
6,12,0.405978
7,8,0.216815
7,9,0.162476
7,10,0.272058
7,11,0.17741
7,12,0.134595
8,9,0.409591
8,10,0.610555
8,11,0.538381
8,12,0.27159
9,10,0.480054
9,11,0.533716
9,12,0.199473
10,11,0.610389
10,12,0.227451
11,12,0.269732
