title_i,title_j,cosine_similarity
Cross-orientation masking in human color vision: Application of a two-stage model to assess dichoptic and monocular sources of suppression,Integrated Approach to Hydraulic Fracturing of Achimov Formation in Western Siberia,-0.014516
Cross-orientation masking in human color vision: Application of a two-stage model to assess dichoptic and monocular sources of suppression,Expanding and Understanding Risk Factors for Coronary Heart Disease,0.009673
Cross-orientation masking in human color vision: Application of a two-stage model to assess dichoptic and monocular sources of suppression,"A comparison of the BOLD fMRI response to achromatic, L/M opponent and S-cone opponent cardinal stimuli in human visual cortex: I. perceptually matched vs contrast matched stimuli",0.625802
Cross-orientation masking in human color vision: Application of a two-stage model to assess dichoptic and monocular sources of suppression,Peripheral chromatic sensitivity for rectified stimuli in each cone-opponent system,0.697439
Cross-orientation masking in human color vision: Application of a two-stage model to assess dichoptic and monocular sources of suppression,Flank facilitation for isoluminant chromatic stimuli,0.707235
Cross-orientation masking in human color vision: Application of a two-stage model to assess dichoptic and monocular sources of suppression,Cross-orientation masking in color vision: application of the two-stage model with suppression within and between eyes.,0.929017
Integrated Approach to Hydraulic Fracturing of Achimov Formation in Western Siberia,Expanding and Understanding Risk Factors for Coronary Heart Disease,-0.061888
Integrated Approach to Hydraulic Fracturing of Achimov Formation in Western Siberia,"A comparison of the BOLD fMRI response to achromatic, L/M opponent and S-cone opponent cardinal stimuli in human visual cortex: I. perceptually matched vs contrast matched stimuli",-0.029265
Integrated Approach to Hydraulic Fracturing of Achimov Formation in Western Siberia,Peripheral chromatic sensitivity for rectified stimuli in each cone-opponent system,-0.050464
Integrated Approach to Hydraulic Fracturing of Achimov Formation in Western Siberia,Flank facilitation for isoluminant chromatic stimuli,0.003872
Integrated Approach to Hydraulic Fracturing of Achimov Formation in Western Siberia,Cross-orientation masking in color vision: application of the two-stage model with suppression within and between eyes.,0.022566
Expanding and Understanding Risk Factors for Coronary Heart Disease,"A comparison of the BOLD fMRI response to achromatic, L/M opponent and S-cone opponent cardinal stimuli in human visual cortex: I. perceptually matched vs contrast matched stimuli",-0.032523
Expanding and Understanding Risk Factors for Coronary Heart Disease,Peripheral chromatic sensitivity for rectified stimuli in each cone-opponent system,0.009238
Expanding and Understanding Risk Factors for Coronary Heart Disease,Flank facilitation for isoluminant chromatic stimuli,-0.029121
Expanding and Understanding Risk Factors for Coronary Heart Disease,Cross-orientation masking in color vision: application of the two-stage model with suppression within and between eyes.,0.005449
"A comparison of the BOLD fMRI response to achromatic, L/M opponent and S-cone opponent cardinal stimuli in human visual cortex: I. perceptually matched vs contrast matched stimuli",Peripheral chromatic sensitivity for rectified stimuli in each cone-opponent system,0.725802
"A comparison of the BOLD fMRI response to achromatic, L/M opponent and S-cone opponent cardinal stimuli in human visual cortex: I. perceptually matched vs contrast matched stimuli",Flank facilitation for isoluminant chromatic stimuli,0.670883
"A comparison of the BOLD fMRI response to achromatic, L/M opponent and S-cone opponent cardinal stimuli in human visual cortex: I. perceptually matched vs contrast matched stimuli",Cross-orientation masking in color vision: application of the two-stage model with suppression within and between eyes.,0.655973
Peripheral chromatic sensitivity for rectified stimuli in each cone-opponent system,Flank facilitation for isoluminant chromatic stimuli,0.734249
Peripheral chromatic sensitivity for rectified stimuli in each cone-opponent system,Cross-orientation masking in color vision: application of the two-stage model with suppression within and between eyes.,0.69653
Flank facilitation for isoluminant chromatic stimuli,Cross-orientation masking in color vision: application of the two-stage model with suppression within and between eyes.,0.767745
