title_i,title_j,cosine_similarity
Magnetohydrodynamics-induced internal crash near density limit in ohmic discharge on experimental advanced superconducting tokamak,First results obtained from the soft x-ray pulse height analyzer on experimental advanced superconducting tokamak,0.517033
Magnetohydrodynamics-induced internal crash near density limit in ohmic discharge on experimental advanced superconducting tokamak,Intelligent Pet Feeding Monitoring System and Design,-0.045376
Magnetohydrodynamics-induced internal crash near density limit in ohmic discharge on experimental advanced superconducting tokamak,Measurement of charged hadron multiplicity in Au+Au collisions at $\sqrt{\text{s}_{\text{NN}}} = 200$ GeV with the sPHENIX detector,0.316956
Magnetohydrodynamics-induced internal crash near density limit in ohmic discharge on experimental advanced superconducting tokamak,Measurement of the transverse energy density in Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV with the sPHENIX detector,0.325317
Magnetohydrodynamics-induced internal crash near density limit in ohmic discharge on experimental advanced superconducting tokamak,Measurement of charged hadron multiplicity in Au+Au collisions at $$ \sqrt{{\textrm{s}}_{\textrm{NN}}} $$ = 200 GeV with the sPHENIX detector,0.338802
Magnetohydrodynamics-induced internal crash near density limit in ohmic discharge on experimental advanced superconducting tokamak,Deep Learning for Cognitive Task Presence Prediction from Dynamic Functional Connectivity,-0.054302
First results obtained from the soft x-ray pulse height analyzer on experimental advanced superconducting tokamak,Intelligent Pet Feeding Monitoring System and Design,0.103434
First results obtained from the soft x-ray pulse height analyzer on experimental advanced superconducting tokamak,Measurement of charged hadron multiplicity in Au+Au collisions at $\sqrt{\text{s}_{\text{NN}}} = 200$ GeV with the sPHENIX detector,0.375428
First results obtained from the soft x-ray pulse height analyzer on experimental advanced superconducting tokamak,Measurement of the transverse energy density in Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV with the sPHENIX detector,0.359689
First results obtained from the soft x-ray pulse height analyzer on experimental advanced superconducting tokamak,Measurement of charged hadron multiplicity in Au+Au collisions at $$ \sqrt{{\textrm{s}}_{\textrm{NN}}} $$ = 200 GeV with the sPHENIX detector,0.382501
First results obtained from the soft x-ray pulse height analyzer on experimental advanced superconducting tokamak,Deep Learning for Cognitive Task Presence Prediction from Dynamic Functional Connectivity,-0.053873
Intelligent Pet Feeding Monitoring System and Design,Measurement of charged hadron multiplicity in Au+Au collisions at $\sqrt{\text{s}_{\text{NN}}} = 200$ GeV with the sPHENIX detector,-0.029034
Intelligent Pet Feeding Monitoring System and Design,Measurement of the transverse energy density in Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV with the sPHENIX detector,-0.006024
Intelligent Pet Feeding Monitoring System and Design,Measurement of charged hadron multiplicity in Au+Au collisions at $$ \sqrt{{\textrm{s}}_{\textrm{NN}}} $$ = 200 GeV with the sPHENIX detector,-0.036436
Intelligent Pet Feeding Monitoring System and Design,Deep Learning for Cognitive Task Presence Prediction from Dynamic Functional Connectivity,0.071839
Measurement of charged hadron multiplicity in Au+Au collisions at $\sqrt{\text{s}_{\text{NN}}} = 200$ GeV with the sPHENIX detector,Measurement of the transverse energy density in Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV with the sPHENIX detector,0.868029
Measurement of charged hadron multiplicity in Au+Au collisions at $\sqrt{\text{s}_{\text{NN}}} = 200$ GeV with the sPHENIX detector,Measurement of charged hadron multiplicity in Au+Au collisions at $$ \sqrt{{\textrm{s}}_{\textrm{NN}}} $$ = 200 GeV with the sPHENIX detector,0.988024
Measurement of charged hadron multiplicity in Au+Au collisions at $\sqrt{\text{s}_{\text{NN}}} = 200$ GeV with the sPHENIX detector,Deep Learning for Cognitive Task Presence Prediction from Dynamic Functional Connectivity,0.013712
Measurement of the transverse energy density in Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV with the sPHENIX detector,Measurement of charged hadron multiplicity in Au+Au collisions at $$ \sqrt{{\textrm{s}}_{\textrm{NN}}} $$ = 200 GeV with the sPHENIX detector,0.8747
Measurement of the transverse energy density in Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV with the sPHENIX detector,Deep Learning for Cognitive Task Presence Prediction from Dynamic Functional Connectivity,0.030296
Measurement of charged hadron multiplicity in Au+Au collisions at $$ \sqrt{{\textrm{s}}_{\textrm{NN}}} $$ = 200 GeV with the sPHENIX detector,Deep Learning for Cognitive Task Presence Prediction from Dynamic Functional Connectivity,0.003357
