abstract_i,abstract_j,cosine_similarity
0,1,0.612856
0,2,0.569735
0,3,0.628225
0,4,0.498797
0,5,0.451182
0,6,0.503114
0,7,0.382864
0,8,0.600463
0,9,0.261615
0,10,0.560466
0,11,0.456671
0,12,-0.044169
0,13,0.022159
0,14,0.6224
0,15,0.505177
0,16,0.413021
0,17,0.644303
0,18,-0.043085
0,19,0.01866
0,20,0.580401
0,21,0.610565
0,22,0.491725
0,23,0.587788
0,24,0.525536
0,25,0.639302
0,26,0.690838
0,27,0.560335
0,28,0.579173
0,29,0.560973
0,30,0.568083
0,31,0.635266
0,32,0.586521
0,33,0.380712
0,34,0.570031
0,35,0.596435
0,36,0.962502
0,37,0.050772
0,38,0.587778
0,39,0.595831
0,40,-0.016742
0,41,0.097575
0,42,0.516446
0,43,0.579343
0,44,0.445962
0,45,0.59862
0,46,0.536669
0,47,0.588377
0,48,0.493078
0,49,0.552776
0,50,0.47935
0,51,-0.057628
0,52,0.688392
0,53,0.484248
0,54,0.604274
0,55,0.46531
0,56,0.090218
0,57,0.466794
0,58,0.556494
0,59,0.53546
0,60,0.5061
0,61,0.560073
0,62,0.25305
0,63,0.031436
0,64,0.600354
0,65,0.862315
0,66,0.569933
1,2,0.826517
1,3,0.57402
1,4,0.53684
1,5,0.642057
1,6,0.587176
1,7,0.39806
1,8,0.689175
1,9,0.343757
1,10,0.495599
1,11,0.708519
1,12,-0.068869
1,13,0.095562
1,14,0.787068
1,15,0.438499
1,16,0.475239
1,17,0.73954
1,18,-0.044229
1,19,0.010207
1,20,0.743015
1,21,0.729849
1,22,0.546081
1,23,0.760432
1,24,0.712125
1,25,0.622584
1,26,0.667859
1,27,0.660249
1,28,0.654104
1,29,0.747708
1,30,0.613622
1,31,0.808172
1,32,0.717737
1,33,0.495455
1,34,0.754702
1,35,0.6723
1,36,0.611831
1,37,0.077808
1,38,0.601326
1,39,0.788681
1,40,-0.027943
1,41,-0.022078
1,42,0.349411
1,43,0.826694
1,44,0.731325
1,45,0.710187
1,46,0.722588
1,47,0.661122
1,48,0.577333
1,49,0.646178
1,50,0.584951
1,51,-0.089725
1,52,0.646609
1,53,0.485452
1,54,0.700101
1,55,0.539548
1,56,0.090156
1,57,0.649545
1,58,0.701517
1,59,0.730246
1,60,0.386476
1,61,0.778259
1,62,0.248961
1,63,-0.01297
