abstract_i,abstract_j,cosine_similarity
0,1,0.163799
0,2,0.307553
0,3,0.205292
0,4,0.182207
0,5,0.181719
0,6,0.301084
0,7,0.200891
0,8,0.227379
0,9,0.345861
0,10,0.147222
0,11,0.198206
0,12,0.236459
0,13,0.170066
0,14,0.146653
0,15,0.209793
0,16,0.17539
0,17,0.111252
0,18,0.29803
0,19,0.221416
0,20,0.173643
0,21,0.399492
0,22,0.224627
0,23,0.133594
0,24,0.323408
0,25,0.182758
0,26,0.181064
0,27,0.165586
0,28,0.236939
0,29,0.311395
0,30,0.198315
0,31,0.151457
0,32,0.17018
0,33,-0.004511
0,34,0.302243
0,35,0.122153
0,36,0.195128
0,37,0.333454
0,38,0.226017
0,39,0.157261
0,40,0.216879
0,41,0.213631
0,42,0.250799
0,43,0.192674
0,44,0.193024
0,45,0.240678
0,46,0.280021
0,47,0.15349
0,48,0.239681
0,49,0.387357
0,50,0.106522
0,51,0.15852
0,52,0.469331
0,53,0.179904
0,54,0.311128
0,55,0.212431
0,56,0.799717
0,57,0.307367
1,2,0.410872
1,3,0.487532
1,4,0.41849
1,5,0.348012
1,6,0.456978
1,7,0.511189
1,8,0.329273
1,9,0.377253
1,10,0.661956
1,11,0.43995
1,12,0.308006
1,13,0.452679
1,14,0.4018
1,15,0.429356
1,16,0.286619
1,17,0.374152
1,18,0.303138
1,19,0.24059
1,20,0.406151
1,21,0.21121
1,22,0.362734
1,23,0.098678
1,24,0.439719
1,25,0.34763
1,26,0.494571
1,27,0.283436
1,28,0.359449
1,29,0.493286
1,30,0.511047
1,31,0.99282
1,32,0.281606
1,33,-0.006181
1,34,0.457411
1,35,0.507906
1,36,0.438284
1,37,0.342896
1,38,0.473448
1,39,0.476236
1,40,0.399979
1,41,0.404082
1,42,0.172379
1,43,0.41362
1,44,0.506867
1,45,0.361822
1,46,0.38268
1,47,0.400334
1,48,0.299434
1,49,0.202589
1,50,0.008827
1,51,0.407196
1,52,0.238587
1,53,0.285915
1,54,0.411485
1,55,0.474184
1,56,0.19389
1,57,0.375102
2,3,0.507639
2,4,0.436892
2,5,0.46572
2,6,0.527549
2,7,0.456359
2,8,0.537842
2,9,0.497297
2,10,0.351813
2,11,0.387498
2,12,0.479804
2,13,0.37928
2,14,0.299497
2,15,0.298938
2,16,0.451563
2,17,0.429902
2,18,0.479855
2,19,0.395444
2,20,0.372509
2,21,0.449712
2,22,0.515142
2,23,0.218847
2,24,0.336648
2,25,0.468609
2,26,0.410225
2,27,0.389384
2,28,0.530877
2,29,0.521847
2,30,0.496612
2,31,0.396724
2,32,0.353141
2,33,0.04839
2,34,0.527325
2,35,0.398117
2,36,0.50067
2,37,0.531224
2,38,0.415769
2,39,0.472599
2,40,0.437119
2,41,0.536128
2,42,0.505838
2,43,0.388176
2,44,0.455234
2,45,0.526203
2,46,0.434387
2,47,0.416668
2,48,0.410211
2,49,0.446559
2,50,0.162602
2,51,0.421196
2,52,0.527946
2,53,0.457985
2,54,0.99728
2,55,0.243227
2,56,0.319148
2,57,0.420048
3,4,0.416336
3,5,0.561193
3,6,0.594748
3,7,0.436419
3,8,0.504485
3,9,0.454934
3,10,0.354421
3,11,0.519798
3,12,0.455054
3,13,0.849354
3,14,0.412914
3,15,0.429984
3,16,0.47397
3,17,0.508153
3,18,0.462464
3,19,0.559864
3,20,0.472792
3,21,0.340761
3,22,0.631317
3,23,0.174431
3,24,0.486356
3,25,0.560045
3,26,0.456957
3,27,0.626
3,28,0.409665
3,29,0.613418
3,30,0.417926
3,31,0.47449
3,32,0.617986
3,33,0.020213
3,34,0.593997
