abstract_i,abstract_j,cosine_similarity
0,1,0.346192
0,2,0.421159
0,3,0.453214
0,4,0.246886
0,5,0.284351
0,6,0.43696
0,7,-0.024029
0,8,0.264897
0,9,0.328932
0,10,0.268262
0,11,0.332015
0,12,0.433953
0,13,0.347672
0,14,0.309719
0,15,0.231104
0,16,0.283264
0,17,0.119245
0,18,0.420336
0,19,0.086037
0,20,0.218265
1,2,0.362183
1,3,0.409263
1,4,0.40237
1,5,0.408483
1,6,0.663404
1,7,0.153487
1,8,0.420335
1,9,0.350823
1,10,0.301867
1,11,0.387755
1,12,0.422117
1,13,0.440311
1,14,0.469255
1,15,0.342273
1,16,0.409714
1,17,0.242265
1,18,0.32903
1,19,0.231624
1,20,0.248554
2,3,0.86998
2,4,0.461216
2,5,0.449251
2,6,0.519459
2,7,0.074121
2,8,0.416765
2,9,0.508425
2,10,0.330853
2,11,0.470407
2,12,0.635125
2,13,0.490742
2,14,0.482062
2,15,0.369284
2,16,0.37393
2,17,0.465654
2,18,0.483825
2,19,0.146402
2,20,0.281569
3,4,0.488277
3,5,0.458444
3,6,0.581109
3,7,0.012098
3,8,0.44295
3,9,0.492084
3,10,0.332826
3,11,0.485641
3,12,0.696606
3,13,0.494805
3,14,0.495694
3,15,0.372976
3,16,0.383919
3,17,0.416327
3,18,0.513805
3,19,0.114351
3,20,0.260302
4,5,0.75647
4,6,0.424677
4,7,0.061144
4,8,0.824976
4,9,0.462032
4,10,0.499808
4,11,0.648399
4,12,0.511277
4,13,0.834708
4,14,0.437371
4,15,0.72037
4,16,0.585846
4,17,0.199574
4,18,0.310628
4,19,0.109224
4,20,0.199792
5,6,0.436472
5,7,0.062423
5,8,0.714293
5,9,0.400353
5,10,0.536653
5,11,0.600925
5,12,0.529616
5,13,0.810836
5,14,0.40593
5,15,0.631885
5,16,0.563937
5,17,0.223414
5,18,0.323068
5,19,0.119362
5,20,0.215055
6,7,-0.013968
6,8,0.480503
6,9,0.457733
6,10,0.34135
6,11,0.455401
6,12,0.50704
6,13,0.419822
6,14,0.43524
6,15,0.347842
6,16,0.421422
6,17,0.214912
6,18,0.342081
6,19,0.091707
6,20,0.166386
7,8,0.080092
7,9,0.014234
7,10,0.044307
7,11,0.054052
7,12,0.058819
7,13,0.044868
7,14,0.095246
7,15,0.057482
7,16,0.041018
7,17,0.161426
7,18,0.010405
7,19,0.535274
7,20,0.464466
8,9,0.404245
8,10,0.587306
8,11,0.705475
8,12,0.389889
8,13,0.725153
8,14,0.315108
8,15,0.798072
8,16,0.645742
8,17,0.191644
8,18,0.284815
8,19,0.071878
8,20,0.173998
9,10,0.336857
9,11,0.442674
9,12,0.476875
9,13,0.418875
9,14,0.385011
9,15,0.363607
9,16,0.352837
9,17,0.192252
9,18,0.361849
9,19,0.050464
9,20,0.186173
10,11,0.864974
10,12,0.332621
10,13,0.547508
10,14,0.363646
10,15,0.809062
10,16,0.769879
10,17,0.161464
10,18,0.247293
10,19,0.029886
10,20,0.119271
11,12,0.393716
11,13,0.651756
11,14,0.444935
11,15,0.811758
11,16,0.822022
11,17,0.205892
11,18,0.310891
11,19,0.052244
11,20,0.171537
12,13,0.519868
12,14,0.537788
12,15,0.347981
12,16,0.324848
12,17,0.340158
12,18,0.563965
12,19,0.203064
12,20,0.333138
13,14,0.474946
13,15,0.687467
13,16,0.602194
13,17,0.195073
13,18,0.358469
13,19,0.090159
13,20,0.152685
14,15,0.388758
14,16,0.444968
14,17,0.278449
14,18,0.396713
14,19,0.143552
14,20,0.218041
15,16,0.742707
15,17,0.20148
15,18,0.263955
15,19,0.038099
15,20,0.133667
16,17,0.209217
16,18,0.251714
16,19,0.067571
16,20,0.156844
17,18,0.149427
17,19,0.301903
17,20,0.347547
18,19,0.069673
18,20,0.175143
19,20,0.644708
