title_i,title_j,cosine_similarity
Threats to Peaceful Purposes of Outer Space: Politics and Law,Legal status of outer space and celestial bodies,0.757336
Threats to Peaceful Purposes of Outer Space: Politics and Law,A Holistic Education Curriculum for Capacity-Building in Space Law,0.582327
Threats to Peaceful Purposes of Outer Space: Politics and Law,Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,0.318828
Threats to Peaceful Purposes of Outer Space: Politics and Law,On sovereignty,0.308871
Threats to Peaceful Purposes of Outer Space: Politics and Law,The Subjects of International Space Law,0.594287
Threats to Peaceful Purposes of Outer Space: Politics and Law,New Uses: Security in Space,0.610813
Threats to Peaceful Purposes of Outer Space: Politics and Law,"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",0.394045
Threats to Peaceful Purposes of Outer Space: Politics and Law,Space Law Education and Capacity-Building,0.700086
Threats to Peaceful Purposes of Outer Space: Politics and Law,Why Taiwan’s Constitutional Court Is in Danger,0.134355
Threats to Peaceful Purposes of Outer Space: Politics and Law,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.191572
Legal status of outer space and celestial bodies,A Holistic Education Curriculum for Capacity-Building in Space Law,0.746203
Legal status of outer space and celestial bodies,Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,0.329277
Legal status of outer space and celestial bodies,On sovereignty,0.38921
Legal status of outer space and celestial bodies,The Subjects of International Space Law,0.697797
Legal status of outer space and celestial bodies,New Uses: Security in Space,0.512011
Legal status of outer space and celestial bodies,"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",0.393639
Legal status of outer space and celestial bodies,Space Law Education and Capacity-Building,0.859641
Legal status of outer space and celestial bodies,Why Taiwan’s Constitutional Court Is in Danger,0.25658
Legal status of outer space and celestial bodies,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.224146
A Holistic Education Curriculum for Capacity-Building in Space Law,Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,0.326287
A Holistic Education Curriculum for Capacity-Building in Space Law,On sovereignty,0.416984
A Holistic Education Curriculum for Capacity-Building in Space Law,The Subjects of International Space Law,0.676541
A Holistic Education Curriculum for Capacity-Building in Space Law,New Uses: Security in Space,0.515132
A Holistic Education Curriculum for Capacity-Building in Space Law,"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",0.390358
A Holistic Education Curriculum for Capacity-Building in Space Law,Space Law Education and Capacity-Building,0.911922
A Holistic Education Curriculum for Capacity-Building in Space Law,Why Taiwan’s Constitutional Court Is in Danger,0.332281
A Holistic Education Curriculum for Capacity-Building in Space Law,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.354475
Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,On sovereignty,0.445287
Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,The Subjects of International Space Law,0.404443
Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,New Uses: Security in Space,0.288148
Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",0.437223
Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,Space Law Education and Capacity-Building,0.366067
Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,Why Taiwan’s Constitutional Court Is in Danger,0.221048
Stripped and Safer? Issues of Privacy and Security surrounding the Full Body Scanner,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.168064
On sovereignty,The Subjects of International Space Law,0.468072
On sovereignty,New Uses: Security in Space,0.310653
On sovereignty,"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",0.365081
On sovereignty,Space Law Education and Capacity-Building,0.424074
On sovereignty,Why Taiwan’s Constitutional Court Is in Danger,0.363869
On sovereignty,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.450853
The Subjects of International Space Law,New Uses: Security in Space,0.530074
The Subjects of International Space Law,"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",0.356979
The Subjects of International Space Law,Space Law Education and Capacity-Building,0.750163
The Subjects of International Space Law,Why Taiwan’s Constitutional Court Is in Danger,0.261913
The Subjects of International Space Law,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.271441
New Uses: Security in Space,"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",0.329425
New Uses: Security in Space,Space Law Education and Capacity-Building,0.589441
New Uses: Security in Space,Why Taiwan’s Constitutional Court Is in Danger,0.150699
New Uses: Security in Space,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.202356
"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",Space Law Education and Capacity-Building,0.422255
"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System",Why Taiwan’s Constitutional Court Is in Danger,0.374928
"Aviation Safety and Security Requires Global Uniformity: Taiwan, The Gap in The Global Aviation System","Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.325353
Space Law Education and Capacity-Building,Why Taiwan’s Constitutional Court Is in Danger,0.272054
Space Law Education and Capacity-Building,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.288449
Why Taiwan’s Constitutional Court Is in Danger,"Institutional Sustainability in AI Governance: Comparing Paths in the EU, Japan, and Taiwan",0.281551
