title_i,title_j,cosine_similarity
The State of Artificial Intelligence in Skin Cancer Publications,MULTIPURPOSE LOGIC CELL STUDY.,0.141448
The State of Artificial Intelligence in Skin Cancer Publications,Manuel de Sécurité et de Sûreté Biologiques 2e édition 2019ISBN 978-2-87805-037-0,0.082299
The State of Artificial Intelligence in Skin Cancer Publications,Référentiel de Formation en Sécurité et Sûreté Biologiques,0.082299
The State of Artificial Intelligence in Skin Cancer Publications,Manuel de sécurité et de sûreté biologiques. 2014. Société Française de Microbiologie. ISBN 978-2-87805-030-1,0.082299
The State of Artificial Intelligence in Skin Cancer Publications,A Comparison of Bounding Box and Landmark Detection Methods for Video-Based Heart Rate Estimation,0.315731
The State of Artificial Intelligence in Skin Cancer Publications,Scavenging Hyena: Distilling Transformers into Long Convolution Models,0.162035
MULTIPURPOSE LOGIC CELL STUDY.,Manuel de Sécurité et de Sûreté Biologiques 2e édition 2019ISBN 978-2-87805-037-0,0.00573
MULTIPURPOSE LOGIC CELL STUDY.,Référentiel de Formation en Sécurité et Sûreté Biologiques,0.00573
MULTIPURPOSE LOGIC CELL STUDY.,Manuel de sécurité et de sûreté biologiques. 2014. Société Française de Microbiologie. ISBN 978-2-87805-030-1,0.00573
MULTIPURPOSE LOGIC CELL STUDY.,A Comparison of Bounding Box and Landmark Detection Methods for Video-Based Heart Rate Estimation,-0.010709
MULTIPURPOSE LOGIC CELL STUDY.,Scavenging Hyena: Distilling Transformers into Long Convolution Models,0.075204
Manuel de Sécurité et de Sûreté Biologiques 2e édition 2019ISBN 978-2-87805-037-0,Référentiel de Formation en Sécurité et Sûreté Biologiques,1.0
Manuel de Sécurité et de Sûreté Biologiques 2e édition 2019ISBN 978-2-87805-037-0,Manuel de sécurité et de sûreté biologiques. 2014. Société Française de Microbiologie. ISBN 978-2-87805-030-1,1.0
Manuel de Sécurité et de Sûreté Biologiques 2e édition 2019ISBN 978-2-87805-037-0,A Comparison of Bounding Box and Landmark Detection Methods for Video-Based Heart Rate Estimation,0.107093
Manuel de Sécurité et de Sûreté Biologiques 2e édition 2019ISBN 978-2-87805-037-0,Scavenging Hyena: Distilling Transformers into Long Convolution Models,0.035103
Référentiel de Formation en Sécurité et Sûreté Biologiques,Manuel de sécurité et de sûreté biologiques. 2014. Société Française de Microbiologie. ISBN 978-2-87805-030-1,1.0
Référentiel de Formation en Sécurité et Sûreté Biologiques,A Comparison of Bounding Box and Landmark Detection Methods for Video-Based Heart Rate Estimation,0.107093
Référentiel de Formation en Sécurité et Sûreté Biologiques,Scavenging Hyena: Distilling Transformers into Long Convolution Models,0.035103
Manuel de sécurité et de sûreté biologiques. 2014. Société Française de Microbiologie. ISBN 978-2-87805-030-1,A Comparison of Bounding Box and Landmark Detection Methods for Video-Based Heart Rate Estimation,0.107093
Manuel de sécurité et de sûreté biologiques. 2014. Société Française de Microbiologie. ISBN 978-2-87805-030-1,Scavenging Hyena: Distilling Transformers into Long Convolution Models,0.035103
A Comparison of Bounding Box and Landmark Detection Methods for Video-Based Heart Rate Estimation,Scavenging Hyena: Distilling Transformers into Long Convolution Models,0.002826
