abstract_i,abstract_j,cosine_similarity
0,1,0.427966
0,2,0.283181
0,3,0.42921
0,4,0.443842
0,5,0.298509
0,6,0.361465
0,7,0.415013
0,8,0.347141
0,9,0.193076
0,10,0.36229
0,11,0.296026
0,12,0.571041
0,13,0.864526
0,14,0.285833
0,15,0.344357
1,2,0.371734
1,3,0.415929
1,4,0.585175
1,5,0.337489
1,6,0.326722
1,7,0.405402
1,8,0.372144
1,9,0.3118
1,10,0.382281
1,11,0.355512
1,12,0.417766
1,13,0.414172
1,14,0.376752
1,15,0.371301
2,3,0.682774
2,4,0.384068
2,5,0.715752
2,6,0.515128
2,7,0.384234
2,8,0.644287
2,9,0.673371
2,10,0.670249
2,11,0.595904
2,12,0.602103
2,13,0.361871
2,14,0.992969
2,15,0.688231
3,4,0.500765
3,5,0.747995
3,6,0.568124
3,7,0.493133
3,8,0.8273
3,9,0.620975
3,10,0.781117
3,11,0.551882
3,12,0.771185
3,13,0.511952
3,14,0.683508
3,15,0.776378
4,5,0.398872
4,6,0.285744
4,7,0.409166
4,8,0.453959
4,9,0.323294
4,10,0.457926
4,11,0.530227
4,12,0.490834
4,13,0.422176
4,14,0.376787
4,15,0.457313
5,6,0.565778
5,7,0.480774
5,8,0.694487
5,9,0.690281
5,10,0.730884
5,11,0.622954
5,12,0.629162
5,13,0.39819
5,14,0.720247
5,15,0.74484
6,7,0.484813
6,8,0.560966
6,9,0.495365
6,10,0.530807
6,11,0.397955
6,12,0.570295
6,13,0.393398
6,14,0.516801
6,15,0.547614
7,8,0.452204
7,9,0.334245
7,10,0.489534
7,11,0.38333
7,12,0.532881
7,13,0.526669
7,14,0.386527
7,15,0.463118
8,9,0.629147
8,10,0.83252
8,11,0.524665
8,12,0.708102
8,13,0.430748
8,14,0.644768
8,15,0.908487
9,10,0.600863
9,11,0.72009
9,12,0.490303
9,13,0.263081
9,14,0.682737
9,15,0.641947
10,11,0.54263
10,12,0.788591
10,13,0.450817
10,14,0.671238
10,15,0.899105
11,12,0.46195
11,13,0.364585
11,14,0.595849
11,15,0.537541
12,13,0.666657
12,14,0.596797
12,15,0.73929
13,14,0.362851
13,15,0.423358
14,15,0.696884
