abstract_i,abstract_j,cosine_similarity
0,1,0.043235
0,2,-0.027443
0,3,-0.053801
0,4,-0.017647
0,5,-0.069034
0,6,0.107996
0,7,0.332706
0,8,0.159283
0,9,-0.036969
0,10,-0.104285
0,11,0.584477
0,12,0.159927
0,13,0.618841
0,14,0.667312
0,15,0.572439
0,16,-0.050236
0,17,0.498138
0,18,-0.099057
0,19,-0.091596
0,20,0.648125
0,21,0.155973
0,22,0.608578
1,2,-0.007785
1,3,0.032744
1,4,-0.107042
1,5,-0.00858
1,6,0.028605
1,7,0.068782
1,8,0.039695
1,9,0.188038
1,10,-0.01959
1,11,0.050996
1,12,0.112028
1,13,-0.006489
1,14,0.106557
1,15,-0.026426
1,16,-0.136776
1,17,0.027642
1,18,-0.070807
1,19,-0.091155
1,20,0.070493
1,21,0.020917
1,22,0.027623
2,3,0.253136
2,4,0.468237
2,5,0.312948
2,6,-0.043534
2,7,-0.043696
2,8,-0.080753
2,9,-0.012196
2,10,0.38091
2,11,0.019046
2,12,-0.054938
2,13,-0.028906
2,14,0.002648
2,15,-0.000298
2,16,0.511452
2,17,-0.030847
2,18,0.248042
2,19,0.39028
2,20,0.008215
2,21,0.106699
2,22,0.025041
3,4,0.389533
3,5,0.215637
3,6,0.008306
3,7,0.0009
3,8,-0.043498
3,9,0.085565
3,10,0.295161
3,11,-0.108435
3,12,-0.014439
3,13,-0.061057
3,14,-0.077296
3,15,-0.117592
3,16,0.306426
3,17,-0.129111
3,18,0.125874
3,19,0.221472
3,20,-0.076053
3,21,0.12636
3,22,-0.092017
4,5,0.414631
4,6,0.018742
4,7,0.033856
4,8,-0.054333
4,9,0.025925
4,10,0.568685
4,11,-0.02428
4,12,-0.035157
4,13,-0.02051
4,14,-0.061688
4,15,-0.052879
4,16,0.8125
4,17,-0.083036
4,18,0.303752
4,19,0.601189
4,20,-0.064555
4,21,0.086353
4,22,-0.039332
5,6,0.072512
5,7,0.003493
5,8,-0.060221
5,9,-0.078415
5,10,0.467022
5,11,-0.054424
5,12,-0.097772
5,13,-0.060561
5,14,-0.066606
5,15,-0.061348
5,16,0.397194
5,17,-0.101845
5,18,0.365911
5,19,0.456433
5,20,-0.068054
5,21,0.056744
5,22,-0.075494
6,7,0.028711
6,8,0.035826
6,9,0.13547
6,10,0.053719
6,11,-0.007695
6,12,0.035131
6,13,0.042505
6,14,0.035859
6,15,0.051002
6,16,-0.033708
6,17,0.072165
6,18,-0.0136
6,19,0.017066
6,20,0.050998
6,21,0.092189
6,22,-0.012191
7,8,0.092619
7,9,0.051704
7,10,-0.006879
7,11,0.20714
7,12,0.133973
7,13,0.253185
7,14,0.524377
7,15,0.226159
7,16,0.010875
7,17,0.179039
7,18,-0.035537
7,19,-0.032161
7,20,0.266404
7,21,0.122849
7,22,0.183122
8,9,0.005459
8,10,-0.015042
8,11,0.144775
8,12,0.714317
8,13,0.083906
8,14,0.144777
8,15,0.208752
8,16,-0.048442
8,17,0.2536
8,18,-0.114277
8,19,-0.024812
8,20,0.077338
8,21,0.087285
8,22,0.165435
9,10,0.052349
9,11,-0.087147
9,12,0.088194
9,13,-0.080894
9,14,-0.042739
9,15,-0.03064
9,16,-0.017012
9,17,0.000133
9,18,-0.010855
9,19,0.012036
9,20,-0.061845
9,21,-0.045844
9,22,-0.046459
10,11,-0.016395
10,12,-0.015929
10,13,-0.018721
10,14,-0.062213
10,15,-0.012818
10,16,0.492966
10,17,-0.061893
10,18,0.134385
10,19,0.377395
10,20,-0.053452
10,21,0.189657
10,22,-0.052112
11,12,0.072157
11,13,0.64961
11,14,0.519012
11,15,0.802754
11,16,-0.038636
11,17,0.515102
11,18,-0.073701
11,19,-0.116928
11,20,0.531492
11,21,0.159087
11,22,0.776729
12,13,0.062461
12,14,0.09271
12,15,0.129727
12,16,-0.00747
12,17,0.239199
12,18,-0.112894
12,19,-0.026316
12,20,0.062628
12,21,0.029743
12,22,0.080734
13,14,0.487392
13,15,0.617132
13,16,-0.033657
13,17,0.529661
13,18,-0.072523
13,19,-0.070201
13,20,0.481112
13,21,0.202174
13,22,0.650417
14,15,0.477197
14,16,-0.06552
14,17,0.390629
14,18,-0.065436
14,19,-0.107095
14,20,0.481434
14,21,0.081247
14,22,0.454888
15,16,-0.075092
15,17,0.56383
15,18,-0.135465
15,19,-0.155002
15,20,0.506141
15,21,0.192115
15,22,0.758016
16,17,-0.089588
16,18,0.348092
16,19,0.593447
16,20,-0.09932
16,21,0.103422
16,22,-0.039761
17,18,-0.148849
17,19,-0.130023
17,20,0.514683
17,21,0.176371
17,22,0.564288
18,19,0.370813
18,20,-0.056656
18,21,-0.033042
18,22,-0.046536
19,20,-0.055216
19,21,0.049842
19,22,-0.108718
20,21,0.143189
20,22,0.561477
21,22,0.208837
