title_i,title_j,cosine_similarity
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,0.319208
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",From waste incineration by-products to functional materials: a “Chimie douce” route to VOCs mineral adsorbents,0.229097
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",Using Combination of X-Ray 3D Tomography and FEG-SEM to Perform 3D-FIB Reconstruction in Identified Area to Investigate Effect of Mining Contamination on Scallop Shell Growth,0.698114
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",Spark plasma sintering of polymer-derived amorphous SiBCN powders,-0.12399
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",Electron microscopy characterization of king scallop (Pecten maximus) shells from low-voltage SEM to 3D-EBSD reconstruction,0.814294
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",Investigating temperature influences on shell growth and microstructural variations in bay scallops: insights from multiscale microscopy,0.752097
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",Interfaces at the micron scale: general discussion,0.076103
"Combined crystallographic study of king scallop (<i>Pecten maximus</i>) shells using SEM, EBSD and Raman spectroscopy",Connecting length scales: general discussion,0.402986
Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,From waste incineration by-products to functional materials: a “Chimie douce” route to VOCs mineral adsorbents,0.183461
Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,Using Combination of X-Ray 3D Tomography and FEG-SEM to Perform 3D-FIB Reconstruction in Identified Area to Investigate Effect of Mining Contamination on Scallop Shell Growth,0.448795
Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,Spark plasma sintering of polymer-derived amorphous SiBCN powders,-0.06969
Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,Electron microscopy characterization of king scallop (Pecten maximus) shells from low-voltage SEM to 3D-EBSD reconstruction,0.373202
Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,Investigating temperature influences on shell growth and microstructural variations in bay scallops: insights from multiscale microscopy,0.178572
Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,Interfaces at the micron scale: general discussion,0.102629
Twinning and Crack Detection in a Layered Cathode Battery Material with High Resolution FESEM and Low Voltage STEM,Connecting length scales: general discussion,0.224361
From waste incineration by-products to functional materials: a “Chimie douce” route to VOCs mineral adsorbents,Using Combination of X-Ray 3D Tomography and FEG-SEM to Perform 3D-FIB Reconstruction in Identified Area to Investigate Effect of Mining Contamination on Scallop Shell Growth,0.233012
