title_i,title_j,cosine_similarity
Stereotactic body radiation therapy for abdominal oligometastases: a biological and clinical review,A WeChat-based nursing intervention program improves the postoperative rehabilitation of breast cancer patients: results from a randomized controlled trial,0.246605
Stereotactic body radiation therapy for abdominal oligometastases: a biological and clinical review,Quality of life for elderly breast cancer patients: a new regard,0.229582
Stereotactic body radiation therapy for abdominal oligometastases: a biological and clinical review,Retroperitoneal Lipoblastoma With Cord Compression in an Adult Patient: A Case Report,0.430536
Stereotactic body radiation therapy for abdominal oligometastases: a biological and clinical review,Characteristics and Prognostic Markers of Aggressive Subtypes of Thyroid Cancer: A Retrospective Study,0.322821
Stereotactic body radiation therapy for abdominal oligometastases: a biological and clinical review,Can MicroRNAs be Revolutionary Biomarkers in Oligometastatic Paradigm?,0.476096
Stereotactic body radiation therapy for abdominal oligometastases: a biological and clinical review,12210 Prognostic Determinants of Aggressive Histology Papillary Thyroid Carcinoma: A Pathway to Personalized Treatment,0.290546
A WeChat-based nursing intervention program improves the postoperative rehabilitation of breast cancer patients: results from a randomized controlled trial,Quality of life for elderly breast cancer patients: a new regard,0.244158
A WeChat-based nursing intervention program improves the postoperative rehabilitation of breast cancer patients: results from a randomized controlled trial,Retroperitoneal Lipoblastoma With Cord Compression in an Adult Patient: A Case Report,0.161968
A WeChat-based nursing intervention program improves the postoperative rehabilitation of breast cancer patients: results from a randomized controlled trial,Characteristics and Prognostic Markers of Aggressive Subtypes of Thyroid Cancer: A Retrospective Study,0.291896
A WeChat-based nursing intervention program improves the postoperative rehabilitation of breast cancer patients: results from a randomized controlled trial,Can MicroRNAs be Revolutionary Biomarkers in Oligometastatic Paradigm?,0.264257
A WeChat-based nursing intervention program improves the postoperative rehabilitation of breast cancer patients: results from a randomized controlled trial,12210 Prognostic Determinants of Aggressive Histology Papillary Thyroid Carcinoma: A Pathway to Personalized Treatment,0.210577
Quality of life for elderly breast cancer patients: a new regard,Retroperitoneal Lipoblastoma With Cord Compression in an Adult Patient: A Case Report,0.122807
Quality of life for elderly breast cancer patients: a new regard,Characteristics and Prognostic Markers of Aggressive Subtypes of Thyroid Cancer: A Retrospective Study,0.404643
Quality of life for elderly breast cancer patients: a new regard,Can MicroRNAs be Revolutionary Biomarkers in Oligometastatic Paradigm?,0.286827
Quality of life for elderly breast cancer patients: a new regard,12210 Prognostic Determinants of Aggressive Histology Papillary Thyroid Carcinoma: A Pathway to Personalized Treatment,0.198505
Retroperitoneal Lipoblastoma With Cord Compression in an Adult Patient: A Case Report,Characteristics and Prognostic Markers of Aggressive Subtypes of Thyroid Cancer: A Retrospective Study,0.209068
Retroperitoneal Lipoblastoma With Cord Compression in an Adult Patient: A Case Report,Can MicroRNAs be Revolutionary Biomarkers in Oligometastatic Paradigm?,0.393741
Retroperitoneal Lipoblastoma With Cord Compression in an Adult Patient: A Case Report,12210 Prognostic Determinants of Aggressive Histology Papillary Thyroid Carcinoma: A Pathway to Personalized Treatment,0.224055
Characteristics and Prognostic Markers of Aggressive Subtypes of Thyroid Cancer: A Retrospective Study,Can MicroRNAs be Revolutionary Biomarkers in Oligometastatic Paradigm?,0.323647
Characteristics and Prognostic Markers of Aggressive Subtypes of Thyroid Cancer: A Retrospective Study,12210 Prognostic Determinants of Aggressive Histology Papillary Thyroid Carcinoma: A Pathway to Personalized Treatment,0.517777
Can MicroRNAs be Revolutionary Biomarkers in Oligometastatic Paradigm?,12210 Prognostic Determinants of Aggressive Histology Papillary Thyroid Carcinoma: A Pathway to Personalized Treatment,0.277269
