abstract_i,abstract_j,cosine_similarity
0,1,0.123587
0,2,0.140013
0,3,0.089722
0,4,0.276684
0,5,0.370084
0,6,0.305715
0,7,0.323264
0,8,0.08122
0,9,0.125601
0,10,0.134266
0,11,0.257264
0,12,0.238209
0,13,0.080027
0,14,0.316216
0,15,0.350197
0,16,0.389255
0,17,0.179761
0,18,0.18238
0,19,0.147063
0,20,0.110318
0,21,0.167677
0,22,0.355434
0,23,0.326549
0,24,0.088863
0,25,0.317093
0,26,0.086091
0,27,0.022225
0,28,0.358461
0,29,0.30622
0,30,0.142317
0,31,0.093121
0,32,0.452165
0,33,0.338279
0,34,0.146417
0,35,0.114526
0,36,0.415427
0,37,0.088682
0,38,0.113649
0,39,0.089978
0,40,0.20635
0,41,0.208925
0,42,0.173155
0,43,0.207358
0,44,0.385202
0,45,0.085422
0,46,0.39684
1,2,0.436382
1,3,0.675937
1,4,0.50563
1,5,0.243572
1,6,0.261182
1,7,0.225278
1,8,0.444921
1,9,0.327105
1,10,0.378597
1,11,0.384435
1,12,0.296756
1,13,0.590474
1,14,0.352425
1,15,0.115819
1,16,0.339417
1,17,0.397677
1,18,0.401501
1,19,0.412127
1,20,0.672053
1,21,0.373924
1,22,0.354485
1,23,0.446643
1,24,0.412698
1,25,0.500463
1,26,0.773081
1,27,-0.009269
1,28,0.265136
1,29,0.426802
1,30,0.345419
1,31,0.388041
1,32,0.272426
1,33,0.308793
1,34,0.400654
1,35,0.16792
1,36,0.349621
1,37,0.791218
1,38,0.266846
1,39,0.536995
1,40,0.741576
1,41,0.513137
1,42,0.223975
1,43,0.625471
1,44,0.35267
1,45,0.573223
1,46,0.23223
2,3,0.289742
2,4,0.404103
2,5,0.253605
2,6,0.333259
2,7,0.201851
2,8,0.603536
2,9,0.451804
2,10,0.302314
2,11,0.297233
2,12,0.297717
2,13,0.269
2,14,0.314743
2,15,0.146475
2,16,0.298704
2,17,0.299448
2,18,0.403805
2,19,0.834816
2,20,0.370678
2,21,0.537247
2,22,0.274396
2,23,0.346331
2,24,0.378244
2,25,0.405993
2,26,0.327662
2,27,0.03137
2,28,0.299645
2,29,0.215374
2,30,0.422178
2,31,0.275559
2,32,0.242142
2,33,0.237722
2,34,0.631638
2,35,0.507422
2,36,0.347807
2,37,0.426214
2,38,0.407343
2,39,0.265953
2,40,0.468833
2,41,0.41385
2,42,0.2275
2,43,0.311314
2,44,0.358691
2,45,0.390252
2,46,0.192773
3,4,0.506284
3,5,0.274631
3,6,0.195187
3,7,0.222022
3,8,0.277013
3,9,0.277204
3,10,0.378138
3,11,0.444494
3,12,0.355163
3,13,0.567425
3,14,0.296682
3,15,0.169194
3,16,0.260913
3,17,0.360647
3,18,0.25987
3,19,0.261815
3,20,0.647365
3,21,0.263368
3,22,0.343423
3,23,0.450045
3,24,0.371883
3,25,0.506001
3,26,0.678804
3,27,0.053722
3,28,0.308731
3,29,0.362586
3,30,0.251558
3,31,0.415197
3,32,0.273713
3,33,0.332169
3,34,0.217143
3,35,0.150545
3,36,0.2718
3,37,0.710983
3,38,0.224906
3,39,0.533218
3,40,0.544265
3,41,0.405962
3,42,0.323935
3,43,0.734865
3,44,0.267666
3,45,0.511835
3,46,0.219306
4,5,0.380594
4,6,0.412414
4,7,0.307003
4,8,0.322289
4,9,0.397458
4,10,0.392149
4,11,0.432206
4,12,0.464854
4,13,0.39533
4,14,0.454688
4,15,0.247733
4,16,0.425552
4,17,0.505261
4,18,0.340942
4,19,0.367898
4,20,0.454854
4,21,0.387913
4,22,0.484082
4,23,0.643639
4,24,0.462812
4,25,0.913098
4,26,0.487192
4,27,0.08013
4,28,0.403482
4,29,0.417616
4,30,0.349328
4,31,0.45331
4,32,0.474664
4,33,0.500353
4,34,0.324242
4,35,0.280986
4,36,0.455231
4,37,0.48645
4,38,0.343481
4,39,0.4466
4,40,0.513538
4,41,0.580193
4,42,0.413458
4,43,0.503971
4,44,0.441794
4,45,0.370812
4,46,0.327596
5,6,0.371698
5,7,0.495472
5,8,0.092906
5,9,0.219177
5,10,0.241721
5,11,0.424468
5,12,0.371041
5,13,0.196186
5,14,0.385558
5,15,0.361377
5,16,0.443869
5,17,0.278332
5,18,0.204362
5,19,0.256544
5,20,0.293264
5,21,0.186408
5,22,0.604442
5,23,0.323136
5,24,0.199168
5,25,0.39007
5,26,0.200347
5,27,0.010097
5,28,0.715657
5,29,0.410257
5,30,0.056653
5,31,0.150427
5,32,0.406345
5,33,0.418927
5,34,0.199968
5,35,0.125742
5,36,0.542601
5,37,0.160552
5,38,0.128786
5,39,0.278312
5,40,0.317759
5,41,0.165032
5,42,0.333627
5,43,0.397555
5,44,0.583127
5,45,0.236066
5,46,0.482456
6,7,0.27333
6,8,0.263654
6,9,0.358123
6,10,0.480052
6,11,0.38231
6,12,0.451563
6,13,0.258303
6,14,0.493042
6,15,0.270163
6,16,0.48505
6,17,0.390626
6,18,0.347827
6,19,0.254683
6,20,0.264721
6,21,0.326761
6,22,0.615918
6,23,0.398386
6,24,0.324124
6,25,0.45711
6,26,0.270897
6,27,-0.024045
6,28,0.384922
6,29,0.403182
6,30,0.268715
6,31,0.295582
6,32,0.511311
6,33,0.422591
6,34,0.348156
6,35,0.358435
6,36,0.584716
6,37,0.193226
6,38,0.362892
6,39,0.308367
6,40,0.312211
6,41,0.347505
6,42,0.351888
6,43,0.332611
6,44,0.506084
6,45,0.232987
6,46,0.254243
7,8,0.088035
7,9,0.225163
7,10,0.140746
7,11,0.403244
7,12,0.392669
7,13,0.154931
7,14,0.337113
7,15,0.435337
7,16,0.3904
7,17,0.171354
7,18,0.12771
7,19,0.247535
7,20,0.245911
7,21,0.188926
7,22,0.340194
7,23,0.286999
7,24,0.145111
7,25,0.331893
7,26,0.185449
7,27,-0.049651
7,28,0.449482
