title_i,title_j,cosine_similarity
Gold−Sulfur Bonding in 2D and 3D Self-Assembled Monolayers:  XPS Characterization,Surface and size effects on the electronic states of small metallic clusters: a model calculation,0.409384
Gold−Sulfur Bonding in 2D and 3D Self-Assembled Monolayers:  XPS Characterization,Adaptation of the molecular-orbital method to study the crystalline structure and shape of a monovalent metal: Application to lithium,0.410731
Gold−Sulfur Bonding in 2D and 3D Self-Assembled Monolayers:  XPS Characterization,Preliminary results of a theoretical <i>ab initio</i> model study of adsorption on ionic crystals,0.470014
Gold−Sulfur Bonding in 2D and 3D Self-Assembled Monolayers:  XPS Characterization,Structure et propriétés électroniques de très petits agrégats de lithium dans une matrice de MgO,0.274212
Gold−Sulfur Bonding in 2D and 3D Self-Assembled Monolayers:  XPS Characterization,GEOMETRICAL RELAXATION OF MODEL METALLIC CLUSTERS,0.243129
Surface and size effects on the electronic states of small metallic clusters: a model calculation,Adaptation of the molecular-orbital method to study the crystalline structure and shape of a monovalent metal: Application to lithium,0.538159
Surface and size effects on the electronic states of small metallic clusters: a model calculation,Preliminary results of a theoretical <i>ab initio</i> model study of adsorption on ionic crystals,0.528616
Surface and size effects on the electronic states of small metallic clusters: a model calculation,Structure et propriétés électroniques de très petits agrégats de lithium dans une matrice de MgO,0.414669
Surface and size effects on the electronic states of small metallic clusters: a model calculation,GEOMETRICAL RELAXATION OF MODEL METALLIC CLUSTERS,0.385429
Adaptation of the molecular-orbital method to study the crystalline structure and shape of a monovalent metal: Application to lithium,Preliminary results of a theoretical <i>ab initio</i> model study of adsorption on ionic crystals,0.650781
Adaptation of the molecular-orbital method to study the crystalline structure and shape of a monovalent metal: Application to lithium,Structure et propriétés électroniques de très petits agrégats de lithium dans une matrice de MgO,0.63902
Adaptation of the molecular-orbital method to study the crystalline structure and shape of a monovalent metal: Application to lithium,GEOMETRICAL RELAXATION OF MODEL METALLIC CLUSTERS,0.427329
Preliminary results of a theoretical <i>ab initio</i> model study of adsorption on ionic crystals,Structure et propriétés électroniques de très petits agrégats de lithium dans une matrice de MgO,0.560458
Preliminary results of a theoretical <i>ab initio</i> model study of adsorption on ionic crystals,GEOMETRICAL RELAXATION OF MODEL METALLIC CLUSTERS,0.372247
Structure et propriétés électroniques de très petits agrégats de lithium dans une matrice de MgO,GEOMETRICAL RELAXATION OF MODEL METALLIC CLUSTERS,0.203003
