abstract_i,abstract_j,cosine_similarity
0,1,0.283538
0,2,0.126626
0,3,0.24943
0,4,0.140917
0,5,0.152296
0,6,0.16949
0,7,0.002903
0,8,-0.001973
0,9,0.210501
0,10,0.04373
0,11,0.01894
0,12,0.135634
0,13,0.310002
0,14,0.24579
0,15,0.099768
0,16,0.023287
0,17,0.14568
0,18,0.267529
0,19,-0.004828
0,20,0.162133
1,2,0.405142
1,3,0.904088
1,4,0.540536
1,5,0.705568
1,6,0.722118
1,7,0.565429
1,8,0.485305
1,9,0.855615
1,10,0.466676
1,11,0.549468
1,12,0.509244
1,13,0.81471
1,14,0.907168
1,15,0.50678
1,16,0.546345
1,17,0.830187
1,18,0.756454
1,19,0.584736
1,20,0.402308
2,3,0.444856
2,4,0.522369
2,5,0.464131
2,6,0.443391
2,7,0.437952
2,8,0.336548
2,9,0.363268
2,10,0.323288
2,11,0.447184
2,12,0.466152
2,13,0.391133
2,14,0.454099
2,15,0.503195
2,16,0.452588
2,17,0.395515
2,18,0.362951
2,19,0.342081
2,20,0.90073
3,4,0.570596
3,5,0.751278
3,6,0.75884
3,7,0.665873
3,8,0.592731
3,9,0.863264
3,10,0.560688
3,11,0.631781
3,12,0.575443
3,13,0.787161
3,14,0.998633
3,15,0.601738
3,16,0.638277
3,17,0.870552
3,18,0.760531
3,19,0.571613
3,20,0.476951
4,5,0.554715
4,6,0.572012
4,7,0.598263
4,8,0.458451
4,9,0.444561
4,10,0.47477
4,11,0.538567
4,12,0.602597
4,13,0.539123
4,14,0.576751
4,15,0.568633
4,16,0.556145
4,17,0.564972
4,18,0.493965
4,19,0.447655
4,20,0.530431
5,6,0.933185
5,7,0.802703
5,8,0.75389
5,9,0.72832
5,10,0.66151
5,11,0.744339
5,12,0.619328
5,13,0.616055
5,14,0.756788
5,15,0.757725
5,16,0.747477
5,17,0.766378
5,18,0.600455
5,19,0.538234
5,20,0.505898
6,7,0.829179
6,8,0.751304
6,9,0.729276
6,10,0.688394
6,11,0.73868
6,12,0.627991
6,13,0.676641
6,14,0.761298
6,15,0.773697
6,16,0.7513
6,17,0.786298
6,18,0.627263
6,19,0.551436
6,20,0.49768
7,8,0.852183
7,9,0.606142
7,10,0.780185
7,11,0.784148
7,12,0.681671
7,13,0.554581
7,14,0.667653
7,15,0.828854
7,16,0.878399
7,17,0.739002
7,18,0.554943
7,19,0.431075
7,20,0.481829
8,9,0.583523
8,10,0.716469
8,11,0.693113
8,12,0.581712
8,13,0.434636
8,14,0.593728
8,15,0.79667
8,16,0.840533
8,17,0.635434
8,18,0.476313
8,19,0.353641
8,20,0.370621
9,10,0.491601
9,11,0.620328
9,12,0.51338
9,13,0.699437
9,14,0.863716
9,15,0.507544
9,16,0.607699
9,17,0.867004
9,18,0.663599
9,19,0.594807
9,20,0.376291
10,11,0.681265
10,12,0.600337
10,13,0.490465
10,14,0.559288
10,15,0.740527
10,16,0.733242
10,17,0.596921
10,18,0.412916
10,19,0.378662
10,20,0.358917
11,12,0.674347
11,13,0.508878
11,14,0.635052
11,15,0.723575
11,16,0.788414
11,17,0.662837
11,18,0.558489
11,19,0.52879
11,20,0.50323
12,13,0.557513
12,14,0.576467
12,15,0.683437
12,16,0.682923
12,17,0.593674
12,18,0.525012
12,19,0.424816
12,20,0.532659
13,14,0.787652
13,15,0.530151
13,16,0.526167
13,17,0.743726
13,18,0.702946
13,19,0.517375
13,20,0.412015
14,15,0.604889
14,16,0.637992
14,17,0.870917
14,18,0.760979
14,19,0.572722
14,20,0.482765
15,16,0.803492
15,17,0.590829
15,18,0.511707
15,19,0.332226
15,20,0.559131
16,17,0.676914
16,18,0.518771
16,19,0.40198
16,20,0.482198
17,18,0.668914
17,19,0.625798
17,20,0.421084
18,19,0.415112
18,20,0.433526
19,20,0.343281
