title_i,title_j,cosine_similarity
THE COLLISION-INDUCED FUNDAMENTAL AND FIRST OVERTONE BANDS OF OXYGEN AND NITROGEN,Statistical Error in Absorption Experiments,0.2376
THE COLLISION-INDUCED FUNDAMENTAL AND FIRST OVERTONE BANDS OF OXYGEN AND NITROGEN,"Exciton-magnon cross excitation in the mixed substitutional system<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi mathvariant=""normal"">K</mml:mi><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Mn</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn><mml:mo>−</mml:mo><mml:mi>x</mml:mi></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Co</mml:mi></mml:mrow><mml:mrow><mml:mi>x</mml:mi></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">F</mml:mi></mml:mrow><mml:mrow><mml:mn>3</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>",0.159213
THE COLLISION-INDUCED FUNDAMENTAL AND FIRST OVERTONE BANDS OF OXYGEN AND NITROGEN,Capacitance determination of the area thermal expansion of dielectric crystals,0.137587
THE COLLISION-INDUCED FUNDAMENTAL AND FIRST OVERTONE BANDS OF OXYGEN AND NITROGEN,Multiple Magnons in the Absorption Spectra of Thin Slabs of MnF2 and KMnF3,0.365918
THE COLLISION-INDUCED FUNDAMENTAL AND FIRST OVERTONE BANDS OF OXYGEN AND NITROGEN,Far Infrared Spectrum of CsMnF<sub>3</sub> at Low Temperatures,0.190003
THE COLLISION-INDUCED FUNDAMENTAL AND FIRST OVERTONE BANDS OF OXYGEN AND NITROGEN,MULTI-MAGNON ABSORPTION IN MNF2.1. THE FAR INFRARED SPECTRUM.,0.292403
THE COLLISION-INDUCED FUNDAMENTAL AND FIRST OVERTONE BANDS OF OXYGEN AND NITROGEN,MULTIMAGNON ABSORPTION IN MNF2-OPTICAL ABSORPTION SPECTRUM.,0.28918
Statistical Error in Absorption Experiments,"Exciton-magnon cross excitation in the mixed substitutional system<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi mathvariant=""normal"">K</mml:mi><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Mn</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn><mml:mo>−</mml:mo><mml:mi>x</mml:mi></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">Co</mml:mi></mml:mrow><mml:mrow><mml:mi>x</mml:mi></mml:mrow></mml:msub></mml:mrow><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">F</mml:mi></mml:mrow><mml:mrow><mml:mn>3</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>",0.195601
Statistical Error in Absorption Experiments,Capacitance determination of the area thermal expansion of dielectric crystals,0.139097
Statistical Error in Absorption Experiments,Multiple Magnons in the Absorption Spectra of Thin Slabs of MnF2 and KMnF3,0.25444
Statistical Error in Absorption Experiments,Far Infrared Spectrum of CsMnF<sub>3</sub> at Low Temperatures,0.206029
Statistical Error in Absorption Experiments,MULTI-MAGNON ABSORPTION IN MNF2.1. THE FAR INFRARED SPECTRUM.,0.22526
Statistical Error in Absorption Experiments,MULTIMAGNON ABSORPTION IN MNF2-OPTICAL ABSORPTION SPECTRUM.,0.326227
