abstract_i,abstract_j,cosine_similarity
0,1,0.581993
0,2,0.350256
0,3,0.550154
0,4,0.601379
0,5,0.544575
0,6,0.520847
0,7,0.330155
0,8,0.290837
1,2,0.30206
1,3,0.82683
1,4,0.776755
1,5,0.815218
1,6,0.827748
1,7,0.322529
1,8,0.285319
2,3,0.343907
2,4,0.429703
2,5,0.306135
2,6,0.298034
2,7,0.582987
2,8,0.52945
3,4,0.709333
3,5,0.841695
3,6,0.772955
3,7,0.347739
3,8,0.34105
4,5,0.735567
4,6,0.718113
4,7,0.371768
4,8,0.305812
5,6,0.800877
5,7,0.283546
5,8,0.269462
6,7,0.320503
6,8,0.287235
7,8,0.892583
