title_i,title_j,cosine_similarity
Quantum Hall Effect in Hydrogenated Graphene,Flow Conductance of a Single Nanohole,0.264498
Quantum Hall Effect in Hydrogenated Graphene,Hydrodynamics of Superfluid Helium in a Single Nanohole,0.305058
Quantum Hall Effect in Hydrogenated Graphene,Critical flow and dissipation in a quasi–one-dimensional superfluid,0.382488
Quantum Hall Effect in Hydrogenated Graphene,Optical and structural characterization of nitrogen-rich InN: Transition from nearly intrinsic to strongly n-type degenerate with temperature,0.253755
Quantum Hall Effect in Hydrogenated Graphene,McMillan-Rowell Oscillations in a Low Spin-Orbit SNS Semiconducting Junction,0.323192
Flow Conductance of a Single Nanohole,Hydrodynamics of Superfluid Helium in a Single Nanohole,0.652385
Flow Conductance of a Single Nanohole,Critical flow and dissipation in a quasi–one-dimensional superfluid,0.53957
Flow Conductance of a Single Nanohole,Optical and structural characterization of nitrogen-rich InN: Transition from nearly intrinsic to strongly n-type degenerate with temperature,0.177271
Flow Conductance of a Single Nanohole,McMillan-Rowell Oscillations in a Low Spin-Orbit SNS Semiconducting Junction,0.406941
Hydrodynamics of Superfluid Helium in a Single Nanohole,Critical flow and dissipation in a quasi–one-dimensional superfluid,0.721507
Hydrodynamics of Superfluid Helium in a Single Nanohole,Optical and structural characterization of nitrogen-rich InN: Transition from nearly intrinsic to strongly n-type degenerate with temperature,0.15028
Hydrodynamics of Superfluid Helium in a Single Nanohole,McMillan-Rowell Oscillations in a Low Spin-Orbit SNS Semiconducting Junction,0.385101
Critical flow and dissipation in a quasi–one-dimensional superfluid,Optical and structural characterization of nitrogen-rich InN: Transition from nearly intrinsic to strongly n-type degenerate with temperature,0.097613
Critical flow and dissipation in a quasi–one-dimensional superfluid,McMillan-Rowell Oscillations in a Low Spin-Orbit SNS Semiconducting Junction,0.410715
Optical and structural characterization of nitrogen-rich InN: Transition from nearly intrinsic to strongly n-type degenerate with temperature,McMillan-Rowell Oscillations in a Low Spin-Orbit SNS Semiconducting Junction,0.406089
