abstract_i,abstract_j,cosine_similarity
0,1,0.858537
0,2,0.806708
0,3,0.476837
0,4,0.757187
0,5,0.670244
0,6,0.702088
0,7,0.680637
0,8,0.810708
0,9,0.779168
0,10,0.849778
0,11,0.795788
0,12,0.782665
0,13,0.771177
0,14,0.802066
0,15,0.782166
0,16,0.77992
0,17,0.703436
0,18,0.884364
1,2,0.772271
1,3,0.487681
1,4,0.762966
1,5,0.69473
1,6,0.764274
1,7,0.7074
1,8,0.807619
1,9,0.825922
1,10,0.984555
1,11,0.79204
1,12,0.81238
1,13,0.81867
1,14,0.837972
1,15,0.813607
1,16,0.825887
1,17,0.6799
1,18,0.868114
2,3,0.577246
2,4,0.770273
2,5,0.574207
2,6,0.71574
2,7,0.586133
2,8,0.786175
2,9,0.616468
2,10,0.766667
2,11,0.706624
2,12,0.66391
2,13,0.717297
2,14,0.64385
2,15,0.665372
2,16,0.727722
2,17,0.613227
2,18,0.717713
3,4,0.449581
3,5,0.311366
3,6,0.53208
3,7,0.323959
3,8,0.477462
3,9,0.315041
3,10,0.477899
3,11,0.634282
3,12,0.416443
3,13,0.452293
3,14,0.343671
3,15,0.420635
3,16,0.462652
3,17,0.351769
3,18,0.453338
4,5,0.637489
4,6,0.768461
4,7,0.645399
4,8,0.922793
4,9,0.749126
4,10,0.784148
4,11,0.724397
4,12,0.68603
4,13,0.787761
4,14,0.733495
4,15,0.683293
4,16,0.791646
4,17,0.798911
4,18,0.705707
5,6,0.51811
5,7,0.996002
5,8,0.678862
5,9,0.776062
5,10,0.711983
5,11,0.621025
5,12,0.767433
5,13,0.797132
5,14,0.780566
5,15,0.771669
5,16,0.795999
5,17,0.59119
5,18,0.732737
6,7,0.521262
6,8,0.713568
6,9,0.630234
6,10,0.780258
6,11,0.70411
6,12,0.597837
6,13,0.659425
6,14,0.615613
6,15,0.588837
6,16,0.661156
6,17,0.660839
6,18,0.658479
7,8,0.691726
7,9,0.780121
7,10,0.722832
7,11,0.636196
7,12,0.777964
7,13,0.811528
7,14,0.787243
7,15,0.783039
7,16,0.811069
7,17,0.595365
7,18,0.745831
8,9,0.769345
8,10,0.818113
8,11,0.77166
8,12,0.750392
8,13,0.813558
8,14,0.787733
8,15,0.752117
8,16,0.820445
8,17,0.758537
8,18,0.766293
9,10,0.852797
9,11,0.719778
9,12,0.819224
9,13,0.790344
9,14,0.980314
9,15,0.818657
9,16,0.788295
9,17,0.720741
9,18,0.855256
10,11,0.780513
10,12,0.816705
10,13,0.821098
10,14,0.85391
10,15,0.815721
10,16,0.82477
10,17,0.700924
10,18,0.866063
11,12,0.719352
11,13,0.731209
11,14,0.740335
11,15,0.722321
11,16,0.740865
11,17,0.634315
11,18,0.798946
12,13,0.861288
12,14,0.841102
12,15,0.998106
12,16,0.860913
12,17,0.617077
12,18,0.851692
13,14,0.803766
13,15,0.862559
13,16,0.998267
13,17,0.683107
13,18,0.806655
14,15,0.844138
14,16,0.805458
14,17,0.706746
14,18,0.873362
15,16,0.863885
15,17,0.61395
15,18,0.853349
16,17,0.685988
16,18,0.810523
17,18,0.639075
