title_i,title_j,cosine_similarity
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Measurement of dynamic strain using a fiber Bragg grating-based laser sensor system,0.731668
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Improved arrayed waveguide grating-based interrogation system for fiber bragg grating sensors,0.693757
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Interrogating fiber Bragg grating sensors based on single bandpass microwave photonic filtering,0.804135
A Review of Recent Results on Simultaneous Interrogation of Multiple Fiber Bragg Grating-Based Sensors Using Microwave Photonics,Monitoring multiple strain sensors based on all-fiber distributed Bragg reflector lasers and wavelength-to-power mapping,0.638515
Measurement of dynamic strain using a fiber Bragg grating-based laser sensor system,Improved arrayed waveguide grating-based interrogation system for fiber bragg grating sensors,0.792148
Measurement of dynamic strain using a fiber Bragg grating-based laser sensor system,Interrogating fiber Bragg grating sensors based on single bandpass microwave photonic filtering,0.66173
Measurement of dynamic strain using a fiber Bragg grating-based laser sensor system,Monitoring multiple strain sensors based on all-fiber distributed Bragg reflector lasers and wavelength-to-power mapping,0.805401
Improved arrayed waveguide grating-based interrogation system for fiber bragg grating sensors,Interrogating fiber Bragg grating sensors based on single bandpass microwave photonic filtering,0.516929
Improved arrayed waveguide grating-based interrogation system for fiber bragg grating sensors,Monitoring multiple strain sensors based on all-fiber distributed Bragg reflector lasers and wavelength-to-power mapping,0.798778
Interrogating fiber Bragg grating sensors based on single bandpass microwave photonic filtering,Monitoring multiple strain sensors based on all-fiber distributed Bragg reflector lasers and wavelength-to-power mapping,0.520969
