abstract_i,abstract_j,cosine_similarity
0,1,-0.046092
0,2,-0.044535
0,3,0.471164
0,4,0.794541
0,5,0.656637
0,6,0.144084
0,7,0.566061
0,8,0.407998
0,9,0.857491
0,10,0.87862
1,2,0.155822
1,3,-0.059966
1,4,0.014091
1,5,-0.003553
1,6,0.082339
1,7,0.01707
1,8,0.007158
1,9,-0.024067
1,10,-0.009454
2,3,-0.025978
2,4,0.022166
2,5,-0.042652
2,6,-0.026731
2,7,0.058845
2,8,0.072555
2,9,-0.015689
2,10,0.026198
3,4,0.505091
3,5,0.531826
3,6,0.077821
3,7,0.512688
3,8,0.488236
3,9,0.453421
3,10,0.471385
4,5,0.782975
4,6,0.156941
4,7,0.610521
4,8,0.555709
4,9,0.865144
4,10,0.788434
5,6,0.127642
5,7,0.467192
5,8,0.556296
5,9,0.654558
5,10,0.624503
6,7,0.166978
6,8,0.149858
6,9,0.165567
6,10,0.169253
7,8,0.762193
7,9,0.648938
7,10,0.713946
8,9,0.474214
8,10,0.493448
9,10,0.871486
