abstract_i,abstract_j,cosine_similarity
0,1,0.258306
0,2,0.42921
0,3,0.443842
0,4,0.298509
0,5,-0.013586
0,6,0.24416
0,7,0.349882
0,8,0.347141
0,9,0.36229
0,10,-0.019036
0,11,0.571041
0,12,0.864526
0,13,0.344357
1,2,0.353079
1,3,0.23631
1,4,0.305207
1,5,0.189045
1,6,0.669914
1,7,0.789037
1,8,0.257991
1,9,0.292503
1,10,0.094872
1,11,0.380645
1,12,0.248045
1,13,0.241383
2,3,0.500765
2,4,0.747995
2,5,-0.087577
2,6,0.445349
2,7,0.524823
2,8,0.8273
2,9,0.781117
2,10,-0.124817
2,11,0.771185
2,12,0.511952
2,13,0.776378
3,4,0.398872
3,5,0.0082
3,6,0.241943
3,7,0.344532
3,8,0.453959
3,9,0.457926
3,10,0.003217
3,11,0.490834
3,12,0.422176
3,13,0.457313
4,5,-0.107894
4,6,0.371138
4,7,0.379112
4,8,0.694487
4,9,0.730884
4,10,-0.113271
4,11,0.629162
4,12,0.39819
4,13,0.74484
5,6,0.038924
5,7,0.041831
5,8,-0.09253
5,9,-0.099504
5,10,0.719352
5,11,-0.045606
5,12,-0.079419
5,13,-0.077907
6,7,0.76705
6,8,0.379319
6,9,0.352176
6,10,-0.043863
6,11,0.437811
6,12,0.260559
6,13,0.358269
7,8,0.392608
7,9,0.415294
7,10,-0.059416
7,11,0.544984
7,12,0.381738
7,13,0.344831
8,9,0.83252
8,10,-0.081397
8,11,0.708102
8,12,0.430748
8,13,0.908487
9,10,-0.110427
9,11,0.788591
9,12,0.450817
9,13,0.899105
10,11,-0.125728
10,12,-0.094529
10,13,-0.06486
11,12,0.666657
11,13,0.73929
12,13,0.423358
