abstract_i,abstract_j,cosine_similarity
0,1,0.30564
0,2,0.37313
0,3,0.184464
0,4,0.4221
0,5,0.367012
0,6,-0.090051
0,7,0.34856
0,8,0.328998
0,9,0.198243
0,10,0.289497
0,11,0.181691
0,12,0.407657
0,13,0.28611
0,14,0.220428
0,15,0.333965
0,16,0.147457
0,17,0.411591
0,18,0.367509
0,19,0.138906
0,20,0.101174
0,21,0.253071
0,22,0.38983
0,23,0.276733
0,24,0.257314
0,25,0.410219
0,26,0.25666
0,27,0.304343
0,28,0.043174
0,29,0.233831
0,30,0.277806
0,31,0.398715
0,32,0.338028
0,33,0.734214
0,34,0.30486
0,35,0.458658
0,36,0.195074
0,37,0.271773
0,38,0.383386
0,39,0.315141
0,40,0.079189
0,41,0.258085
0,42,0.35304
0,43,0.317431
0,44,0.328202
0,45,0.250853
0,46,-0.009131
0,47,0.29839
0,48,0.205788
0,49,0.447968
0,50,0.417335
0,51,0.15685
0,52,0.365653
0,53,-0.021639
0,54,0.247733
0,55,0.358672
0,56,0.423215
0,57,0.405339
0,58,0.18403
0,59,0.350088
0,60,0.222742
0,61,0.23762
0,62,0.160657
0,63,0.122372
0,64,0.427848
0,65,0.348614
0,66,0.246505
0,67,0.432904
0,68,0.173047
0,69,0.095573
0,70,0.211902
0,71,0.448815
0,72,0.391639
0,73,0.164177
0,74,0.342742
0,75,0.225667
0,76,0.190106
0,77,0.486854
0,78,0.287847
0,79,0.178843
0,80,0.321157
0,81,0.320231
0,82,0.349288
0,83,0.125489
0,84,0.415751
0,85,0.515347
0,86,0.364782
0,87,0.321356
0,88,0.280038
0,89,0.356354
0,90,0.152477
0,91,0.322042
0,92,0.191663
0,93,0.329697
0,94,0.297481
0,95,0.165089
0,96,0.377474
0,97,0.19576
0,98,0.365758
0,99,0.348734
0,100,0.415982
0,101,0.276159
0,102,0.268928
0,103,0.271759
0,104,0.277245
0,105,0.217956
0,106,0.473751
0,107,0.461737
0,108,0.232565
0,109,0.252995
0,110,0.211329
0,111,0.40481
0,112,0.315061
0,113,0.428976
0,114,0.392071
0,115,0.085762
0,116,0.395017
0,117,0.14428
0,118,0.289009
0,119,0.402545
0,120,0.283415
0,121,0.192118
0,122,0.246251
0,123,0.275136
0,124,0.426017
0,125,0.381546
0,126,0.477711
0,127,0.065394
0,128,0.304641
0,129,0.21036
0,130,0.359935
0,131,-0.038716
0,132,0.341211
0,133,0.387619
0,134,0.364955
0,135,0.351952
0,136,0.441673
0,137,0.248271
0,138,0.206466
0,139,0.177982
0,140,0.304417
0,141,0.293559
0,142,0.198518
0,143,0.29924
0,144,0.32939
0,145,0.368932
0,146,0.396971
0,147,0.198447
0,148,0.17552
1,2,0.253518
1,3,0.406377
1,4,0.359849
1,5,0.48383
1,6,-0.00575
1,7,0.40587
1,8,0.290372
1,9,0.383471
1,10,0.374093
1,11,0.365805
1,12,0.384033
1,13,0.478405
1,14,0.427788
1,15,0.402392
1,16,0.21244
1,17,0.203597
1,18,0.249335
1,19,0.404717
1,20,0.290126
1,21,0.199661
1,22,0.31919
1,23,0.334993
1,24,0.232006
1,25,0.305019
1,26,0.400032
1,27,0.389426
1,28,0.074045
1,29,0.418445
1,30,0.420758
1,31,0.379367
1,32,0.420898
1,33,0.31476
1,34,0.341496
1,35,0.402823
1,36,0.329669
1,37,0.372881
1,38,0.376553
1,39,0.430377
1,40,-0.044289
1,41,0.301758
1,42,0.391478
1,43,0.249606
1,44,0.40125
1,45,0.306501
1,46,0.110038
1,47,0.278829
1,48,0.326948
1,49,0.59895
1,50,0.366915
1,51,0.278447
1,52,0.38981
1,53,0.02885
1,54,0.38352
1,55,0.40662
1,56,0.289479
1,57,0.326533
1,58,0.361852
1,59,0.694075
1,60,0.162699
1,61,0.272138
1,62,0.219184
1,63,0.311363
1,64,0.394648
1,65,0.36474
1,66,0.442882
1,67,0.568257
1,68,0.204361
1,69,0.258888
1,70,0.37096
1,71,0.272581
1,72,0.349185
1,73,0.422805
1,74,0.424159
1,75,0.422703
1,76,0.304725
1,77,0.435595
1,78,0.523364
1,79,0.32263
1,80,0.519846
1,81,0.533373
1,82,0.358726
1,83,0.294465
1,84,0.259914
1,85,0.298913
1,86,0.330275
1,87,0.407027
1,88,0.290025
1,89,0.694179
1,90,0.266556
1,91,0.40834
1,92,0.182175
1,93,0.481444
1,94,0.18956
1,95,0.311223
1,96,0.418795
1,97,0.370645
1,98,0.21868
1,99,0.399235
1,100,0.58389
1,101,0.361021
1,102,0.336498
1,103,0.27017
1,104,0.588902
1,105,0.354678
1,106,0.373998
1,107,0.274551
1,108,0.415662
1,109,0.216663
1,110,0.313235
1,111,0.359815
1,112,0.327788
1,113,0.444155
1,114,0.347455
1,115,0.234142
1,116,0.311077
1,117,0.273753
1,118,0.361598
1,119,0.425002
1,120,0.437438
1,121,0.28175
1,122,0.560523
1,123,0.446594
1,124,0.450879
1,125,0.347412
1,126,0.259679
1,127,0.318687
1,128,0.383971
1,129,0.394055
1,130,0.274915
1,131,0.12103
1,132,0.248503
1,133,0.400171
1,134,0.422999
1,135,0.448397
1,136,0.442991
1,137,0.377523
1,138,0.049251
