abstract_i,abstract_j,cosine_similarity
0,1,0.730981
0,2,0.838604
0,3,0.648834
0,4,0.356596
0,5,0.575986
0,6,0.593562
0,7,0.721539
0,8,0.15334
0,9,0.64292
0,10,0.60961
0,11,0.714742
0,12,0.705035
0,13,0.804864
0,14,0.152838
0,15,0.146998
0,16,0.590175
0,17,0.524467
0,18,0.825865
0,19,0.043072
0,20,0.047133
0,21,0.604079
0,22,0.528694
0,23,0.045099
0,24,0.639777
0,25,0.669076
0,26,0.444372
0,27,0.705384
1,2,0.735854
1,3,0.629154
1,4,0.321041
1,5,0.6156
1,6,0.613123
1,7,0.827779
1,8,0.091281
1,9,0.639228
1,10,0.606559
1,11,0.750909
1,12,0.678273
1,13,0.779502
1,14,0.193168
1,15,0.095248
1,16,0.582014
1,17,0.527143
1,18,0.69743
1,19,0.03176
1,20,0.073091
1,21,0.505371
1,22,0.569965
1,23,-0.01058
1,24,0.654586
1,25,0.681464
1,26,0.345685
1,27,0.705666
2,3,0.643663
2,4,0.33664
2,5,0.533416
2,6,0.523771
2,7,0.749379
2,8,0.078517
2,9,0.589633
2,10,0.580893
2,11,0.652719
2,12,0.645407
2,13,0.882551
2,14,0.088214
2,15,0.071582
2,16,0.541569
2,17,0.453826
2,18,0.748621
2,19,0.047085
2,20,0.061506
2,21,0.643298
2,22,0.478924
2,23,-0.007625
2,24,0.615979
2,25,0.635724
2,26,0.473613
2,27,0.682954
3,4,0.252103
3,5,0.46061
3,6,0.593632
3,7,0.648013
3,8,0.13384
3,9,0.497157
3,10,0.824123
3,11,0.52094
3,12,0.542442
3,13,0.630861
3,14,0.170479
3,15,0.125524
3,16,0.572622
3,17,0.419394
3,18,0.560643
3,19,0.050343
3,20,0.033703
3,21,0.53873
3,22,0.557067
3,23,0.039151
3,24,0.809222
3,25,0.471074
3,26,0.33643
3,27,0.739832
4,5,0.375464
4,6,0.280759
4,7,0.332654
4,8,0.009196
4,9,0.379162
4,10,0.298746
4,11,0.407207
4,12,0.398279
4,13,0.413201
4,14,0.118279
4,15,0.008786
4,16,0.368189
4,17,0.340033
4,18,0.432755
4,19,-0.047715
4,20,-0.040721
4,21,0.289655
4,22,0.313251
4,23,-0.06924
4,24,0.236247
4,25,0.375155
4,26,0.260762
4,27,0.289959
5,6,0.44581
5,7,0.561478
5,8,0.107261
5,9,0.660568
5,10,0.476852
5,11,0.608726
5,12,0.698649
5,13,0.546864
5,14,0.256997
5,15,0.121401
5,16,0.391414
5,17,0.860981
5,18,0.553797
5,19,0.006824
5,20,0.02431
5,21,0.329708
5,22,0.449615
5,23,0.022781
5,24,0.515656
5,25,0.762518
5,26,0.166742
5,27,0.564748
6,7,0.686731
6,8,0.186324
6,9,0.518168
6,10,0.53958
6,11,0.723326
6,12,0.573288
6,13,0.579339
6,14,0.105483
6,15,0.189866
6,16,0.776861
6,17,0.480683
6,18,0.578127
6,19,0.092268
6,20,0.096338
6,21,0.421975
6,22,0.820126
6,23,0.05219
6,24,0.552602
6,25,0.538769
6,26,0.225729
6,27,0.835056
7,8,0.232158
7,9,0.586967
7,10,0.62689
7,11,0.757071
7,12,0.647995
7,13,0.803898
7,14,0.093553
7,15,0.234358
7,16,0.676255
7,17,0.47638
7,18,0.696415
7,19,0.076442
7,20,0.134038
7,21,0.579205
7,22,0.591291
7,23,0.020333
7,24,0.638903
7,25,0.680502
7,26,0.417411
7,27,0.786854
8,9,0.098509
8,10,0.184705
8,11,0.156051
8,12,0.076492
8,13,0.103701
8,14,-0.004993
8,15,0.991278
8,16,0.143714
8,17,0.131367
8,18,0.145479
8,19,0.305138
8,20,0.234405
8,21,0.171694
8,22,0.133094
8,23,0.414495
8,24,0.129459
8,25,0.083502
8,26,0.188954
8,27,0.166313
9,10,0.466351
9,11,0.649702
9,12,0.94221
9,13,0.621076
9,14,0.234583
9,15,0.098695
9,16,0.465523
9,17,0.566227
9,18,0.627997
9,19,0.003538
9,20,0.036384
9,21,0.353523
9,22,0.555602
9,23,0.064695
9,24,0.540732
9,25,0.693933
9,26,0.152282
9,27,0.605068
10,11,0.503724
10,12,0.488708
10,13,0.591504
10,14,0.200635
10,15,0.171846
10,16,0.510323
10,17,0.467533
10,18,0.549665
10,19,0.044436
10,20,0.035785
10,21,0.538463
10,22,0.497986
10,23,0.030857
10,24,0.716154
10,25,0.475984
10,26,0.465835
10,27,0.628349
11,12,0.727188
11,13,0.694995
11,14,0.132762
11,15,0.162441
11,16,0.73681
11,17,0.574891
11,18,0.724206
11,19,0.032083
11,20,0.10191
11,21,0.433235
11,22,0.635128
11,23,0.041872
11,24,0.553602
11,25,0.714363
11,26,0.350505
11,27,0.750543
12,13,0.661984
12,14,0.241201
12,15,0.076305
12,16,0.529504
12,17,0.60876
12,18,0.671816
12,19,0.011344
12,20,0.047783
12,21,0.379616
12,22,0.593497
12,23,0.039587
12,24,0.575565
12,25,0.747822
12,26,0.166037
12,27,0.674189
13,14,0.122974
13,15,0.099056
13,16,0.612104
13,17,0.478549
13,18,0.785821
13,19,-0.017096
13,20,0.026913
13,21,0.675031
13,22,0.491277
13,23,-0.002147
13,24,0.621092
13,25,0.642628
13,26,0.453444
13,27,0.689594
14,15,0.004159
14,16,0.09905
14,17,0.320963
14,18,0.153545
14,19,-0.012195
14,20,-0.067942
14,21,0.104181
14,22,0.189052
14,23,-0.018663
14,24,0.131452
14,25,0.203322
14,26,-0.019612
14,27,0.115009
15,16,0.146048
15,17,0.143793
15,18,0.148483
15,19,0.297873
15,20,0.228195
15,21,0.159364
15,22,0.136376
15,23,0.406164
15,24,0.116064
15,25,0.088809
15,26,0.169242
15,27,0.172756
16,17,0.404051
16,18,0.632629
16,19,0.029244
16,20,0.062677
16,21,0.387722
16,22,0.668798
16,23,0.014431
16,24,0.518482
16,25,0.50794
16,26,0.341041
16,27,0.755435
17,18,0.51525
17,19,0.016672
17,20,-0.003811
17,21,0.30256
17,22,0.465809
17,23,0.040942
17,24,0.462932
17,25,0.697286
17,26,0.14735
17,27,0.526407
18,19,0.04722
18,20,0.034998
18,21,0.49383
18,22,0.524314
18,23,-0.005043
18,24,0.524977
18,25,0.654526
18,26,0.383298
18,27,0.671608
19,20,0.472622
19,21,0.069576
19,22,0.058038
19,23,0.035131
19,24,0.050529
19,25,-0.033932
19,26,0.012602
19,27,0.036863
20,21,0.010665
20,22,0.08474
20,23,0.125329
20,24,0.082182
20,25,-0.007831
20,26,0.056926
20,27,0.081136
21,22,0.340892
21,23,0.036006
21,24,0.531244
21,25,0.386561
21,26,0.479423
21,27,0.448599
22,23,0.035607
22,24,0.500813
22,25,0.572111
22,26,0.145186
22,27,0.736652
23,24,0.053382
23,25,0.010494
23,26,-0.001476
23,27,0.049254
24,25,0.547463
24,26,0.389495
24,27,0.62264
25,26,0.232138
25,27,0.653425
26,27,0.298009
