title_i,title_j,cosine_similarity
Wet-etching of structures with straight facets and adjustable taper into glass substrates,Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,0.275998
Wet-etching of structures with straight facets and adjustable taper into glass substrates,Hybridization of III-V semiconductor membranes onto ion-exchanged waveguides,0.323704
Wet-etching of structures with straight facets and adjustable taper into glass substrates,Multiaxial beam combiner for optical coherence tomography,0.281608
Wet-etching of structures with straight facets and adjustable taper into glass substrates,An intelligent fiber sensor for smart structures,0.078218
Wet-etching of structures with straight facets and adjustable taper into glass substrates,Fabrication of Regular and Bi-Level Grating Fiber Couplers using Thermal Scanning Probe Lithography,0.330919
Wet-etching of structures with straight facets and adjustable taper into glass substrates,Hybridized optical amplifiers based on III-V heterostructures and ion-exchanged waveguides,0.282114
Wet-etching of structures with straight facets and adjustable taper into glass substrates,Nano-patterning of single- and bi-level surface-relief gratings using a commercial thermal scanning probe lithography system,0.368312
Wet-etching of structures with straight facets and adjustable taper into glass substrates,Multiaxial beam combiner in integrated optics for optical coherence tomography applications,0.233456
Wet-etching of structures with straight facets and adjustable taper into glass substrates,How Do You Pay for It? Financing Situation at McGill Nanotools Microfab,0.319986
Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,Hybridization of III-V semiconductor membranes onto ion-exchanged waveguides,0.227269
Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,Multiaxial beam combiner for optical coherence tomography,0.029209
Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,An intelligent fiber sensor for smart structures,0.104503
Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,Fabrication of Regular and Bi-Level Grating Fiber Couplers using Thermal Scanning Probe Lithography,0.106189
Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,Hybridized optical amplifiers based on III-V heterostructures and ion-exchanged waveguides,0.147799
Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,Nano-patterning of single- and bi-level surface-relief gratings using a commercial thermal scanning probe lithography system,0.117715
Large area graphene ion sensitive field effect transistors with tantalum pentoxide sensing layers for pH measurement at the Nernstian limit,Multiaxial beam combiner in integrated optics for optical coherence tomography applications,0.079864
