title_i,title_j,cosine_similarity
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,0.80145
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,Constraining twin stars with cold neutron star cooling data,0.635064
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,0.706577
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,Quantum “Ghosts”,0.186991
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,Fabricação de sensores microfluídicos utilizando uma impressora 3D,-0.023944
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,A quark-gluon plasma inspired model of the universe: Introduction and Inflation,0.348094
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,0.711928
Constraining the Dense Matter Equation of State with New NICER Mass–Radius Measurements and New Chiral Effective Field Theory Inputs,Equation-of-state-informed pulse profile modeling,0.355154
A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,Constraining twin stars with cold neutron star cooling data,0.542047
A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,0.597809
A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,Quantum “Ghosts”,0.047733
A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,Fabricação de sensores microfluídicos utilizando uma impressora 3D,-0.015141
A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,A quark-gluon plasma inspired model of the universe: Introduction and Inflation,0.192257
A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,0.588579
A NICER View of the 1.4 <i>M</i> <sub>⊙</sub> Edge-on Pulsar PSR J0614-3329,Equation-of-state-informed pulse profile modeling,0.273609
Constraining twin stars with cold neutron star cooling data,Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,0.788521
Constraining twin stars with cold neutron star cooling data,Quantum “Ghosts”,0.205047
Constraining twin stars with cold neutron star cooling data,Fabricação de sensores microfluídicos utilizando uma impressora 3D,-0.083543
Constraining twin stars with cold neutron star cooling data,A quark-gluon plasma inspired model of the universe: Introduction and Inflation,0.381929
Constraining twin stars with cold neutron star cooling data,Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,0.800586
Constraining twin stars with cold neutron star cooling data,Equation-of-state-informed pulse profile modeling,0.138425
Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,Quantum “Ghosts”,0.11902
Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,Fabricação de sensores microfluídicos utilizando uma impressora 3D,-0.017482
Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,A quark-gluon plasma inspired model of the universe: Introduction and Inflation,0.385852
Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,0.909712
Fast Neutrino Cooling in the Accreting Neutron Star MXB 1659-29,Equation-of-state-informed pulse profile modeling,0.17685
Quantum “Ghosts”,Fabricação de sensores microfluídicos utilizando uma impressora 3D,-0.000581
Quantum “Ghosts”,A quark-gluon plasma inspired model of the universe: Introduction and Inflation,0.232609
Quantum “Ghosts”,Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,0.172688
Quantum “Ghosts”,Equation-of-state-informed pulse profile modeling,0.225096
Fabricação de sensores microfluídicos utilizando uma impressora 3D,A quark-gluon plasma inspired model of the universe: Introduction and Inflation,-8.4e-05
Fabricação de sensores microfluídicos utilizando uma impressora 3D,Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,0.000183
Fabricação de sensores microfluídicos utilizando uma impressora 3D,Equation-of-state-informed pulse profile modeling,-0.03648
A quark-gluon plasma inspired model of the universe: Introduction and Inflation,Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,0.402137
A quark-gluon plasma inspired model of the universe: Introduction and Inflation,Equation-of-state-informed pulse profile modeling,0.058113
Probing dense matter physics with transiently-accreting neutron stars: the case of source MXB 1659-29,Equation-of-state-informed pulse profile modeling,0.227499
