abstract_i,abstract_j,cosine_similarity
0,1,0.320116
0,2,0.493013
0,3,0.550736
0,4,0.351148
0,5,0.489857
0,6,0.379138
0,7,0.653563
0,8,0.355054
0,9,-0.041906
0,10,-0.037438
0,11,0.381854
0,12,0.331256
1,2,0.563932
1,3,0.402869
1,4,0.728331
1,5,0.359136
1,6,0.718977
1,7,0.519425
1,8,0.345189
1,9,0.018887
1,10,0.028594
1,11,0.682508
1,12,0.47906
2,3,0.467912
2,4,0.70102
2,5,0.444215
2,6,0.585803
2,7,0.486117
2,8,0.368111
2,9,-0.004409
2,10,-0.024975
2,11,0.649501
2,12,0.573025
3,4,0.383116
3,5,0.366396
3,6,0.45729
3,7,0.49116
3,8,0.702848
3,9,-0.006064
3,10,-0.062946
3,11,0.420423
3,12,0.365354
4,5,0.444941
4,6,0.634252
4,7,0.446248
4,8,0.301329
4,9,0.02515
4,10,-0.046321
4,11,0.701309
4,12,0.477662
5,6,0.494328
5,7,0.5304
5,8,0.19083
5,9,0.006937
5,10,0.003566
5,11,0.42284
5,12,0.3835
6,7,0.562907
6,8,0.412062
6,9,-0.006146
6,10,0.028971
6,11,0.629033
6,12,0.524843
7,8,0.315943
7,9,-0.027599
7,10,0.011553
7,11,0.526712
7,12,0.451427
8,9,-0.008921
8,10,-0.026939
8,11,0.281751
8,12,0.330122
9,10,0.2513
9,11,0.038577
9,12,-0.01683
10,11,0.003276
10,12,-0.017962
11,12,0.423541
