title_i,title_j,cosine_similarity
A Mapping Survey of the <sup>13</sup> CO and <sup>12</sup> CO Emission in Galaxies,Bulk viscosity at extreme limits: from kinetic theory to strings,0.074508
A Mapping Survey of the <sup>13</sup> CO and <sup>12</sup> CO Emission in Galaxies,"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",0.07219
A Mapping Survey of the <sup>13</sup> CO and <sup>12</sup> CO Emission in Galaxies,Joint Services Electronics Program,0.066931
A Mapping Survey of the <sup>13</sup> CO and <sup>12</sup> CO Emission in Galaxies,"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",0.119717
A Mapping Survey of the <sup>13</sup> CO and <sup>12</sup> CO Emission in Galaxies,Determining the Size of a Galaxy's Globular Cluster Population through Imputation of Incomplete Data with Measurement Uncertainty,0.065827
A Mapping Survey of the <sup>13</sup> CO and <sup>12</sup> CO Emission in Galaxies,Vector Meson Spectrum from top-down Holographic QCD,0.050481
A Mapping Survey of the <sup>13</sup> CO and <sup>12</sup> CO Emission in Galaxies,On bulk viscosity at weak and strong ’t Hooft couplings,0.021082
Bulk viscosity at extreme limits: from kinetic theory to strings,"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",0.62519
Bulk viscosity at extreme limits: from kinetic theory to strings,Joint Services Electronics Program,0.120901
Bulk viscosity at extreme limits: from kinetic theory to strings,"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",0.635587
Bulk viscosity at extreme limits: from kinetic theory to strings,Determining the Size of a Galaxy's Globular Cluster Population through Imputation of Incomplete Data with Measurement Uncertainty,0.121454
Bulk viscosity at extreme limits: from kinetic theory to strings,Vector Meson Spectrum from top-down Holographic QCD,0.529779
Bulk viscosity at extreme limits: from kinetic theory to strings,On bulk viscosity at weak and strong ’t Hooft couplings,0.825343
"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",Joint Services Electronics Program,0.152156
"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model","Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",0.660147
"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",Determining the Size of a Galaxy's Globular Cluster Population through Imputation of Incomplete Data with Measurement Uncertainty,0.222386
"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",Vector Meson Spectrum from top-down Holographic QCD,0.588856
"Renormalization group flow, stability, and bulk viscosity in a large <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mi>N</mml:mi></mml:math> thermal QCD model",On bulk viscosity at weak and strong ’t Hooft couplings,0.609202
Joint Services Electronics Program,"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",0.081515
Joint Services Electronics Program,Determining the Size of a Galaxy's Globular Cluster Population through Imputation of Incomplete Data with Measurement Uncertainty,0.012103
Joint Services Electronics Program,Vector Meson Spectrum from top-down Holographic QCD,0.055952
Joint Services Electronics Program,On bulk viscosity at weak and strong ’t Hooft couplings,0.110971
"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",Determining the Size of a Galaxy's Globular Cluster Population through Imputation of Incomplete Data with Measurement Uncertainty,0.200332
"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",Vector Meson Spectrum from top-down Holographic QCD,0.612408
"Infrared dynamics of a large N QCD model, the massless string sector and mesonic spectra",On bulk viscosity at weak and strong ’t Hooft couplings,0.43673
Determining the Size of a Galaxy's Globular Cluster Population through Imputation of Incomplete Data with Measurement Uncertainty,Vector Meson Spectrum from top-down Holographic QCD,0.177129
Determining the Size of a Galaxy's Globular Cluster Population through Imputation of Incomplete Data with Measurement Uncertainty,On bulk viscosity at weak and strong ’t Hooft couplings,0.145651
Vector Meson Spectrum from top-down Holographic QCD,On bulk viscosity at weak and strong ’t Hooft couplings,0.490173
