abstract_i,abstract_j,cosine_similarity
0,1,0.165394
0,2,0.191649
0,3,0.200207
0,4,0.426776
0,5,0.400724
0,6,0.477193
0,7,0.313609
0,8,0.619826
0,9,0.145178
0,10,0.431801
0,11,0.279466
0,12,0.287523
0,13,0.147195
0,14,0.15846
0,15,0.024462
0,16,0.138455
0,17,0.255504
0,18,0.244575
0,19,0.486336
0,20,0.249755
0,21,0.114461
0,22,0.286469
0,23,0.158134
1,2,0.396668
1,3,0.385963
1,4,0.130645
1,5,0.130536
1,6,0.126667
1,7,0.264251
1,8,0.163975
1,9,0.40788
1,10,0.080222
1,11,0.322034
1,12,0.210856
1,13,0.042747
1,14,0.494513
1,15,0.46719
1,16,0.14663
1,17,0.546635
1,18,0.505043
1,19,0.151501
1,20,0.468399
1,21,0.686866
1,22,0.363774
1,23,0.475311
2,3,0.49033
2,4,0.264213
2,5,0.360945
2,6,0.260953
2,7,0.414993
2,8,0.282442
2,9,0.414322
2,10,0.194959
2,11,0.482107
2,12,0.173703
2,13,0.053141
2,14,0.746629
2,15,0.32884
2,16,0.178174
2,17,0.458232
2,18,0.563616
2,19,0.333196
2,20,0.53618
2,21,0.616527
2,22,0.512385
2,23,0.281488
3,4,0.240464
3,5,0.269043
3,6,0.23767
3,7,0.432058
3,8,0.266839
3,9,0.565854
3,10,0.246862
3,11,0.829339
3,12,0.145647
3,13,0.111823
3,14,0.523331
3,15,0.292088
3,16,0.194983
3,17,0.502537
3,18,0.540835
3,19,0.342316
3,20,0.771074
3,21,0.401375
3,22,0.579222
3,23,0.347737
4,5,0.661173
4,6,0.452679
4,7,0.240846
4,8,0.462636
4,9,0.182833
4,10,0.42751
4,11,0.360908
4,12,0.110402
4,13,0.163286
4,14,0.234433
4,15,0.026904
4,16,0.202023
4,17,0.225142
4,18,0.25864
4,19,0.73511
4,20,0.250238
4,21,0.154554
4,22,0.295387
4,23,0.141151
5,6,0.419195
5,7,0.283539
5,8,0.493686
5,9,0.25349
5,10,0.459496
5,11,0.397376
5,12,0.121143
5,13,0.106505
5,14,0.275625
5,15,0.100333
5,16,0.178672
5,17,0.295481
5,18,0.299912
5,19,0.637595
5,20,0.259649
5,21,0.185737
5,22,0.307483
5,23,0.163362
6,7,0.37829
6,8,0.670406
6,9,0.153361
6,10,0.764898
6,11,0.301341
6,12,0.183248
6,13,0.208106
6,14,0.211497
6,15,0.057741
6,16,0.209494
6,17,0.299134
6,18,0.262318
6,19,0.458914
6,20,0.341351
6,21,0.131356
6,22,0.412347
6,23,0.155995
7,8,0.355007
7,9,0.445165
7,10,0.294245
7,11,0.423637
7,12,0.318005
7,13,0.069502
7,14,0.384638
7,15,0.212729
7,16,0.27303
7,17,0.408502
7,18,0.464122
7,19,0.356169
7,20,0.43373
7,21,0.347656
7,22,0.518356
7,23,0.277454
8,9,0.15821
8,10,0.584147
8,11,0.364353
8,12,0.308149
8,13,0.158301
8,14,0.240519
8,15,0.001893
8,16,0.176644
8,17,0.271842
8,18,0.321028
8,19,0.516298
8,20,0.356176
8,21,0.130379
8,22,0.3771
8,23,0.130376
9,10,0.186246
9,11,0.528157
9,12,0.144443
9,13,0.096828
9,14,0.430958
9,15,0.439084
9,16,0.049135
9,17,0.49239
9,18,0.447627
9,19,0.27158
9,20,0.487227
9,21,0.363442
9,22,0.39898
9,23,0.616273
10,11,0.297474
10,12,0.118319
10,13,0.170031
10,14,0.151504
10,15,-0.007308
10,16,0.149419
10,17,0.296297
10,18,0.223951
10,19,0.408852
10,20,0.287974
10,21,0.073878
10,22,0.329283
10,23,0.113635
11,12,0.161649
11,13,0.141653
11,14,0.479466
11,15,0.256738
11,16,0.246719
11,17,0.420385
11,18,0.502003
11,19,0.494715
11,20,0.722545
11,21,0.301293
11,22,0.573111
11,23,0.30322
12,13,0.105126
12,14,0.1909
12,15,0.234176
12,16,0.14756
12,17,0.222862
12,18,0.225227
12,19,0.129382
12,20,0.19162
12,21,0.183023
12,22,0.343478
12,23,0.223241
13,14,0.050279
13,15,0.027213
13,16,-0.017947
13,17,0.151473
13,18,0.110179
13,19,0.234555
13,20,0.094912
13,21,0.069748
13,22,0.069934
13,23,0.099848
14,15,0.317981
14,16,0.176805
14,17,0.507429
14,18,0.683309
14,19,0.223838
14,20,0.538135
14,21,0.654722
14,22,0.571704
14,23,0.287167
15,16,0.115945
15,17,0.400678
15,18,0.416115
15,19,0.073332
15,20,0.372825
15,21,0.473024
15,22,0.362233
15,23,0.728718
16,17,0.071596
16,18,0.229645
16,19,0.093127
16,20,0.195269
16,21,0.186384
16,22,0.26999
16,23,0.00049
17,18,0.682941
17,19,0.258579
17,20,0.620773
17,21,0.575585
17,22,0.552315
17,23,0.532212
18,19,0.256212
18,20,0.656183
18,21,0.615439
18,22,0.680603
18,23,0.439876
19,20,0.348344
19,21,0.12567
19,22,0.329331
19,23,0.192868
20,21,0.476018
20,22,0.640893
20,23,0.367955
21,22,0.494403
21,23,0.427455
22,23,0.368124
