title_i,title_j,cosine_similarity
Alpha dose modeling in diffusing alpha‐emitters radiation therapy—Part I: single‐seed calculations in one and two dimensions,Alpha dose modeling in diffusing alpha‐emitters radiation therapy. Part II: Lattice studies,0.656532
Alpha dose modeling in diffusing alpha‐emitters radiation therapy—Part I: single‐seed calculations in one and two dimensions,Diffusing alpha-emitters radiation therapy in combination with temozolomide or bevacizumab in human glioblastoma multiforme xenografts,0.48002
Alpha dose modeling in diffusing alpha‐emitters radiation therapy—Part I: single‐seed calculations in one and two dimensions,"First measurements of radon‐220 diffusion in mice tumors, towards treatment planning in diffusing alpha‐emitters radiation therapy",0.384685
Alpha dose modeling in diffusing alpha‐emitters radiation therapy—Part I: single‐seed calculations in one and two dimensions,Microdosimetry calculations in situ for clinically relevant photon sources and their correlation with the early DNA damage response,0.33608
Alpha dose modeling in diffusing alpha‐emitters radiation therapy—Part I: single‐seed calculations in one and two dimensions,"First measurements of radon-220 diffusion in mice tumors, towards treatment planning in diffusing alpha-emitters radiation therapy",0.57195
Alpha dose modeling in diffusing alpha‐emitters radiation therapy—Part I: single‐seed calculations in one and two dimensions,Assessing radiosensitivity through sublethal damage recovery: a comparison of survival-based and molecular repair kinetics,0.38711
Alpha dose modeling in diffusing alpha‐emitters radiation therapy—Part I: single‐seed calculations in one and two dimensions,Diffusing alpha‐emitters radiation therapy: In vivo measurements of effective diffusion and clearance rates across multiple tumor types,0.177396
Alpha dose modeling in diffusing alpha‐emitters radiation therapy. Part II: Lattice studies,Diffusing alpha-emitters radiation therapy in combination with temozolomide or bevacizumab in human glioblastoma multiforme xenografts,0.561407
Alpha dose modeling in diffusing alpha‐emitters radiation therapy. Part II: Lattice studies,"First measurements of radon‐220 diffusion in mice tumors, towards treatment planning in diffusing alpha‐emitters radiation therapy",0.424701
Alpha dose modeling in diffusing alpha‐emitters radiation therapy. Part II: Lattice studies,Microdosimetry calculations in situ for clinically relevant photon sources and their correlation with the early DNA damage response,0.231943
Alpha dose modeling in diffusing alpha‐emitters radiation therapy. Part II: Lattice studies,"First measurements of radon-220 diffusion in mice tumors, towards treatment planning in diffusing alpha-emitters radiation therapy",0.581345
Alpha dose modeling in diffusing alpha‐emitters radiation therapy. Part II: Lattice studies,Assessing radiosensitivity through sublethal damage recovery: a comparison of survival-based and molecular repair kinetics,0.424042
Alpha dose modeling in diffusing alpha‐emitters radiation therapy. Part II: Lattice studies,Diffusing alpha‐emitters radiation therapy: In vivo measurements of effective diffusion and clearance rates across multiple tumor types,0.107885
Diffusing alpha-emitters radiation therapy in combination with temozolomide or bevacizumab in human glioblastoma multiforme xenografts,"First measurements of radon‐220 diffusion in mice tumors, towards treatment planning in diffusing alpha‐emitters radiation therapy",0.51274
Diffusing alpha-emitters radiation therapy in combination with temozolomide or bevacizumab in human glioblastoma multiforme xenografts,Microdosimetry calculations in situ for clinically relevant photon sources and their correlation with the early DNA damage response,0.121965
Diffusing alpha-emitters radiation therapy in combination with temozolomide or bevacizumab in human glioblastoma multiforme xenografts,"First measurements of radon-220 diffusion in mice tumors, towards treatment planning in diffusing alpha-emitters radiation therapy",0.705563
Diffusing alpha-emitters radiation therapy in combination with temozolomide or bevacizumab in human glioblastoma multiforme xenografts,Assessing radiosensitivity through sublethal damage recovery: a comparison of survival-based and molecular repair kinetics,0.577626
Diffusing alpha-emitters radiation therapy in combination with temozolomide or bevacizumab in human glioblastoma multiforme xenografts,Diffusing alpha‐emitters radiation therapy: In vivo measurements of effective diffusion and clearance rates across multiple tumor types,-0.041372
"First measurements of radon‐220 diffusion in mice tumors, towards treatment planning in diffusing alpha‐emitters radiation therapy",Microdosimetry calculations in situ for clinically relevant photon sources and their correlation with the early DNA damage response,0.180632
"First measurements of radon‐220 diffusion in mice tumors, towards treatment planning in diffusing alpha‐emitters radiation therapy","First measurements of radon-220 diffusion in mice tumors, towards treatment planning in diffusing alpha-emitters radiation therapy",0.805379
"First measurements of radon‐220 diffusion in mice tumors, towards treatment planning in diffusing alpha‐emitters radiation therapy",Assessing radiosensitivity through sublethal damage recovery: a comparison of survival-based and molecular repair kinetics,0.45808
"First measurements of radon‐220 diffusion in mice tumors, towards treatment planning in diffusing alpha‐emitters radiation therapy",Diffusing alpha‐emitters radiation therapy: In vivo measurements of effective diffusion and clearance rates across multiple tumor types,0.055293
Microdosimetry calculations in situ for clinically relevant photon sources and their correlation with the early DNA damage response,"First measurements of radon-220 diffusion in mice tumors, towards treatment planning in diffusing alpha-emitters radiation therapy",0.200551
Microdosimetry calculations in situ for clinically relevant photon sources and their correlation with the early DNA damage response,Assessing radiosensitivity through sublethal damage recovery: a comparison of survival-based and molecular repair kinetics,0.180714
Microdosimetry calculations in situ for clinically relevant photon sources and their correlation with the early DNA damage response,Diffusing alpha‐emitters radiation therapy: In vivo measurements of effective diffusion and clearance rates across multiple tumor types,0.322772
"First measurements of radon-220 diffusion in mice tumors, towards treatment planning in diffusing alpha-emitters radiation therapy",Assessing radiosensitivity through sublethal damage recovery: a comparison of survival-based and molecular repair kinetics,0.540768
"First measurements of radon-220 diffusion in mice tumors, towards treatment planning in diffusing alpha-emitters radiation therapy",Diffusing alpha‐emitters radiation therapy: In vivo measurements of effective diffusion and clearance rates across multiple tumor types,0.073155
Assessing radiosensitivity through sublethal damage recovery: a comparison of survival-based and molecular repair kinetics,Diffusing alpha‐emitters radiation therapy: In vivo measurements of effective diffusion and clearance rates across multiple tumor types,0.027409
