abstract_i,abstract_j,cosine_similarity
0,1,0.306428
0,2,0.433311
0,3,0.292637
0,4,0.129158
0,5,0.059176
0,6,0.170462
0,7,0.179256
0,8,0.157941
0,9,0.129158
0,10,0.024548
0,11,0.403842
0,12,0.024125
0,13,0.23439
0,14,-0.015138
0,15,-0.034745
0,16,0.154639
0,17,0.046505
0,18,0.151127
0,19,0.099368
0,20,0.160015
0,21,0.179256
0,22,0.033861
0,23,0.611553
0,24,0.273295
0,25,0.03621
0,26,0.322962
0,27,0.184916
0,28,0.01404
1,2,0.360706
1,3,0.293856
1,4,0.308229
1,5,0.154859
1,6,0.382479
1,7,0.372966
1,8,0.245285
1,9,0.308229
1,10,-0.062843
1,11,0.399403
1,12,-0.017452
1,13,0.1931
1,14,0.052656
1,15,-0.050438
1,16,0.034771
1,17,0.224299
1,18,0.276753
1,19,0.273
1,20,0.269364
1,21,0.372966
1,22,-0.016536
1,23,0.25451
1,24,0.297131
1,25,-0.063758
1,26,0.172504
1,27,0.275311
1,28,-0.070616
2,3,0.363179
2,4,0.160459
2,5,0.073162
2,6,0.211123
2,7,0.130739
2,8,0.180133
2,9,0.160459
2,10,-0.048832
2,11,0.30952
2,12,-0.011911
2,13,0.20985
2,14,0.040151
2,15,0.020421
2,16,-0.004003
2,17,0.152066
2,18,0.077151
2,19,0.156868
2,20,0.106373
2,21,0.130739
2,22,-0.04318
2,23,0.564585
2,24,0.296186
2,25,0.067568
2,26,0.413037
2,27,0.197684
2,28,0.029178
3,4,0.295428
3,5,0.192183
3,6,0.379877
3,7,0.30972
3,8,0.154763
3,9,0.295428
3,10,-0.002634
3,11,0.560809
3,12,0.029937
3,13,0.386755
3,14,0.129626
3,15,-0.002488
3,16,0.167372
3,17,0.320476
3,18,0.173163
3,19,0.314687
3,20,0.180906
3,21,0.30972
3,22,0.046184
3,23,0.46189
3,24,0.3007
3,25,-0.012918
3,26,0.345158
3,27,0.379347
3,28,0.018036
4,5,0.170704
4,6,0.408521
4,7,0.637405
