abstract_i,abstract_j,cosine_similarity
0,1,0.178015
0,2,0.521384
0,3,0.165565
0,4,0.129935
0,5,0.475524
0,6,0.845838
0,7,0.229333
0,8,0.845683
0,9,0.3371
0,10,0.682891
0,11,0.532864
0,12,0.377749
0,13,0.648363
0,14,0.500391
0,15,0.109169
0,16,0.13719
0,17,-0.088432
0,18,0.255968
0,19,0.604053
1,2,0.12055
1,3,0.353056
1,4,0.34079
1,5,0.178987
1,6,0.116799
1,7,0.36916
1,8,0.12874
1,9,0.444148
1,10,0.165734
1,11,0.184305
1,12,0.36761
1,13,0.2173
1,14,0.124123
1,15,0.138161
1,16,0.329653
1,17,-0.01885
1,18,0.319357
1,19,0.209759
2,3,0.039047
2,4,0.05065
2,5,0.681383
2,6,0.41583
2,7,0.288663
2,8,0.443965
2,9,0.325445
2,10,0.538374
2,11,0.658605
2,12,0.390955
2,13,0.584713
2,14,0.922099
2,15,0.108909
2,16,0.141995
2,17,-0.000423
2,18,0.326241
2,19,0.46501
3,4,0.671171
3,5,0.17526
3,6,0.157102
3,7,0.32709
3,8,0.175313
3,9,0.270069
3,10,0.211121
3,11,0.016407
3,12,0.240369
3,13,0.194335
3,14,0.074673
3,15,0.32903
3,16,0.33874
3,17,-0.04572
3,18,0.242773
3,19,0.228438
4,5,0.100604
4,6,0.164142
4,7,0.253362
4,8,0.152906
4,9,0.204556
4,10,0.160449
4,11,0.046045
4,12,0.187991
4,13,0.156766
4,14,0.053754
4,15,0.336659
4,16,0.31477
4,17,-0.011353
4,18,0.186482
4,19,0.173855
5,6,0.362897
5,7,0.236904
5,8,0.400235
5,9,0.365846
5,10,0.485311
5,11,0.524175
5,12,0.423608
5,13,0.559807
5,14,0.772421
5,15,0.130035
5,16,0.139172
5,17,-0.012598
5,18,0.349581
5,19,0.473916
6,7,0.157392
6,8,0.930403
6,9,0.229401
6,10,0.661251
6,11,0.407147
6,12,0.305055
6,13,0.59543
6,14,0.397776
6,15,0.109068
6,16,0.111668
6,17,-0.03282
6,18,0.199941
6,19,0.573646
7,8,0.204762
7,9,0.450898
7,10,0.244335
7,11,0.227916
7,12,0.403288
7,13,0.283781
7,14,0.322377
7,15,0.204123
7,16,0.225076
7,17,-0.02811
7,18,0.456148
7,19,0.249892
8,9,0.268647
8,10,0.64175
8,11,0.357918
8,12,0.375496
8,13,0.580536
8,14,0.428924
8,15,0.10589
8,16,0.158538
8,17,-0.065382
8,18,0.210491
8,19,0.570494
9,10,0.286204
9,11,0.34153
9,12,0.655385
9,13,0.332787
9,14,0.385931
9,15,0.108676
9,16,0.218333
9,17,-0.014956
9,18,0.746917
9,19,0.369157
10,11,0.60128
10,12,0.409323
10,13,0.878918
10,14,0.498304
10,15,0.171341
10,16,0.107047
10,17,-0.085772
10,18,0.293442
10,19,0.693968
11,12,0.356774
11,13,0.627233
11,14,0.608199
11,15,0.087724
11,16,0.008232
11,17,0.02283
11,18,0.405385
11,19,0.521295
12,13,0.384225
12,14,0.424501
12,15,0.154708
12,16,0.283514
12,17,-0.114548
12,18,0.586769
12,19,0.427847
13,14,0.537094
13,15,0.168813
13,16,0.098934
13,17,-0.026266
13,18,0.346821
13,19,0.710301
14,15,0.119753
14,16,0.136342
14,17,-0.025885
14,18,0.367545
14,19,0.468674
15,16,0.097111
15,17,-0.01258
15,18,0.143696
15,19,0.12233
16,17,-0.08756
16,18,0.154666
16,19,0.211217
17,18,0.077434
17,19,-0.013051
18,19,0.387127
