abstract_i,abstract_j,cosine_similarity
0,1,0.583104
0,2,0.417195
0,3,0.999215
0,4,0.327021
0,5,0.461212
0,6,0.427871
0,7,0.45233
0,8,0.301372
0,9,0.398448
0,10,0.571924
1,2,0.609844
1,3,0.583077
1,4,0.500294
1,5,0.567707
1,6,0.4702
1,7,0.552798
1,8,0.615779
1,9,0.605113
1,10,0.665128
2,3,0.419933
2,4,0.56793
2,5,0.741347
2,6,0.585529
2,7,0.726426
2,8,0.821296
2,9,0.729347
2,10,0.636751
3,4,0.324511
3,5,0.465033
3,6,0.422723
3,7,0.456123
3,8,0.30333
3,9,0.396382
3,10,0.570063
4,5,0.429031
4,6,0.58836
4,7,0.410036
4,8,0.494778
4,9,0.579508
4,10,0.50582
5,6,0.427018
5,7,0.997174
5,8,0.584881
5,9,0.581825
5,10,0.635945
6,7,0.406927
6,8,0.477744
6,9,0.576632
6,10,0.525836
7,8,0.570016
7,9,0.565894
7,10,0.62438
8,9,0.701862
8,10,0.576353
9,10,0.673925
